from date,PM2.5,NO2,NO,NOx,SO2,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
03-Nov-2020 - 00:00,106.54,71.89,39.94,70.59,18.04,25.55,42.94,0.26,-0.18,181.28,749.0,120.74,0.0,,,8.5,04-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
04-Nov-2020 - 00:00,95.24,71.16,22.79,56.38,19.22,26.12,42.69,0.33,-0.19,197.5,749.17,130.29,0.0,,,12.03,05-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
05-Nov-2020 - 00:00,154.2,91.81,28.04,70.95,19.83,24.84,54.26,0.84,-0.21,220.94,750.0,60.04,0.0,,,7.87,06-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
06-Nov-2020 - 00:00,203.21,86.93,35.02,73.63,19.72,25.91,54.82,0.86,-0.21,191.25,750.0,95.33,0.0,,,15.06,07-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
07-Nov-2020 - 00:00,155.47,82.38,74.24,103.53,19.61,25.91,51.45,0.83,-0.19,198.49,750.0,117.4,0.0,,,13.17,08-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
08-Nov-2020 - 00:00,173.88,89.5,109.01,134.78,16.56,25.27,55.58,0.86,-0.23,192.7,750.0,99.68,0.0,,,11.93,09-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
09-Nov-2020 - 00:00,161.1,70.55,46.48,75.32,11.21,26.43,51.15,0.84,-0.26,169.34,750.0,112.22,0.0,,,3.48,10-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
10-Nov-2020 - 00:00,106.44,54.66,21.18,46.2,11.01,26.16,51.2,1.02,-0.47,151.45,750.0,139.45,0.0,,,3.34,11-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
11-Nov-2020 - 00:00,80.0,49.01,14.98,37.9,11.99,26.0,53.46,1.11,-0.53,148.41,750.0,140.86,0.0,,,3.34,12-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
12-Nov-2020 - 00:00,78.37,42.8,3.08,25.25,11.5,27.93,48.33,0.79,-0.25,122.85,750.0,137.94,0.0,,,3.35,13-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
13-Nov-2020 - 00:00,71.58,42.42,3.13,25.11,12.31,27.03,50.68,0.6,-0.22,129.09,750.0,116.82,0.0,,,7.97,14-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
