from date,WD,RH,BP,SR,NO,NO2,Ozone,Temp,MH,WS,SO2,Benzene,Toluene,MP-Xylene,to date,station
24-Apr-2020 - 00:00,157.44,40.58,977.75,242.03,25.76,28.72,41.95,30.44,626.67,1.8,19.7,6.25,33.15,10.07,25-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
25-Apr-2020 - 00:00,175.22,36.8,978.01,214.66,25.86,24.64,41.04,31.11,601.74,2.16,15.23,6.28,29.22,11.21,26-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
26-Apr-2020 - 00:00,116.51,56.86,980.78,124.35,25.44,21.42,38.9,25.9,565.83,3.54,16.25,6.24,25.79,10.79,27-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
27-Apr-2020 - 00:00,101.32,64.86,983.69,250.7,23.46,18.9,42.44,25.4,825.83,3.8,13.98,6.35,18.16,10.46,28-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
28-Apr-2020 - 00:00,107.87,55.4,983.6,232.04,24.48,20.94,44.13,28.08,750.0,2.23,17.94,6.71,24.68,9.0,29-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
29-Apr-2020 - 00:00,153.46,51.31,980.91,221.39,25.26,21.89,49.08,30.57,711.25,2.08,17.72,7.23,22.09,10.84,30-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
30-Apr-2020 - 00:00,150.34,49.16,980.27,235.78,25.05,23.43,47.7,31.27,602.5,2.24,16.88,6.46,18.88,7.86,01-May-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
01-May-2020 - 00:00,108.4,55.88,978.54,233.18,25.39,21.66,49.6,30.82,619.58,2.66,19.91,6.86,20.2,12.06,02-May-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
02-May-2020 - 00:00,108.13,56.49,978.42,236.4,24.72,19.01,45.6,29.68,736.62,4.3,15.49,6.3,15.5,11.42,03-May-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
03-May-2020 - 00:00,134.13,63.76,979.58,133.99,24.94,20.04,39.0,27.68,421.67,3.57,17.89,6.83,17.35,9.84,04-May-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
04-May-2020 - 00:00,139.67,58.72,980.91,250.03,25.18,20.7,40.99,27.88,830.42,2.26,19.02,6.51,17.89,10.31,05-May-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
05-May-2020 - 00:00,189.53,46.23,979.46,252.52,26.65,24.62,44.6,31.36,655.42,2.1,36.67,7.01,25.05,11.09,06-May-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
06-May-2020 - 00:00,136.09,47.2,979.01,189.82,26.52,24.89,42.48,29.92,657.08,2.58,24.68,7.35,24.94,10.74,07-May-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
