from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,AT,WS,WD,RH,BP,to date,station
03-Apr-2020 - 00:00,29.55,51.58,9.89,0.98,6.03,10.68,20.78,0.27,12.85,0.01,0.04,28.86,1.31,165.21,33.99,724.94,04-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
04-Apr-2020 - 00:00,29.88,51.19,10.07,1.37,6.44,10.43,21.76,0.29,12.78,0.01,0.04,28.77,1.29,169.26,35.73,725.67,05-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
05-Apr-2020 - 00:00,25.19,45.99,8.26,1.14,5.3,10.6,19.96,0.27,10.42,0.01,0.03,28.83,1.22,196.89,40.43,726.65,06-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
06-Apr-2020 - 00:00,16.2,36.26,7.68,0.41,4.41,10.41,15.1,0.23,12.99,0.02,0.02,27.68,1.31,221.85,50.49,726.98,07-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
07-Apr-2020 - 00:00,10.23,25.03,8.86,0.46,5.08,10.88,19.33,0.24,9.99,0.01,0.02,26.13,1.03,233.43,61.16,726.62,08-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
08-Apr-2020 - 00:00,13.26,24.79,12.83,0.77,7.46,11.89,14.38,0.26,11.46,0.03,0.04,26.79,0.89,220.05,52.28,726.48,09-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
09-Apr-2020 - 00:00,17.17,33.5,9.81,0.97,5.92,12.64,16.7,0.27,12.72,0.02,0.05,26.72,1.08,205.18,58.44,726.01,10-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
10-Apr-2020 - 00:00,10.18,20.16,7.21,0.51,4.24,11.63,16.3,0.24,10.55,0.0,0.01,26.51,0.96,170.26,51.98,726.6,11-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
11-Apr-2020 - 00:00,24.08,37.9,10.22,0.69,5.98,12.52,16.34,0.26,11.6,0.0,0.04,27.62,1.15,159.88,46.1,727.45,12-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
12-Apr-2020 - 00:00,25.93,45.16,10.8,0.83,6.36,14.03,16.54,0.26,12.81,0.0,0.02,28.08,1.17,155.73,40.57,726.86,13-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
13-Apr-2020 - 00:00,30.61,51.89,15.51,1.41,9.37,14.42,20.19,0.3,12.72,0.03,0.06,27.94,1.07,169.08,37.56,725.32,14-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
14-Apr-2020 - 00:00,38.34,63.92,16.35,1.35,9.77,12.91,23.87,0.3,12.78,0.03,0.06,27.93,1.19,160.51,31.95,725.53,15-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
15-Apr-2020 - 00:00,53.8,74.28,18.26,1.68,11.08,14.27,26.92,0.32,8.1,0.03,0.05,26.2,0.8,181.62,47.67,727.42,16-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
16-Apr-2020 - 00:00,24.08,47.38,15.88,0.69,9.02,11.46,12.41,0.25,17.24,0.03,0.12,30.7,0.96,168.56,25.17,724.19,17-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
17-Apr-2020 - 00:00,31.9,57.15,7.6,0.54,4.46,12.8,18.97,0.24,12.78,0.02,0.04,28.93,0.94,194.35,46.44,724.78,18-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
18-Apr-2020 - 00:00,31.54,56.39,11.04,0.59,6.35,12.0,19.08,0.24,10.1,0.04,0.05,28.95,0.88,201.24,44.69,725.16,19-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
19-Apr-2020 - 00:00,19.79,40.42,6.77,0.44,3.92,11.07,18.64,0.23,11.45,0.02,0.05,29.06,1.23,166.21,42.19,724.78,20-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
20-Apr-2020 - 00:00,15.56,33.17,7.5,0.65,4.51,9.98,22.74,0.25,11.56,0.01,0.03,29.0,1.37,146.38,39.59,724.91,21-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
21-Apr-2020 - 00:00,20.16,49.34,18.58,2.25,11.66,9.44,19.93,0.34,8.01,0.04,0.09,27.96,0.85,172.55,42.48,725.03,22-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
