from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
18-Apr-2020 - 00:00,31.65,124.71,18.36,2.68,11.95,36.32,6.1,0.52,72.46,32.15,0.83,210.75,31.93,720.07,267.41,0.0,19-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
19-Apr-2020 - 00:00,33.96,114.95,16.48,2.91,11.13,34.79,5.62,0.45,65.41,30.81,1.26,247.17,33.71,719.59,290.86,0.0,20-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
20-Apr-2020 - 00:00,47.42,176.89,17.55,2.66,11.49,36.27,6.33,0.53,65.66,31.21,0.58,212.89,31.53,719.42,286.9,0.0,21-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
21-Apr-2020 - 00:00,26.33,111.41,15.03,2.71,10.2,32.42,4.74,0.39,79.25,29.82,0.66,153.78,37.19,719.7,312.1,0.0,22-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
22-Apr-2020 - 00:00,25.12,93.9,15.69,2.84,10.66,33.87,7.55,0.33,80.02,31.25,0.67,161.64,33.67,719.23,318.69,0.0,23-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
23-Apr-2020 - 00:00,29.7,117.68,16.3,2.86,11.0,35.73,6.3,0.4,78.85,30.2,0.66,109.48,33.9,719.09,294.26,0.0,24-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
24-Apr-2020 - 00:00,26.3,90.68,15.2,2.63,10.22,33.88,6.7,0.38,88.31,30.94,0.75,117.65,33.29,717.34,318.36,0.0,25-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
25-Apr-2020 - 00:00,29.99,88.55,14.78,2.79,10.13,27.26,9.52,0.33,84.18,29.64,1.13,121.34,44.44,717.22,307.98,0.08,26-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
26-Apr-2020 - 00:00,21.73,57.09,15.17,2.66,10.24,19.55,11.39,0.32,85.39,28.27,1.76,120.21,50.02,719.21,318.02,0.0,27-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
27-Apr-2020 - 00:00,11.32,32.07,13.49,2.69,9.37,16.41,4.53,0.25,89.18,27.45,1.02,136.33,52.15,722.2,303.77,0.0,28-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
28-Apr-2020 - 00:00,20.18,55.27,13.79,2.61,9.46,14.51,6.54,0.33,89.39,29.81,0.71,141.4,46.06,721.48,323.54,0.0,29-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
