from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,WD,RH,BP,Toluene,Temp,to date,station
13-Jan-2020 - 00:00,56.24,15.04,51.67,10.9,,1.81,39.62,55.9,115.31,0.5,187.71,62.56,714.31,3.08,25.77,14-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Jan-2020 - 00:00,60.67,14.41,50.95,,,1.75,44.66,60.04,120.72,0.53,201.41,54.14,714.0,3.16,26.1,15-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Jan-2020 - 00:00,40.75,12.61,31.94,8.15,,1.16,43.64,44.2,90.56,0.35,213.23,56.85,714.45,2.0,25.81,16-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Jan-2020 - 00:00,48.25,12.54,38.22,11.0,,1.38,54.54,42.15,107.84,0.39,199.04,59.96,714.67,2.54,25.87,17-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Jan-2020 - 00:00,54.29,11.92,54.85,15.5,,1.68,37.08,37.83,110.0,0.5,206.54,57.7,714.96,3.05,25.88,18-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Jan-2020 - 00:00,33.05,14.38,30.64,16.5,,1.21,21.18,22.21,82.91,0.31,220.8,74.92,714.97,2.19,25.88,19-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Jan-2020 - 00:00,32.49,11.17,27.72,11.45,,1.15,25.8,23.88,99.88,0.27,220.85,63.88,715.57,1.93,26.07,20-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Jan-2020 - 00:00,46.93,12.03,41.45,15.8,,1.54,35.04,33.83,108.08,0.41,212.72,60.06,716.3,2.58,25.91,21-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Jan-2020 - 00:00,50.47,11.11,43.61,15.25,,1.39,32.6,35.77,110.83,0.37,214.0,55.17,717.21,2.35,25.58,22-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Jan-2020 - 00:00,41.09,12.17,36.61,20.0,,1.37,28.01,29.0,86.7,0.34,217.99,65.78,717.74,2.27,25.53,23-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Jan-2020 - 00:00,38.06,12.0,33.23,13.8,,1.3,28.34,36.42,98.79,0.33,218.67,63.39,716.81,2.28,25.62,24-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Jan-2020 - 00:00,54.43,10.28,52.23,15.65,,1.56,25.17,40.5,101.62,0.44,213.67,53.47,716.43,2.73,26.02,25-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
