from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,BP,to date,station
19-Mar-2020 - 00:00,66.47,88.56,40.69,22.11,7.93,0.78,99.03,213.36,3.49,0.0,1.92,16.46,31.68,22.94,0.01,219.28,68.78,0.0,189.21,0.54,994.55,20-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
20-Mar-2020 - 00:00,63.49,78.42,34.35,14.95,6.06,0.63,81.6,146.4,2.8,0.0,0.98,4.86,25.46,21.89,-0.0,159.23,73.39,0.12,108.24,0.73,994.84,21-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
21-Mar-2020 - 00:00,57.82,75.87,37.85,17.62,4.32,0.66,49.11,82.54,2.5,0.0,1.18,4.88,21.38,21.43,0.0,164.69,77.36,0.05,90.82,0.77,995.49,22-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
22-Mar-2020 - 00:00,33.92,38.06,37.12,4.27,4.38,0.51,45.99,66.67,1.61,0.0,0.37,2.54,26.19,20.87,-0.0,180.14,85.67,0.07,118.53,0.67,997.08,23-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
23-Mar-2020 - 00:00,34.89,38.78,34.28,4.58,4.69,0.56,43.6,66.39,1.41,0.0,0.3,2.56,28.4,22.17,-0.0,240.92,75.78,0.0,191.14,0.59,995.78,24-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
24-Mar-2020 - 00:00,40.21,45.36,32.27,5.79,4.47,0.64,40.59,63.1,2.09,0.0,0.56,3.15,28.3,23.26,0.01,251.79,68.83,0.0,200.4,0.48,993.98,25-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
25-Mar-2020 - 00:00,31.63,33.97,33.79,3.06,4.73,0.54,58.02,86.14,1.85,0.0,0.44,2.74,29.32,24.13,-0.0,232.25,71.32,0.01,181.77,0.66,992.41,26-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
26-Mar-2020 - 00:00,30.12,30.97,36.01,1.6,3.71,0.62,55.5,69.67,1.66,0.0,0.26,2.2,27.97,24.62,0.0,213.06,75.61,0.0,105.4,0.68,993.04,27-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
27-Mar-2020 - 00:00,33.12,34.8,36.17,2.09,4.1,0.59,75.72,99.74,2.25,0.0,0.44,2.54,25.91,25.79,-0.0,206.01,71.52,0.0,116.72,0.59,993.71,28-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
28-Mar-2020 - 00:00,27.21,27.23,36.38,0.87,4.09,0.49,75.06,112.01,1.91,0.0,0.19,1.91,26.68,25.7,-0.0,230.31,70.75,0.0,178.56,0.75,990.22,29-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
29-Mar-2020 - 00:00,27.27,25.9,34.71,0.56,6.03,0.48,45.55,87.06,1.57,0.0,0.16,1.8,31.71,24.45,0.0,260.81,65.16,0.0,218.8,0.56,989.46,30-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
30-Mar-2020 - 00:00,33.31,33.48,33.03,0.89,6.89,0.56,59.07,110.2,2.51,0.0,0.34,2.15,32.28,24.38,0.0,252.11,63.1,0.0,182.59,0.54,991.38,31-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
31-Mar-2020 - 00:00,34.44,34.68,33.48,0.91,7.1,0.67,81.09,135.3,3.1,0.0,0.42,2.18,39.41,25.22,-0.01,255.06,60.05,0.0,132.48,0.84,993.24,01-Apr-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
01-Apr-2020 - 00:00,36.81,37.66,34.26,1.69,6.14,0.71,88.07,135.63,3.15,0.0,0.49,2.78,37.51,25.14,-0.02,241.83,61.14,0.0,175.08,0.74,992.11,02-Apr-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
02-Apr-2020 - 00:00,31.24,31.74,34.95,0.73,5.97,0.58,49.0,79.6,2.05,0.0,0.33,1.93,40.62,25.69,-0.01,264.28,58.68,0.0,121.38,0.88,990.21,03-Apr-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
03-Apr-2020 - 00:00,29.45,31.02,37.82,2.09,6.75,0.57,62.49,106.59,2.19,0.0,0.21,1.61,40.63,25.25,-0.03,262.17,58.28,0.0,140.99,1.01,992.13,04-Apr-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
04-Apr-2020 - 00:00,37.62,39.82,33.46,3.03,7.79,0.68,74.0,124.64,3.07,0.0,0.41,1.92,38.58,24.18,-0.01,265.55,57.92,0.0,205.01,0.62,993.88,05-Apr-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
