from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,RH,BP,Toluene,WD,to date,station
01-Nov-2020 - 00:00,16.89,9.4,11.07,2.56,10.83,0.77,97.19,80.91,128.7,0.18,27.27,66.38,714.08,1.18,169.19,02-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-Nov-2020 - 00:00,23.1,10.62,14.38,2.57,11.48,0.94,75.97,95.33,152.76,0.23,27.32,71.43,714.59,1.62,147.08,03-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
03-Nov-2020 - 00:00,22.22,8.98,13.95,2.62,11.86,0.86,55.7,73.94,120.75,0.2,27.27,71.64,714.65,1.42,132.06,04-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-Nov-2020 - 00:00,17.71,7.88,11.44,2.48,10.87,0.89,45.9,60.57,100.85,0.16,27.2,76.75,714.33,1.28,164.14,05-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
05-Nov-2020 - 00:00,16.46,6.25,10.83,2.56,11.42,0.61,36.6,42.28,68.19,0.12,27.25,80.11,714.44,1.04,137.49,06-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
06-Nov-2020 - 00:00,15.36,5.06,10.24,2.55,11.01,0.66,19.92,23.2,40.39,0.11,26.98,80.32,715.76,0.94,130.56,07-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
07-Nov-2020 - 00:00,14.33,5.0,9.74,2.59,11.4,0.51,13.88,18.68,40.59,0.12,27.17,78.9,716.17,0.93,131.77,08-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
08-Nov-2020 - 00:00,14.11,6.89,9.6,2.57,10.67,0.53,43.88,44.01,70.89,0.14,27.48,78.46,716.42,0.88,131.22,09-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
09-Nov-2020 - 00:00,17.37,8.97,11.35,2.6,11.04,0.64,71.96,73.74,116.51,0.19,27.72,74.75,715.29,1.19,204.31,10-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Nov-2020 - 00:00,28.36,7.26,17.16,2.55,11.85,0.83,68.4,58.8,105.81,0.24,27.59,64.06,713.33,1.66,135.69,11-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Nov-2020 - 00:00,20.78,6.96,13.18,2.61,10.84,0.69,57.52,51.28,90.62,0.22,27.48,77.22,713.48,1.44,159.8,12-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Nov-2020 - 00:00,16.38,5.6,10.78,2.54,11.81,0.68,35.59,29.83,55.07,0.13,27.57,81.04,712.47,1.14,171.68,13-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Nov-2020 - 00:00,16.04,4.58,10.61,2.56,11.23,0.68,17.15,15.65,29.25,0.12,27.71,87.5,709.23,0.98,131.85,14-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
14-Nov-2020 - 00:00,12.69,4.66,8.85,2.59,11.63,0.58,26.69,25.86,43.19,0.11,27.58,81.18,708.35,0.77,124.98,15-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Nov-2020 - 00:00,12.83,4.87,8.88,2.52,11.04,0.6,30.2,33.2,50.61,0.1,27.63,86.21,707.92,0.87,181.27,16-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
16-Nov-2020 - 00:00,12.74,4.03,8.9,2.61,10.72,0.58,18.35,11.94,19.56,0.1,27.64,84.31,708.8,0.68,123.67,17-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Nov-2020 - 00:00,14.43,4.19,9.77,2.57,11.08,0.54,20.54,13.1,26.74,0.1,27.58,79.64,708.22,0.72,125.05,18-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
18-Nov-2020 - 00:00,15.86,4.36,10.5,2.54,11.26,0.55,19.73,18.76,38.27,0.12,27.59,77.62,708.51,0.83,125.29,19-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
19-Nov-2020 - 00:00,15.9,5.08,10.53,2.54,10.32,0.55,27.11,26.57,48.18,0.12,27.6,76.49,708.9,0.82,124.23,20-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
20-Nov-2020 - 00:00,18.49,4.76,11.96,2.61,11.12,0.59,25.98,25.3,49.16,0.13,27.73,72.53,709.39,0.87,135.11,21-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
21-Nov-2020 - 00:00,26.4,4.81,16.13,2.56,11.11,0.57,34.49,27.75,59.12,0.17,27.66,65.03,709.73,1.57,130.62,22-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
22-Nov-2020 - 00:00,26.71,6.14,16.31,2.58,11.57,0.71,39.11,39.5,71.64,0.2,27.4,71.58,710.32,1.65,125.71,23-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
23-Nov-2020 - 00:00,22.2,6.38,13.91,2.59,11.09,0.63,37.46,39.86,68.77,0.18,27.52,74.34,709.91,1.42,149.4,24-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
24-Nov-2020 - 00:00,16.27,7.06,10.74,2.57,9.6,0.67,45.93,48.06,75.66,0.16,27.6,80.46,708.85,1.21,206.54,25-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
25-Nov-2020 - 00:00,15.12,6.95,10.1,2.54,10.21,0.64,48.71,50.03,81.36,0.17,27.56,78.2,707.04,1.45,258.35,26-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
26-Nov-2020 - 00:00,19.5,4.53,12.44,2.54,10.52,0.59,24.37,20.11,30.01,0.15,27.4,86.0,706.12,1.38,271.88,27-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
27-Nov-2020 - 00:00,15.68,4.14,10.46,2.61,10.4,0.45,30.12,16.11,25.37,0.11,27.39,80.82,708.42,1.03,267.01,28-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
28-Nov-2020 - 00:00,18.81,4.6,12.1,2.59,10.0,0.57,32.16,21.17,41.72,0.15,27.6,80.03,709.83,1.27,151.51,29-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
29-Nov-2020 - 00:00,15.22,4.61,10.2,2.6,10.65,0.56,21.59,22.2,39.14,0.12,27.58,86.47,710.6,0.89,140.14,30-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
