from date,PM2.5,PM10,NO2,NOx,NO,CO,SO2,to date,station
28-Apr-2020 - 00:00,18.43,34.88,42.8,60.97,55.29,0.39,7.37,29-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
29-Apr-2020 - 00:00,15.36,32.12,41.7,66.32,67.2,0.35,7.39,30-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
30-Apr-2020 - 00:00,25.11,55.17,22.51,35.64,34.28,0.36,7.35,01-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
01-May-2020 - 00:00,21.08,52.64,2.3,4.26,3.95,0.33,7.36,02-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
02-May-2020 - 00:00,19.04,53.62,2.05,2.97,3.1,0.34,7.37,03-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
03-May-2020 - 00:00,22.67,56.97,1.31,1.5,1.93,0.34,7.35,04-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
04-May-2020 - 00:00,18.9,42.97,1.39,1.35,1.76,0.34,7.38,05-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
05-May-2020 - 00:00,10.2,24.22,2.15,3.36,3.2,0.35,7.41,06-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
06-May-2020 - 00:00,14.98,29.84,3.21,5.45,4.74,0.35,7.4,07-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
07-May-2020 - 00:00,17.86,42.36,3.65,6.94,6.29,0.34,7.36,08-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
08-May-2020 - 00:00,24.28,58.52,4.02,7.6,6.87,0.35,7.29,09-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
09-May-2020 - 00:00,16.56,37.6,3.04,3.99,4.43,0.26,7.29,10-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
10-May-2020 - 00:00,21.41,50.91,2.14,2.32,3.05,0.27,7.0,11-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
11-May-2020 - 00:00,12.71,29.56,3.8,6.61,5.97,0.36,7.27,12-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
12-May-2020 - 00:00,12.42,33.4,4.1,6.25,5.72,0.5,7.42,13-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
13-May-2020 - 00:00,19.91,49.13,4.57,6.99,6.18,0.57,7.46,14-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
14-May-2020 - 00:00,24.38,62.34,4.8,7.7,6.99,0.58,7.4,15-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
15-May-2020 - 00:00,20.38,48.5,4.78,7.79,7.09,0.57,7.37,16-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
16-May-2020 - 00:00,28.48,51.11,4.39,6.62,6.1,0.58,7.46,17-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
17-May-2020 - 00:00,27.15,65.47,4.66,8.15,7.17,0.59,7.46,18-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
18-May-2020 - 00:00,18.54,33.23,4.67,7.96,7.04,0.57,7.43,19-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
19-May-2020 - 00:00,28.26,68.26,4.51,6.47,6.02,0.62,7.55,20-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
20-May-2020 - 00:00,28.66,69.52,4.99,8.31,7.54,0.56,7.37,21-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
21-May-2020 - 00:00,25.61,55.4,5.1,10.04,9.01,0.52,7.28,22-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
22-May-2020 - 00:00,18.74,45.68,4.43,7.19,6.85,0.47,7.18,23-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
23-May-2020 - 00:00,23.86,56.59,3.0,2.73,3.38,0.47,6.97,24-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
24-May-2020 - 00:00,25.36,62.59,2.81,2.66,3.51,0.39,6.49,25-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
25-May-2020 - 00:00,17.68,47.54,16.73,15.04,22.51,0.39,6.61,26-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
26-May-2020 - 00:00,25.05,42.55,29.58,27.67,33.79,0.41,6.64,27-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
27-May-2020 - 00:00,22.76,40.17,29.88,26.36,34.87,0.39,6.34,28-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
28-May-2020 - 00:00,26.48,40.9,32.63,35.19,40.44,0.55,7.21,29-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
29-May-2020 - 00:00,18.35,26.95,46.87,80.57,73.45,0.66,7.38,30-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
30-May-2020 - 00:00,19.81,51.66,46.21,76.68,69.74,0.67,7.41,31-May-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
31-May-2020 - 00:00,19.36,38.63,48.83,73.0,70.83,0.88,7.43,01-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
01-Jun-2020 - 00:00,15.84,26.09,31.93,48.26,42.1,1.24,7.52,02-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
02-Jun-2020 - 00:00,18.95,42.68,18.67,26.33,25.76,1.85,7.65,03-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
03-Jun-2020 - 00:00,26.49,55.81,19.57,23.91,22.38,1.72,7.66,04-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
04-Jun-2020 - 00:00,9.08,22.46,18.82,20.74,21.11,1.55,7.73,05-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
05-Jun-2020 - 00:00,10.17,22.54,17.71,20.43,18.51,1.07,7.83,06-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
06-Jun-2020 - 00:00,24.87,49.04,18.54,21.66,20.73,0.63,7.79,07-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
07-Jun-2020 - 00:00,26.43,56.23,19.2,25.52,23.29,0.63,7.62,08-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
08-Jun-2020 - 00:00,25.94,57.51,20.43,29.01,27.75,0.62,7.7,09-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
09-Jun-2020 - 00:00,25.27,55.24,21.4,33.51,31.98,0.47,7.75,10-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
10-Jun-2020 - 00:00,22.72,43.62,23.23,37.41,32.84,0.36,7.84,11-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
11-Jun-2020 - 00:00,23.3,49.23,25.15,41.3,35.21,0.38,7.73,12-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
12-Jun-2020 - 00:00,10.92,22.11,24.64,36.92,34.73,0.38,7.72,13-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
13-Jun-2020 - 00:00,7.33,20.2,21.35,33.1,28.75,0.4,7.82,14-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
14-Jun-2020 - 00:00,11.51,26.03,20.66,26.62,22.61,0.41,8.01,15-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
15-Jun-2020 - 00:00,10.58,23.3,19.52,24.47,23.22,0.43,8.06,16-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
16-Jun-2020 - 00:00,13.34,30.21,19.08,23.17,23.84,0.45,8.26,17-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
17-Jun-2020 - 00:00,23.44,47.63,20.65,25.47,23.69,0.45,8.33,18-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
18-Jun-2020 - 00:00,17.5,39.01,18.02,25.03,23.15,0.45,8.32,19-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
19-Jun-2020 - 00:00,20.41,46.57,19.11,22.44,22.03,0.46,8.39,20-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
20-Jun-2020 - 00:00,19.53,47.18,19.28,23.28,24.39,0.46,8.27,21-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
21-Jun-2020 - 00:00,13.4,26.44,17.47,22.24,23.18,0.47,8.14,22-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
22-Jun-2020 - 00:00,13.68,30.71,19.54,22.4,21.56,0.47,8.16,23-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
23-Jun-2020 - 00:00,13.59,31.07,18.4,20.78,20.71,0.47,8.25,24-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
24-Jun-2020 - 00:00,19.64,39.73,17.09,21.0,19.1,0.47,8.16,25-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
25-Jun-2020 - 00:00,17.09,38.91,19.47,21.81,22.19,0.46,8.08,26-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
26-Jun-2020 - 00:00,16.16,32.45,18.7,20.82,20.83,0.46,8.15,27-Jun-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
