from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,RF,to date,station
04-Sep-2020 - 00:00,24.79,49.01,5.01,10.08,5.08,5.0,1.09,0.49,32.22,0.24,1.11,0.23,0.2,0.32,29.53,81.92,0.23,236.71,745.28,179.71,0.0,05-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
05-Sep-2020 - 00:00,28.65,63.47,4.98,9.84,4.86,5.0,2.74,0.47,36.38,0.42,1.63,0.5,0.48,0.7,30.17,80.69,0.21,256.18,745.27,189.59,0.0,06-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
06-Sep-2020 - 00:00,14.38,43.8,5.0,9.97,4.97,5.0,2.6,0.17,31.9,0.27,1.49,0.5,0.43,0.7,29.77,80.01,0.22,250.59,745.26,176.27,0.0,07-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
07-Sep-2020 - 00:00,14.38,48.95,5.01,10.2,5.19,5.01,1.6,0.43,31.71,0.17,1.09,0.35,0.29,0.49,29.65,80.22,0.18,225.17,745.26,172.05,0.0,08-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
08-Sep-2020 - 00:00,15.23,46.49,5.01,10.11,5.1,5.0,1.76,0.46,31.01,0.17,1.12,0.28,0.22,0.39,30.04,77.1,0.24,196.83,745.27,205.79,0.0,09-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
09-Sep-2020 - 00:00,18.05,50.68,5.0,10.01,5.01,4.98,1.45,0.52,27.53,0.47,1.51,0.5,0.41,0.7,29.8,79.74,0.21,195.44,745.27,163.53,0.0,10-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
10-Sep-2020 - 00:00,15.2,42.39,4.97,9.15,4.59,5.0,4.73,0.51,30.08,0.52,1.52,0.48,0.39,0.67,28.16,88.37,0.34,188.86,745.25,113.87,0.33,11-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
11-Sep-2020 - 00:00,17.35,48.95,5.01,10.16,5.15,5.01,3.25,0.47,31.37,0.36,1.83,0.52,0.45,0.72,28.61,85.22,0.32,174.94,745.26,130.01,0.0,12-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
12-Sep-2020 - 00:00,18.86,52.42,4.98,9.68,4.8,5.0,0.79,0.26,18.22,0.62,1.98,0.49,0.4,0.69,28.41,88.44,0.33,138.02,745.27,131.13,0.1,13-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
13-Sep-2020 - 00:00,18.27,49.98,5.0,10.05,5.05,5.0,1.59,0.68,11.44,0.58,1.64,0.39,0.31,0.55,27.83,90.78,0.15,219.84,745.28,117.1,0.0,14-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
14-Sep-2020 - 00:00,5.08,42.34,5.43,10.4,11.47,4.8,73.22,0.33,23.04,0.17,1.6,0.37,0.37,0.52,31.61,73.03,0.38,224.55,745.26,322.31,0.0,15-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
15-Sep-2020 - 00:00,8.1,24.04,4.92,8.25,4.82,4.86,1.99,0.36,23.26,0.29,1.64,0.47,0.51,0.68,28.56,85.25,0.31,182.93,745.26,147.1,0.16,16-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
16-Sep-2020 - 00:00,9.53,31.68,4.99,9.87,4.88,5.0,0.94,0.31,27.8,0.32,1.82,0.54,0.51,0.73,29.02,83.78,0.22,180.5,745.26,182.72,0.0,17-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
17-Sep-2020 - 00:00,54.65,35.51,6.53,9.99,4.51,6.05,3.35,0.44,45.27,0.2,1.28,0.54,0.5,0.72,29.98,80.26,0.29,219.97,745.25,178.59,0.0,18-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
