from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
11-Apr-2020 - 00:00,28.76,989.33,132.41,51.28,39.89,153.08,92.32,1.44,,1.78,6.74,40.91,13.03,2.47,8.64,0.48,59.5,14.72,12-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
12-Apr-2020 - 00:00,27.97,987.36,141.42,58.21,41.16,166.82,141.89,1.86,,1.85,1.6,50.66,11.43,0.8,6.57,0.55,56.91,22.03,13-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
13-Apr-2020 - 00:00,30.09,985.22,179.42,61.0,39.32,157.14,204.92,1.64,,2.18,2.32,48.46,17.14,1.89,10.48,0.51,45.69,20.18,14-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
14-Apr-2020 - 00:00,31.88,985.45,225.19,78.69,37.29,128.43,222.73,1.11,,2.36,2.93,49.35,19.42,2.23,12.02,0.5,40.96,19.46,15-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
15-Apr-2020 - 00:00,31.77,985.02,209.85,47.86,33.79,160.3,174.86,1.43,,1.81,4.3,43.43,17.9,1.76,10.8,0.0,26.4,11.24,16-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
16-Apr-2020 - 00:00,30.95,984.07,189.98,61.91,33.43,159.67,136.15,1.88,,1.7,3.19,45.69,14.57,1.23,8.5,0.0,39.32,19.15,17-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
17-Apr-2020 - 00:00,31.38,983.55,102.35,28.2,33.46,150.75,120.01,1.98,,0.78,2.91,40.94,7.79,0.63,4.57,0.0,54.88,12.9,18-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
18-Apr-2020 - 00:00,29.76,985.3,106.73,21.33,39.46,156.63,117.72,2.27,,1.03,3.98,47.32,8.65,0.69,5.11,0.0,50.16,9.51,19-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
19-Apr-2020 - 00:00,27.58,985.11,111.29,45.81,44.62,178.26,136.95,1.73,,1.32,2.6,57.8,13.89,1.55,8.39,0.0,33.15,12.7,20-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
20-Apr-2020 - 00:00,21.98,985.32,184.06,68.06,51.16,5.41,141.77,1.34,,2.01,6.14,62.21,25.93,7.81,18.12,0.27,16.56,8.75,21-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
21-Apr-2020 - 00:00,26.43,986.12,154.14,40.07,43.68,147.3,139.46,1.53,,1.3,4.96,57.83,12.05,0.99,6.89,0.67,35.85,11.36,22-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
22-Apr-2020 - 00:00,28.22,984.73,186.02,78.23,38.34,171.99,157.26,1.31,,2.13,3.56,56.88,18.06,1.48,10.61,0.2,31.66,12.19,23-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
23-Apr-2020 - 00:00,28.95,983.81,155.68,44.6,36.93,112.5,167.02,1.79,,1.8,5.52,50.0,14.08,0.8,8.02,0.0,26.37,8.62,24-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
24-Apr-2020 - 00:00,28.77,981.61,196.21,56.26,39.62,73.44,176.31,1.04,,1.93,4.35,55.49,14.55,2.35,9.33,0.02,28.78,8.27,25-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
25-Apr-2020 - 00:00,30.98,982.55,84.16,14.61,35.87,140.24,222.65,2.01,,0.57,2.1,52.12,7.47,0.65,4.33,0.3,33.7,6.55,26-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
26-Apr-2020 - 00:00,25.44,985.22,123.27,37.76,52.52,109.01,154.0,2.51,,1.79,3.22,101.28,8.71,0.71,5.11,0.19,26.83,9.79,27-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
27-Apr-2020 - 00:00,23.37,987.78,40.6,20.0,64.47,115.09,222.45,2.79,0.0,1.18,2.84,127.93,23.73,6.43,17.83,0.0,8.0,8.57,28-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
