from date,NO,NO2,NOx,SO2,CO,Ozone,PM10,PM2.5,NH3,AT,RH,WS,VWS,WD,SR,BP,RF,Benzene,Toluene,MP-Xylene,Xylene,Temp,to date,station
23-Jan-2020 - 00:00,3.07,18.05,12.1,18.6,0.74,41.37,93.03,59.65,18.21,26.89,76.43,1.83,0.02,150.16,74.11,761.02,0.0,0.46,1.41,0.16,0.15,27.21,24-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
24-Jan-2020 - 00:00,2.51,14.99,10.01,22.85,0.72,43.63,96.46,61.06,17.98,27.29,76.88,1.96,0.01,143.81,79.54,760.06,0.02,0.69,2.13,0.15,0.14,29.1,25-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
25-Jan-2020 - 00:00,1.7,12.12,7.83,18.69,0.64,46.49,75.81,50.59,18.48,27.48,75.92,1.99,-0.0,165.28,74.1,759.5,0.02,0.48,0.91,0.1,0.1,29.29,26-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
26-Jan-2020 - 00:00,2.46,15.76,10.38,19.8,0.62,37.27,64.76,38.92,16.56,27.07,75.02,1.45,-0.01,165.74,64.74,757.93,0.17,0.48,1.18,0.17,0.14,28.89,27-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
27-Jan-2020 - 00:00,2.92,16.61,11.21,19.52,0.57,44.84,62.09,34.1,17.89,27.54,73.53,2.27,-0.0,176.28,82.67,757.43,0.0,0.41,0.9,0.14,0.13,29.73,28-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
28-Jan-2020 - 00:00,2.54,14.19,9.6,20.22,0.51,38.27,60.88,33.9,16.65,26.85,75.96,3.48,-0.02,143.42,77.19,757.88,0.0,0.31,0.58,0.12,0.11,28.85,29-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
29-Jan-2020 - 00:00,2.22,9.33,6.76,13.15,0.52,31.63,50.97,29.28,17.39,27.68,77.85,3.47,0.0,138.52,72.44,759.01,0.0,0.22,0.36,0.11,0.12,29.93,30-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
30-Jan-2020 - 00:00,2.67,14.05,9.65,15.46,0.56,36.97,60.79,32.41,16.09,28.88,73.96,2.46,-0.0,145.68,67.45,758.06,0.0,0.32,0.7,0.1,0.1,31.3,31-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
31-Jan-2020 - 00:00,3.79,15.59,11.39,19.34,0.49,32.75,54.02,26.9,15.32,27.79,74.94,2.31,-0.01,173.45,81.26,757.45,0.0,0.34,0.8,0.13,0.12,32.25,01-Feb-2020 - 00:00,"Secretariat, Amaravati - APPCB"
01-Feb-2020 - 00:00,2.7,11.54,8.33,18.82,0.44,32.13,42.45,20.55,13.02,27.18,76.71,3.34,0.01,136.74,76.25,758.54,0.0,0.22,0.45,0.12,0.12,29.44,02-Feb-2020 - 00:00,"Secretariat, Amaravati - APPCB"
02-Feb-2020 - 00:00,2.12,10.64,7.38,12.73,0.48,31.59,42.65,20.48,13.24,27.27,76.24,3.45,0.01,108.4,79.38,760.56,0.0,0.28,0.95,0.15,0.13,28.93,03-Feb-2020 - 00:00,"Secretariat, Amaravati - APPCB"
03-Feb-2020 - 00:00,3.38,12.39,9.34,16.1,0.54,30.33,47.46,24.48,14.53,27.23,76.22,2.86,0.01,127.06,73.71,760.68,0.0,0.35,0.94,0.16,0.19,29.42,04-Feb-2020 - 00:00,"Secretariat, Amaravati - APPCB"
