from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,RF,SR,to date,station
12-Apr-2020 - 00:00,9.73,2.11,6.84,21.01,11.16,1.56,68.98,25.45,83.8,0.1,0.58,32.52,2.79,40.94,36.11,741.59,0.0,119.51,13-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
13-Apr-2020 - 00:00,14.06,2.07,9.1,20.95,11.76,2.34,52.08,51.22,142.84,0.17,0.76,33.46,1.93,33.94,37.68,741.33,0.0,117.02,14-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
14-Apr-2020 - 00:00,,,,,17.3,1.97,53.9,50.21,142.56,0.22,1.12,35.54,0.79,105.49,36.01,741.53,0.0,94.76,15-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
15-Apr-2020 - 00:00,,,,,15.26,2.61,55.98,64.42,232.18,0.27,1.31,35.32,1.61,90.98,33.88,741.39,0.0,103.9,16-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
16-Apr-2020 - 00:00,,,,,16.11,2.4,60.08,85.96,245.79,0.36,1.53,34.72,1.7,48.0,34.34,741.21,0.0,101.28,17-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
17-Apr-2020 - 00:00,,,,,14.55,1.81,69.76,24.66,110.66,0.11,0.46,34.54,2.52,82.32,33.23,741.18,0.0,105.66,18-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
18-Apr-2020 - 00:00,,,,,9.97,1.95,62.75,24.92,124.25,0.13,0.22,31.94,2.82,93.28,39.33,741.35,0.0,100.41,19-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
19-Apr-2020 - 00:00,,,,,10.14,2.0,60.99,29.68,63.69,0.13,0.52,30.54,2.34,54.48,41.19,741.28,0.04,115.99,20-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
20-Apr-2020 - 00:00,,,,,9.9,2.28,36.49,65.59,156.59,0.25,1.03,28.06,1.19,88.4,43.68,741.3,0.0,58.88,21-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
21-Apr-2020 - 00:00,,,,,10.65,1.83,62.71,36.19,100.93,0.16,0.62,29.97,1.75,55.65,41.65,741.31,0.0,113.29,22-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
