from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,to date,station
20-Apr-2020 - 00:00,46.0,,20.66,2.26,12.75,41.54,9.74,0.66,19.04,,,1.19,153.49,27.53,44.94,743.0,21-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
21-Apr-2020 - 00:00,46.0,,19.07,1.4,11.28,38.41,9.32,,33.27,,,0.84,128.96,28.45,42.7,743.0,22-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
22-Apr-2020 - 00:00,38.56,105.06,22.87,1.57,13.44,35.66,12.47,,35.75,,,0.72,133.24,30.17,34.07,743.06,23-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
23-Apr-2020 - 00:00,62.55,154.92,18.72,1.23,10.96,35.73,10.4,,34.31,,,1.42,160.45,29.96,37.38,743.01,24-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
24-Apr-2020 - 00:00,66.31,139.27,19.08,1.68,11.52,39.38,8.58,,34.35,,,0.69,158.6,30.3,41.49,743.14,25-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
25-Apr-2020 - 00:00,47.12,144.68,18.63,1.21,10.89,36.81,8.73,1.9,33.75,,,0.83,157.69,31.37,35.6,743.03,26-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
26-Apr-2020 - 00:00,55.04,185.45,16.71,1.45,10.05,56.62,8.57,2.65,21.18,,,1.51,125.17,25.82,59.65,743.0,27-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
27-Apr-2020 - 00:00,26.87,53.27,12.99,1.25,7.85,48.02,8.42,2.33,25.91,,,2.27,113.72,25.74,66.57,743.0,28-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
28-Apr-2020 - 00:00,37.78,92.22,14.2,1.24,8.56,36.2,7.26,1.2,29.18,,,1.06,129.24,28.32,56.01,743.0,29-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
29-Apr-2020 - 00:00,55.05,97.24,12.93,1.32,7.96,32.16,7.42,1.37,36.74,,,1.21,154.44,30.74,51.05,743.07,30-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
30-Apr-2020 - 00:00,49.1,136.75,13.05,1.08,7.81,30.06,7.39,1.33,37.18,,,0.75,160.16,31.66,47.53,743.17,01-May-2020 - 00:00,"Sector-116, Noida - UPPCB"
01-May-2020 - 00:00,53.74,132.18,13.36,0.86,7.56,28.62,9.54,0.76,39.78,,,1.24,120.43,30.89,56.43,743.07,02-May-2020 - 00:00,"Sector-116, Noida - UPPCB"
02-May-2020 - 00:00,31.24,107.92,11.18,0.2,5.99,25.47,8.28,1.34,37.28,,,2.32,116.85,30.23,55.69,743.0,03-May-2020 - 00:00,"Sector-116, Noida - UPPCB"
03-May-2020 - 00:00,31.33,79.21,11.21,0.26,6.09,23.89,7.84,1.76,31.17,,,1.96,123.88,28.33,62.18,743.0,04-May-2020 - 00:00,"Sector-116, Noida - UPPCB"
04-May-2020 - 00:00,24.96,64.24,13.82,0.19,7.41,21.59,7.98,1.03,32.08,,,1.31,117.8,28.45,56.82,743.03,05-May-2020 - 00:00,"Sector-116, Noida - UPPCB"
05-May-2020 - 00:00,49.9,112.34,15.0,0.58,8.23,21.87,7.89,2.6,34.96,,,0.87,102.01,31.62,43.51,743.07,06-May-2020 - 00:00,"Sector-116, Noida - UPPCB"
06-May-2020 - 00:00,52.66,160.5,15.88,1.1,9.34,22.14,8.16,1.31,33.68,,,1.36,116.57,30.12,46.66,743.0,07-May-2020 - 00:00,"Sector-116, Noida - UPPCB"
07-May-2020 - 00:00,29.68,95.45,16.66,0.86,9.56,20.46,8.81,1.16,41.63,,,1.73,123.1,29.99,39.79,743.1,08-May-2020 - 00:00,"Sector-116, Noida - UPPCB"
08-May-2020 - 00:00,44.56,116.41,12.93,0.99,7.69,24.29,8.5,1.49,52.89,,,2.13,144.42,32.36,43.36,743.18,09-May-2020 - 00:00,"Sector-116, Noida - UPPCB"
