from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
02-Apr-2020 - 00:00,47.47,104.31,5.86,15.18,9.4,27.73,7.84,0.93,40.9,11.97,119.53,2.0,1.26,1.0,54.76,127.34,1.59,144.01,0.0,03-Apr-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
03-Apr-2020 - 00:00,49.1,106.74,10.41,18.44,8.03,29.35,7.33,0.9,55.83,12.01,120.16,2.0,1.26,1.0,50.76,122.75,2.42,217.57,0.0,04-Apr-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
04-Apr-2020 - 00:00,44.1,90.96,6.09,14.03,7.95,26.38,10.62,0.84,68.36,12.02,119.95,2.0,1.26,1.0,48.81,133.3,2.09,189.92,0.0,05-Apr-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
05-Apr-2020 - 00:00,47.31,89.23,6.57,14.77,8.21,27.66,8.32,1.0,,12.02,119.93,2.0,1.26,1.0,54.21,121.77,2.14,223.09,0.0,06-Apr-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
06-Apr-2020 - 00:00,42.8,81.05,4.7,12.83,8.16,27.51,4.98,0.86,24.53,11.99,119.86,2.0,1.26,1.0,70.1,148.71,2.98,237.71,0.0,07-Apr-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
07-Apr-2020 - 00:00,35.34,79.77,3.4,11.49,8.15,25.89,4.37,0.64,38.52,11.99,120.24,2.0,1.26,1.0,63.92,146.75,3.03,242.69,0.0,08-Apr-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
08-Apr-2020 - 00:00,42.06,106.74,3.74,11.89,8.2,24.47,5.99,0.68,36.11,12.02,119.79,2.0,1.26,1.0,73.03,155.21,3.11,238.54,0.0,09-Apr-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
09-Apr-2020 - 00:00,41.41,103.73,3.86,11.86,8.04,25.28,6.29,0.83,39.39,11.98,120.01,2.0,1.26,1.0,72.79,119.23,2.78,242.52,0.0,10-Apr-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
10-Apr-2020 - 00:00,40.84,100.09,4.87,13.11,8.27,24.71,8.85,0.76,43.52,12.04,119.94,2.0,1.25,1.0,62.98,134.23,2.32,185.12,0.0,11-Apr-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
11-Apr-2020 - 00:00,54.94,117.18,8.74,19.26,10.81,31.36,11.43,0.91,59.78,11.98,120.0,2.0,1.25,1.0,45.54,124.27,1.55,147.01,0.0,12-Apr-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
12-Apr-2020 - 00:00,78.54,148.19,8.74,21.89,13.75,48.96,13.81,1.17,47.52,11.99,119.59,2.0,1.26,1.0,45.36,120.73,1.76,169.87,0.0,13-Apr-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
13-Apr-2020 - 00:00,46.64,112.73,5.78,14.51,8.79,47.17,7.27,0.87,53.49,12.03,119.83,2.0,1.25,1.0,48.28,141.31,2.07,148.87,0.0,14-Apr-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
14-Apr-2020 - 00:00,43.04,96.14,7.46,16.01,8.57,40.2,6.98,0.87,49.22,11.99,120.07,2.0,1.26,1.0,53.37,126.08,1.94,136.22,0.0,15-Apr-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
15-Apr-2020 - 00:00,57.28,113.2,9.15,18.39,9.26,51.73,12.3,0.93,49.44,12.0,119.95,2.0,1.26,1.0,43.9,121.3,1.64,144.76,0.0,16-Apr-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
