from date,BP,PM10,PM2.5,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
17-Aug-2020 - 00:00,721.76,30.91,12.58,179.88,1.26,0.7,0.42,2.3,0.98,0.59,39.15,2.24,23.34,25.55,11.7,10.04,18-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Aug-2020 - 00:00,722.57,36.49,13.52,207.17,1.33,0.63,0.34,2.0,0.86,0.53,29.35,1.88,16.19,17.99,20.76,9.45,19-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Aug-2020 - 00:00,722.51,34.52,13.42,219.65,1.47,0.45,0.24,1.6,0.91,0.77,29.11,2.13,15.96,18.08,25.83,9.58,20-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Aug-2020 - 00:00,723.34,22.13,8.19,75.86,1.57,0.35,0.08,0.46,0.19,0.69,29.75,1.08,18.22,19.26,19.12,7.07,21-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Aug-2020 - 00:00,724.45,31.62,8.3,59.63,2.09,0.36,0.09,0.48,0.2,0.73,20.77,1.32,10.38,11.66,28.4,6.41,22-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Aug-2020 - 00:00,723.29,32.46,11.57,44.11,2.64,0.46,0.14,1.07,0.41,0.55,25.6,2.42,13.89,16.27,15.58,8.1,23-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Aug-2020 - 00:00,721.87,26.57,8.62,48.64,2.52,0.25,0.03,0.24,0.09,0.58,20.78,1.73,10.47,12.19,21.66,7.6,24-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Aug-2020 - 00:00,722.66,20.79,7.3,143.21,1.4,0.41,0.11,0.62,0.24,0.78,24.1,1.19,15.69,16.82,21.55,6.93,25-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Aug-2020 - 00:00,725.34,23.06,9.9,201.53,1.95,0.32,0.17,1.21,0.52,0.58,26.74,1.83,17.72,19.6,24.04,10.17,26-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Aug-2020 - 00:00,727.21,39.36,14.19,220.33,1.97,0.45,0.3,1.82,0.85,0.99,37.11,3.87,24.55,28.41,16.31,6.34,27-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Aug-2020 - 00:00,726.6,43.39,14.89,271.09,1.04,0.82,0.52,2.68,1.12,0.54,43.46,4.85,28.76,33.6,18.98,9.94,28-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Aug-2020 - 00:00,724.7,56.26,22.54,230.68,1.45,1.02,1.37,3.08,1.6,0.95,26.88,2.76,16.05,18.78,27.84,8.58,29-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
