from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,WS,WD,RH,SR,RF,to date,station
02-Jun-2020 - 00:00,10.52,15.7,19.11,78.7,75.28,12.66,15.05,1.4,1.23,0.0,0.0,0.0,0.0,0.93,2.46,85.58,164.44,2.12,03-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
03-Jun-2020 - 00:00,9.95,19.13,20.46,80.94,77.25,11.52,14.47,1.44,1.21,0.0,0.0,0.0,0.0,0.97,2.55,80.01,338.18,0.42,04-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
04-Jun-2020 - 00:00,10.74,24.51,24.49,93.89,89.39,14.56,14.44,1.56,1.21,0.0,0.0,0.0,0.0,0.96,2.52,81.16,294.67,0.49,05-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
05-Jun-2020 - 00:00,8.56,17.7,26.99,93.16,88.16,15.88,16.62,1.79,1.06,0.0,0.0,0.0,0.0,0.81,2.62,83.07,253.7,0.94,06-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
06-Jun-2020 - 00:00,9.57,14.32,27.53,101.53,96.42,16.12,20.3,1.76,0.89,0.0,0.05,0.0,0.0,0.7,2.46,88.51,104.84,0.73,07-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
07-Jun-2020 - 00:00,12.07,17.29,29.07,107.92,102.5,17.17,20.85,1.46,0.92,0.0,0.0,0.0,0.0,0.7,2.51,85.13,188.97,0.13,08-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
08-Jun-2020 - 00:00,22.58,46.07,29.89,90.92,86.66,16.88,21.15,1.62,0.73,0.0,0.0,0.0,0.0,0.76,2.64,73.18,336.71,0.0,09-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
09-Jun-2020 - 00:00,32.33,52.37,30.37,55.79,52.56,18.58,21.32,1.83,1.12,0.0,0.0,0.0,0.0,0.44,2.38,79.58,211.25,0.16,10-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
10-Jun-2020 - 00:00,26.79,42.59,31.37,57.66,54.32,19.31,21.45,1.71,1.14,0.0,0.0,0.0,0.0,0.63,2.4,80.88,206.77,0.36,11-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
11-Jun-2020 - 00:00,16.04,23.5,15.6,24.28,30.09,9.04,21.52,1.8,1.07,0.0,0.0,0.0,0.0,0.78,2.34,81.09,205.74,0.5,12-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
12-Jun-2020 - 00:00,23.11,34.25,5.91,8.43,10.22,0.83,20.1,1.72,1.11,0.0,0.0,0.0,0.0,0.79,2.18,82.7,169.85,0.71,13-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
13-Jun-2020 - 00:00,22.56,39.41,5.38,0.22,1.36,0.87,20.92,1.68,1.46,0.0,0.0,0.02,0.03,0.82,2.45,81.05,295.97,0.31,14-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
14-Jun-2020 - 00:00,11.92,17.04,5.17,0.0,,0.92,20.07,1.38,1.31,0.0,0.0,0.0,0.0,0.79,2.33,82.24,247.98,0.96,15-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
15-Jun-2020 - 00:00,26.98,66.85,5.19,0.0,,1.14,19.92,1.74,1.28,0.0,0.0,0.0,0.0,0.7,2.96,70.66,403.02,0.09,16-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
16-Jun-2020 - 00:00,18.15,34.45,2.93,0.9,8.86,,20.24,1.63,1.0,0.0,0.0,0.0,0.0,0.68,2.54,79.93,247.04,0.55,17-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
