from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,AT,RH,BP,SR,WS,WD,to date,station
21-Mar-2020 - 00:00,13.0,40.27,14.62,13.31,27.93,11.93,12.63,0.39,28.97,0.44,0.49,1.38,24.58,75.96,,307.89,0.75,152.62,22-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
22-Mar-2020 - 00:00,12.95,28.6,5.29,7.45,12.74,10.99,12.97,0.34,38.32,0.29,0.15,0.52,25.6,75.98,,315.4,0.87,176.85,23-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
23-Mar-2020 - 00:00,24.44,53.22,7.21,7.72,14.93,10.78,13.22,0.38,45.2,0.36,0.19,0.7,26.69,73.95,,312.99,0.81,190.11,24-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
24-Mar-2020 - 00:00,33.67,79.35,12.78,12.35,25.12,11.0,14.95,0.63,51.03,0.74,0.6,2.24,26.92,72.8,,307.98,0.76,183.8,25-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
25-Mar-2020 - 00:00,28.33,55.39,10.82,8.19,19.01,11.43,13.7,0.46,44.78,0.79,0.4,1.55,27.08,78.05,,267.9,0.66,166.84,26-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
26-Mar-2020 - 00:00,24.48,53.18,8.23,8.43,16.67,9.65,13.73,0.42,36.04,0.83,0.32,1.08,27.11,80.02,,240.41,0.65,178.19,27-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
27-Mar-2020 - 00:00,20.88,,5.39,6.82,12.21,7.76,13.52,0.41,56.93,0.5,0.14,0.46,26.84,76.19,,280.43,0.9,196.11,28-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
28-Mar-2020 - 00:00,26.25,,7.89,6.81,14.7,6.38,13.7,0.42,57.06,0.7,0.24,0.73,27.07,61.74,,296.88,0.89,176.07,29-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
29-Mar-2020 - 00:00,19.19,,6.25,5.72,11.97,5.59,13.37,0.37,72.43,0.46,0.17,0.48,27.39,60.17,,301.88,0.85,177.82,30-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
30-Mar-2020 - 00:00,16.52,,6.71,6.35,13.06,5.71,13.11,0.39,56.18,0.37,0.15,0.61,26.68,67.61,,294.73,0.79,182.55,31-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
31-Mar-2020 - 00:00,,,5.74,7.27,13.01,7.03,13.39,0.39,44.58,0.36,0.22,0.63,26.37,73.2,,323.01,0.85,186.02,01-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
01-Apr-2020 - 00:00,,,4.89,7.43,12.32,7.24,13.45,0.39,46.67,0.36,0.16,0.4,26.41,75.03,,339.45,0.89,181.32,02-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
02-Apr-2020 - 00:00,,,4.91,6.6,11.51,7.32,13.9,0.39,59.56,0.4,0.14,0.32,27.08,74.24,,323.65,0.85,194.98,03-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
03-Apr-2020 - 00:00,,,4.35,7.08,11.43,7.1,13.45,0.37,44.65,0.28,0.14,0.36,27.07,75.97,,314.05,0.87,205.27,04-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
04-Apr-2020 - 00:00,,,4.81,7.57,12.38,7.47,13.71,0.38,41.1,0.27,0.15,0.4,26.84,79.5,,325.32,0.83,202.35,05-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
05-Apr-2020 - 00:00,,,6.11,7.87,13.98,7.24,13.65,0.41,44.11,0.43,0.19,0.58,26.69,81.57,,329.82,0.76,195.79,06-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
06-Apr-2020 - 00:00,,,4.15,7.82,11.72,6.6,12.96,0.33,39.45,0.63,0.15,0.34,26.79,82.18,,322.15,0.74,175.03,07-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
