from date,PM2.5,PM10,RH,SR,Temp,BP,WD,VWS,WS,RF,CO,Ozone,NO2,NO,NOx,NH3,SO2,Benzene,Toluene,Xylene,to date,station
20-Mar-2020 - 00:00,22.79,66.29,53.4,160.88,28.22,709.41,125.22,0.0,1.88,0.0,0.27,38.84,2.94,5.66,6.22,2.5,2.56,4.13,13.04,4.05,21-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
21-Mar-2020 - 00:00,30.52,87.99,54.27,180.35,28.3,709.52,145.0,0.0,1.11,0.0,0.47,38.16,1.5,5.69,5.5,2.31,3.01,4.81,16.94,5.18,22-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
22-Mar-2020 - 00:00,29.28,67.9,56.74,180.95,28.23,709.84,109.41,0.0,1.06,0.0,0.38,33.64,1.47,5.56,5.32,2.39,2.79,4.53,18.21,3.52,23-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
23-Mar-2020 - 00:00,30.52,68.64,58.19,163.34,28.23,709.55,101.43,0.0,1.64,0.0,0.49,37.03,1.52,5.91,5.62,2.45,2.28,2.75,10.22,1.05,24-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
24-Mar-2020 - 00:00,22.27,57.42,54.65,178.97,28.23,708.94,109.41,0.0,1.73,0.0,0.4,35.48,1.8,5.8,5.65,2.31,2.9,2.1,6.61,0.63,25-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
25-Mar-2020 - 00:00,19.93,52.38,52.03,176.91,28.18,708.85,105.88,0.0,1.66,0.0,0.36,34.17,1.35,5.93,5.25,2.51,1.95,2.2,7.57,0.65,26-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
26-Mar-2020 - 00:00,22.04,56.8,50.43,180.72,28.22,709.81,96.03,0.0,1.52,0.0,0.29,35.25,1.57,5.92,5.66,2.52,2.27,2.34,5.68,0.45,27-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
27-Mar-2020 - 00:00,26.23,64.73,45.55,187.74,28.2,710.57,118.8,0.0,1.82,0.0,0.25,40.9,1.64,6.2,5.67,2.46,3.36,1.64,2.66,0.21,28-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
28-Mar-2020 - 00:00,28.08,60.88,41.2,177.75,28.37,710.04,118.04,0.0,1.14,0.0,0.25,47.21,4.32,5.87,6.79,14.35,3.04,2.18,4.26,0.21,29-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
29-Mar-2020 - 00:00,33.8,69.44,44.02,173.27,28.17,709.87,117.85,0.0,1.41,0.0,0.54,48.51,38.73,2.72,21.37,17.75,3.37,2.96,6.0,0.36,30-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
30-Mar-2020 - 00:00,29.84,61.66,47.41,180.68,28.03,711.82,102.94,0.0,1.66,0.0,0.35,44.61,50.23,1.65,26.71,10.66,4.42,2.62,5.75,0.36,31-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
31-Mar-2020 - 00:00,36.42,67.04,48.02,173.89,28.2,712.03,114.99,-0.05,1.22,0.0,0.46,48.53,50.35,2.81,27.75,10.78,2.94,3.4,8.06,0.39,01-Apr-2020 - 00:00,"Central University, Hyderabad - TSPCB"
01-Apr-2020 - 00:00,38.68,75.2,48.38,138.49,28.12,711.61,138.34,-0.08,1.04,0.0,0.39,43.9,49.78,5.63,30.48,11.79,2.39,3.59,10.89,0.66,02-Apr-2020 - 00:00,"Central University, Hyderabad - TSPCB"
02-Apr-2020 - 00:00,37.44,71.03,45.76,143.0,28.18,710.33,121.26,-0.08,1.25,0.0,0.36,44.61,49.37,4.55,29.63,11.08,2.7,3.19,7.3,0.7,03-Apr-2020 - 00:00,"Central University, Hyderabad - TSPCB"
03-Apr-2020 - 00:00,33.12,66.44,48.5,121.21,28.41,711.04,106.15,-0.1,1.42,0.0,0.76,37.06,49.82,4.21,29.47,10.44,6.91,2.67,6.24,0.66,04-Apr-2020 - 00:00,"Central University, Hyderabad - TSPCB"
04-Apr-2020 - 00:00,33.91,64.46,49.49,33.2,28.57,711.7,103.66,-0.08,0.98,0.0,0.57,33.41,58.48,5.34,33.73,9.91,3.06,3.98,9.84,1.47,05-Apr-2020 - 00:00,"Central University, Hyderabad - TSPCB"
05-Apr-2020 - 00:00,27.5,54.57,50.89,166.54,,711.78,112.09,-0.1,1.57,0.0,0.49,31.37,54.09,4.02,31.64,10.9,2.33,2.18,5.21,0.47,06-Apr-2020 - 00:00,"Central University, Hyderabad - TSPCB"
06-Apr-2020 - 00:00,23.76,63.55,55.0,110.85,28.4,711.81,175.38,-0.07,1.38,0.0,0.58,32.34,53.51,7.35,31.63,12.03,2.33,3.66,13.13,0.49,07-Apr-2020 - 00:00,"Central University, Hyderabad - TSPCB"
07-Apr-2020 - 00:00,16.78,36.86,50.24,173.14,,710.54,138.96,-0.08,1.44,0.0,0.61,39.87,62.03,7.09,37.51,12.9,2.56,2.33,5.33,0.17,08-Apr-2020 - 00:00,"Central University, Hyderabad - TSPCB"
08-Apr-2020 - 00:00,19.32,45.29,47.42,71.78,28.34,710.44,151.0,-0.09,1.25,0.0,0.72,56.56,47.25,1.0,25.13,9.49,1.46,2.42,4.25,0.21,09-Apr-2020 - 00:00,"Central University, Hyderabad - TSPCB"
09-Apr-2020 - 00:00,24.35,57.76,55.46,185.72,28.48,710.87,123.5,-0.07,1.4,0.12,0.57,30.27,55.54,24.39,34.27,14.92,5.16,4.72,17.73,0.84,10-Apr-2020 - 00:00,"Central University, Hyderabad - TSPCB"
10-Apr-2020 - 00:00,16.21,36.96,52.62,192.0,28.16,730.36,129.74,-0.05,1.43,0.0,0.83,13.82,99.35,26.05,57.35,24.26,4.75,2.06,8.08,0.34,11-Apr-2020 - 00:00,"Central University, Hyderabad - TSPCB"
11-Apr-2020 - 00:00,16.7,40.21,47.46,185.23,28.6,753.03,97.96,-0.1,1.27,0.0,0.34,8.11,82.45,22.05,52.32,20.8,4.18,2.32,8.3,0.64,12-Apr-2020 - 00:00,"Central University, Hyderabad - TSPCB"
12-Apr-2020 - 00:00,24.79,54.04,45.59,175.33,28.84,727.85,109.44,-0.1,1.16,0.0,0.29,7.11,35.48,2.39,19.97,12.02,4.76,3.2,8.4,0.88,13-Apr-2020 - 00:00,"Central University, Hyderabad - TSPCB"
13-Apr-2020 - 00:00,28.13,61.84,40.82,132.86,29.11,713.21,132.84,-0.1,1.07,0.0,0.55,9.78,29.1,4.99,18.21,12.46,5.26,2.11,4.03,0.28,14-Apr-2020 - 00:00,"Central University, Hyderabad - TSPCB"
