from date,AT,PM10,PM2.5,BP,WD,WS,RH,SR,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
08-Nov-2020 - 00:00,28.21,693.2,530.59,995.12,141.25,0.15,57.86,75.4,,93.02,58.97,61.0,102.24,145.27,36.54,14.13,3.48,09-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
09-Nov-2020 - 00:00,28.07,821.78,665.38,993.61,169.18,0.17,61.74,68.54,,123.25,70.06,49.6,103.07,112.51,40.29,13.22,3.68,10-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
10-Nov-2020 - 00:00,27.99,559.55,414.78,992.57,100.27,0.13,67.94,63.84,,96.19,76.87,104.19,102.49,158.64,40.58,12.39,4.7,11-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
11-Nov-2020 - 00:00,28.28,458.21,256.32,994.4,94.54,0.26,64.99,79.89,,71.82,50.47,105.16,70.14,134.04,27.7,11.93,2.78,12-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
12-Nov-2020 - 00:00,28.54,420.0,251.0,995.62,95.59,0.17,62.41,85.01,,62.36,54.48,76.33,69.45,125.19,44.24,12.72,2.69,13-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
13-Nov-2020 - 00:00,28.44,505.41,299.82,994.18,127.82,0.18,61.83,80.64,,81.7,54.51,60.5,79.46,102.83,52.58,12.14,3.33,14-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
14-Nov-2020 - 00:00,27.55,727.95,551.54,991.97,98.85,0.15,64.67,57.96,,49.39,54.85,55.21,105.3,101.01,38.33,20.2,3.2,15-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
15-Nov-2020 - 00:00,28.32,443.55,357.76,991.32,99.3,0.87,63.94,66.09,,31.67,51.33,18.29,70.41,52.28,56.53,20.53,1.71,16-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
16-Nov-2020 - 00:00,28.16,156.42,93.34,993.12,125.39,0.74,70.29,58.29,,16.1,45.53,10.56,41.41,30.63,41.36,9.34,0.96,17-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
17-Nov-2020 - 00:00,28.13,201.42,105.7,991.51,258.38,0.33,64.03,80.55,,31.74,38.09,25.0,55.31,49.8,23.89,9.29,1.08,18-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
