from date,NO2,NOx,NO,NH3,SO2,Ozone,CO,PM10,PM2.5,Benzene,Toluene,AT,Temp,BP,RH,RF,WS,WD,SR,to date,station
27-Mar-2020 - 00:00,7.26,6.54,3.29,37.84,18.84,44.36,1.46,56.27,27.04,0.46,1.16,21.19,27.59,744.0,59.62,0.01,3.0,203.38,60.63,28-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
28-Mar-2020 - 00:00,9.61,6.84,2.13,34.12,21.15,62.83,1.32,38.69,20.92,0.46,1.68,21.35,29.05,744.0,58.55,0.0,3.75,243.55,97.22,29-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
29-Mar-2020 - 00:00,15.57,10.96,3.18,29.34,21.96,75.39,1.05,70.45,22.49,0.4,0.87,22.33,31.59,744.0,50.17,0.0,5.41,261.11,111.75,30-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
30-Mar-2020 - 00:00,15.76,10.72,2.75,28.15,24.68,92.69,0.85,70.35,32.5,0.51,1.19,22.34,31.77,744.0,48.76,0.0,4.17,260.1,112.74,31-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
31-Mar-2020 - 00:00,15.52,10.47,2.61,30.0,22.88,95.68,0.91,82.16,37.13,0.6,1.43,23.49,31.68,744.0,46.97,0.0,3.61,260.85,106.38,01-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
01-Apr-2020 - 00:00,12.41,8.78,2.56,33.96,16.63,91.96,1.01,85.52,37.5,0.7,1.08,24.41,31.63,744.0,46.69,0.0,3.05,225.91,102.49,02-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-Apr-2020 - 00:00,6.62,5.68,2.51,25.76,21.34,89.6,0.92,73.07,25.95,0.4,0.79,23.43,28.94,744.0,46.35,0.0,4.96,257.6,111.73,03-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
03-Apr-2020 - 00:00,11.6,8.36,2.58,22.69,31.83,102.62,1.08,81.96,33.15,0.56,1.0,22.55,27.98,744.0,40.98,0.0,3.96,263.84,116.82,04-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
04-Apr-2020 - 00:00,17.09,11.32,2.62,27.74,28.49,97.39,1.19,103.44,51.28,0.95,1.93,23.68,29.86,744.0,40.95,0.0,3.11,261.19,114.85,05-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-Apr-2020 - 00:00,15.52,10.72,2.9,31.95,35.91,106.32,1.28,135.27,74.52,1.45,1.95,25.11,29.39,801.12,41.05,0.0,2.73,223.06,107.25,06-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-Apr-2020 - 00:00,13.86,8.91,1.9,34.98,28.3,90.87,1.5,142.14,75.86,1.54,1.65,25.9,29.74,787.2,40.85,0.0,3.16,229.93,86.98,07-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-Apr-2020 - 00:00,10.76,7.88,2.51,34.21,20.9,90.79,1.05,121.12,37.09,0.76,0.88,25.18,30.51,741.0,43.18,0.0,5.01,245.48,118.99,08-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-Apr-2020 - 00:00,13.83,9.67,2.68,29.65,27.49,89.91,1.13,122.96,39.55,0.86,1.34,25.44,28.74,741.0,39.16,0.0,4.34,150.01,118.96,09-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
09-Apr-2020 - 00:00,14.65,10.27,3.12,28.57,25.04,80.24,1.14,116.34,56.55,0.92,1.49,24.54,27.6,741.0,40.09,0.0,2.86,209.42,107.39,10-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-Apr-2020 - 00:00,22.03,15.99,5.05,32.21,26.52,55.84,1.51,163.99,87.67,1.3,3.82,25.58,28.07,741.0,39.62,0.0,1.98,267.75,115.32,11-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
11-Apr-2020 - 00:00,23.45,16.15,4.63,43.09,27.22,64.69,1.44,188.38,85.73,1.42,2.64,28.08,28.09,741.0,37.17,0.0,1.73,221.61,104.99,12-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
12-Apr-2020 - 00:00,21.82,13.47,2.15,42.41,31.43,61.43,1.29,144.3,40.21,0.68,1.84,27.67,29.77,741.0,37.31,0.0,3.0,278.31,118.39,13-Apr-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
