from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,O Xylene,AT,WS,WD,RH,SR,RF,to date,station
10-Nov-2020 - 00:00,5.89,10.12,2.62,0.9,1.05,2.68,7.95,0.14,21.28,0.02,0.03,0.04,0.02,0.03,12.29,5.22,118.52,36.9,106.39,0.0,11-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Nov-2020 - 00:00,5.84,9.86,2.27,0.78,0.83,2.32,6.99,0.12,11.34,0.0,0.01,0.02,0.01,0.01,10.88,3.61,90.4,38.75,106.9,0.0,12-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Nov-2020 - 00:00,10.13,15.56,2.0,0.68,0.72,2.06,6.73,0.13,12.88,0.0,0.01,0.02,0.01,0.01,9.99,3.0,97.95,35.13,72.04,0.0,13-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Nov-2020 - 00:00,6.44,13.45,2.73,0.95,1.09,2.75,8.88,0.15,27.88,0.0,0.0,0.03,0.01,0.0,14.11,3.93,144.77,32.43,106.64,0.0,14-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Nov-2020 - 00:00,7.58,12.5,2.43,0.85,0.77,2.53,8.42,0.13,20.24,0.0,0.02,0.02,0.01,0.01,13.05,5.23,121.92,35.06,85.78,0.0,15-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Nov-2020 - 00:00,7.68,10.75,2.72,0.94,1.1,2.79,10.58,0.15,23.83,0.01,0.02,0.02,0.01,0.02,14.46,6.59,135.86,36.74,105.03,0.0,16-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Nov-2020 - 00:00,5.95,12.19,2.42,0.84,0.97,2.51,8.64,0.14,18.5,0.0,0.01,0.01,0.01,0.0,12.44,5.19,124.06,33.87,92.52,0.0,17-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Nov-2020 - 00:00,18.09,31.84,2.7,0.91,1.11,2.77,8.5,0.19,37.95,0.01,0.01,0.02,0.01,0.02,11.31,6.97,174.81,54.53,68.88,0.0,18-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Nov-2020 - 00:00,22.95,35.39,2.83,0.96,1.17,2.91,8.72,0.22,36.17,0.01,0.02,0.03,0.01,0.01,10.91,5.08,171.1,51.09,93.05,0.0,19-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Nov-2020 - 00:00,37.43,54.04,2.9,0.98,1.19,2.97,9.37,0.26,49.72,0.0,0.02,0.04,0.01,0.02,10.18,5.84,205.92,63.15,71.39,0.0,20-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Nov-2020 - 00:00,38.56,53.99,2.92,0.96,1.26,2.99,8.62,0.29,51.05,0.01,0.03,0.03,0.01,0.02,11.39,6.03,193.56,62.08,71.95,0.0,21-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Nov-2020 - 00:00,43.5,56.8,2.95,0.98,1.22,2.95,8.84,0.26,52.9,0.0,0.02,0.01,0.0,0.01,11.52,6.36,189.07,61.26,69.9,0.0,22-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Nov-2020 - 00:00,42.15,,2.85,0.91,1.24,2.91,7.56,0.28,50.27,0.01,0.02,0.02,0.02,0.02,9.95,6.82,157.61,55.54,94.2,0.0,23-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Nov-2020 - 00:00,35.96,,2.69,0.89,1.15,2.76,6.97,0.24,29.85,0.01,0.02,0.02,0.02,0.02,9.28,3.66,102.18,57.2,83.39,0.0,24-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Nov-2020 - 00:00,17.05,34.37,2.8,0.92,1.18,2.91,7.61,0.21,22.09,0.0,0.02,0.03,0.02,0.01,10.62,4.33,141.95,40.7,94.76,0.0,25-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Nov-2020 - 00:00,2.51,25.2,2.86,0.96,1.15,2.9,8.75,0.19,20.81,0.0,0.01,0.02,0.02,0.01,12.22,3.8,153.22,36.7,100.77,0.0,26-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Nov-2020 - 00:00,10.61,17.83,2.88,0.95,1.22,2.96,8.76,0.21,27.37,0.01,0.02,0.03,0.02,0.02,12.62,3.41,140.48,31.36,98.49,0.0,27-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Nov-2020 - 00:00,13.86,28.19,2.92,0.98,1.23,2.95,9.32,0.19,31.38,0.01,0.02,0.03,0.02,0.02,13.49,4.05,168.11,31.91,62.78,0.0,28-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Nov-2020 - 00:00,14.53,24.4,2.73,0.93,1.14,2.83,9.49,0.18,27.26,0.01,0.03,0.03,0.02,0.03,12.54,4.29,158.58,39.84,77.82,0.0,29-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Nov-2020 - 00:00,14.51,22.63,2.84,0.98,1.16,2.91,10.16,0.19,23.1,0.01,0.01,0.03,0.02,0.03,13.01,4.09,147.29,44.01,102.61,0.0,30-Nov-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-Nov-2020 - 00:00,8.46,15.39,2.93,1.0,1.19,2.98,10.21,0.12,24.5,0.0,0.02,0.03,0.02,0.02,12.83,5.27,161.52,36.88,98.96,0.0,01-Dec-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-Dec-2020 - 00:00,2.11,,2.53,0.61,1.36,2.63,7.57,0.0,34.91,0.0,0.01,0.03,0.01,0.01,8.8,8.66,139.39,32.14,0.95,0.0,02-Dec-2020 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
