from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
01-May-2019 - 00:00,234.19,81.5,64.72,55.46,76.25,0.95,14.55,57.24,5.25,0.06,0.32,1.27,02-May-2019 - 00:00,"Pusa, Delhi - IMD"
02-May-2019 - 00:00,222.32,50.66,95.41,83.27,41.79,1.02,,53.24,3.08,0.03,0.24,1.29,03-May-2019 - 00:00,"Pusa, Delhi - IMD"
03-May-2019 - 00:00,112.85,35.81,260.67,325.08,335.58,0.89,,48.86,2.28,0.01,0.11,1.12,04-May-2019 - 00:00,"Pusa, Delhi - IMD"
04-May-2019 - 00:00,188.12,56.47,205.37,269.67,246.56,1.09,,37.83,3.99,0.07,0.43,1.47,05-May-2019 - 00:00,"Pusa, Delhi - IMD"
05-May-2019 - 00:00,201.39,72.02,215.29,240.82,226.8,1.24,0.0,45.85,5.14,0.06,0.79,1.61,06-May-2019 - 00:00,"Pusa, Delhi - IMD"
06-May-2019 - 00:00,211.63,74.89,160.9,212.29,191.05,1.46,,38.08,5.95,0.11,1.0,1.71,07-May-2019 - 00:00,"Pusa, Delhi - IMD"
07-May-2019 - 00:00,289.06,87.9,160.41,195.09,209.97,1.54,,29.3,5.31,0.13,0.86,1.42,08-May-2019 - 00:00,"Pusa, Delhi - IMD"
08-May-2019 - 00:00,317.33,102.99,92.09,111.49,101.09,1.75,,31.76,5.94,0.12,1.02,0.86,09-May-2019 - 00:00,"Pusa, Delhi - IMD"
09-May-2019 - 00:00,340.59,101.27,12.03,32.6,49.43,1.38,,40.21,4.96,0.04,0.88,1.31,10-May-2019 - 00:00,"Pusa, Delhi - IMD"
10-May-2019 - 00:00,255.0,69.36,4.67,18.62,25.67,1.2,,43.51,2.9,0.01,1.02,0.96,11-May-2019 - 00:00,"Pusa, Delhi - IMD"
11-May-2019 - 00:00,237.54,79.35,3.66,18.55,23.11,1.22,,53.37,4.19,0.0,0.79,0.91,12-May-2019 - 00:00,"Pusa, Delhi - IMD"
12-May-2019 - 00:00,383.12,156.56,4.12,17.09,22.13,1.33,2.59,51.68,5.05,0.0,0.69,0.66,13-May-2019 - 00:00,"Pusa, Delhi - IMD"
13-May-2019 - 00:00,346.87,154.05,5.94,27.34,36.13,1.69,5.69,46.27,5.67,0.0,0.8,1.16,14-May-2019 - 00:00,"Pusa, Delhi - IMD"
14-May-2019 - 00:00,100.85,40.16,4.85,20.19,26.34,0.96,,39.39,2.19,0.0,0.72,0.49,15-May-2019 - 00:00,"Pusa, Delhi - IMD"
15-May-2019 - 00:00,149.62,64.25,12.27,35.06,52.55,1.22,,26.76,4.56,0.01,0.86,1.4,16-May-2019 - 00:00,"Pusa, Delhi - IMD"
16-May-2019 - 00:00,176.73,60.94,9.67,31.5,48.78,0.89,0.0,30.26,3.43,0.03,0.72,0.88,17-May-2019 - 00:00,"Pusa, Delhi - IMD"
17-May-2019 - 00:00,270.36,72.98,13.19,30.06,49.54,0.79,31.05,32.69,2.99,0.05,0.8,0.33,18-May-2019 - 00:00,"Pusa, Delhi - IMD"
18-May-2019 - 00:00,83.01,34.64,5.4,18.07,24.81,0.68,,33.27,1.69,0.01,0.89,0.2,19-May-2019 - 00:00,"Pusa, Delhi - IMD"
19-May-2019 - 00:00,137.13,61.1,4.47,22.2,28.99,0.85,0.0,41.5,3.89,0.01,0.83,0.54,20-May-2019 - 00:00,"Pusa, Delhi - IMD"
20-May-2019 - 00:00,171.25,70.77,10.4,32.76,46.96,1.01,39.7,36.55,5.03,0.0,0.88,0.98,21-May-2019 - 00:00,"Pusa, Delhi - IMD"
