from date,NO2,NO,NOx,NH3,SO2,CO,Benzene,Eth-Benzene,MP-Xylene,Toluene,RH,WS,WD,SR,RF,PM2.5,PM10,Ozone,to date,station
02-Apr-2019 - 00:00,32.26,11.18,21.08,70.25,23.12,0.51,6.03,6.7,8.11,3.07,49.33,2.01,195.39,501.86,0.0,44.85,149.5,70.38,03-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
03-Apr-2019 - 00:00,24.03,5.21,18.86,69.36,22.51,0.47,5.04,3.8,5.79,0.52,47.18,2.73,287.61,516.4,0.0,36.96,142.04,77.46,04-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
04-Apr-2019 - 00:00,33.27,9.33,23.93,58.73,31.05,0.65,6.71,7.08,9.0,0.55,49.63,1.93,211.42,504.29,0.0,55.04,177.81,74.28,05-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
05-Apr-2019 - 00:00,28.46,8.1,20.36,61.77,27.98,0.59,5.85,4.13,6.0,0.52,53.24,2.36,229.46,456.27,0.0,50.69,163.16,84.66,06-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
06-Apr-2019 - 00:00,27.72,5.78,21.94,50.53,26.17,0.67,6.88,4.41,6.4,0.49,52.09,1.84,170.06,466.02,0.0,56.97,175.48,80.5,07-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
07-Apr-2019 - 00:00,27.17,7.38,19.78,45.35,19.75,0.56,5.44,3.51,4.87,0.48,56.13,2.46,145.41,446.91,0.0,56.59,218.11,65.89,08-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
08-Apr-2019 - 00:00,24.63,6.35,18.27,35.62,12.61,0.47,5.04,3.04,4.91,0.42,56.99,2.21,149.99,328.09,0.0,49.96,205.39,48.89,09-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
09-Apr-2019 - 00:00,28.63,7.91,20.71,46.65,29.01,0.54,6.2,4.11,5.97,0.42,50.71,1.76,210.13,518.52,0.0,40.86,136.57,71.94,10-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
10-Apr-2019 - 00:00,21.59,4.18,17.42,67.82,19.89,0.41,3.97,3.14,4.79,0.48,45.49,3.31,262.51,466.48,0.0,34.62,137.81,73.61,11-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
11-Apr-2019 - 00:00,30.01,10.64,19.37,67.46,33.48,0.47,5.47,3.77,5.51,0.53,28.82,2.4,248.77,577.72,0.0,43.64,150.59,74.83,12-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
12-Apr-2019 - 00:00,19.22,4.17,15.05,64.74,21.28,0.43,4.26,3.0,4.42,0.49,45.49,2.98,278.88,367.54,0.0,34.78,152.76,67.56,13-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
13-Apr-2019 - 00:00,21.38,4.99,16.4,55.64,25.12,0.37,3.46,2.94,4.58,0.45,45.43,3.74,310.2,454.23,0.0,29.97,145.96,43.7,14-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
14-Apr-2019 - 00:00,15.37,3.91,11.48,50.21,12.18,0.27,2.47,2.18,3.23,0.41,41.52,4.68,319.45,465.73,0.0,26.31,119.19,48.68,15-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
15-Apr-2019 - 00:00,22.14,3.2,14.44,29.85,16.95,0.3,2.61,2.11,3.62,0.41,23.93,4.13,312.21,566.5,0.0,25.67,104.93,52.67,16-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
16-Apr-2019 - 00:00,23.32,3.29,14.82,18.36,6.45,0.2,1.89,1.99,2.67,0.41,48.1,4.92,173.63,235.56,0.0,39.23,177.89,57.43,17-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
17-Apr-2019 - 00:00,21.65,3.57,14.18,17.78,8.21,0.26,2.5,2.11,2.7,0.36,71.43,3.43,117.71,160.22,0.1,30.43,85.4,46.38,18-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
18-Apr-2019 - 00:00,25.94,2.94,15.91,13.2,12.61,0.26,2.26,1.84,3.29,0.33,57.22,1.93,211.77,456.8,0.0,18.22,43.67,64.4,19-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
19-Apr-2019 - 00:00,28.66,2.95,17.34,15.57,16.92,0.33,2.17,2.56,4.23,0.38,47.2,1.94,295.55,472.96,0.0,31.1,78.61,64.29,20-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
