from date,PM2.5,BP,Temp,SR,RH,RF,WS,WD,PM10,VWS,SO2,NO,NOx,NO2,CO,Benzene,Ozone,to date,station
12-Apr-2019 - 00:00,22.83,764.27,30.52,211.03,76.25,0.0,0.12,152.75,78.53,0.57,23.76,44.18,65.67,21.48,1.84,1.53,24.59,13-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
13-Apr-2019 - 00:00,33.15,764.11,32.1,237.16,64.48,0.0,0.1,124.63,119.98,0.54,25.34,71.82,103.7,34.18,2.08,0.86,26.1,14-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
14-Apr-2019 - 00:00,22.72,764.23,31.52,206.15,67.59,0.0,0.08,167.56,81.62,0.53,23.9,48.71,80.17,31.46,1.91,0.84,14.87,15-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
15-Apr-2019 - 00:00,20.37,764.1,31.25,188.62,70.34,0.0,0.1,186.11,86.9,0.59,22.57,31.9,59.47,27.57,1.87,0.73,35.74,16-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
16-Apr-2019 - 00:00,27.01,764.24,31.01,194.77,72.1,0.0,0.14,277.14,107.23,0.6,19.78,35.03,59.69,24.65,1.84,0.8,28.28,17-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
17-Apr-2019 - 00:00,12.83,765.7,30.45,238.28,55.86,0.0,0.11,90.86,51.13,0.48,19.53,21.87,43.28,21.4,1.7,0.18,19.11,18-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
18-Apr-2019 - 00:00,22.21,765.51,29.78,223.9,64.32,0.0,0.14,74.96,93.61,0.43,20.14,37.15,70.73,33.58,1.82,0.32,32.7,19-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
19-Apr-2019 - 00:00,21.82,763.74,31.15,262.95,64.11,0.0,0.1,71.36,89.76,0.55,20.06,34.64,61.95,27.29,1.85,0.37,22.0,20-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
20-Apr-2019 - 00:00,21.99,762.78,30.55,240.65,68.83,0.0,0.08,199.81,76.5,0.58,20.11,46.93,81.26,34.34,1.92,0.49,22.97,21-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
21-Apr-2019 - 00:00,20.7,762.92,30.09,232.02,69.78,0.0,0.09,289.53,69.86,0.55,20.24,35.77,58.8,23.02,1.88,0.56,14.97,22-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
22-Apr-2019 - 00:00,21.09,763.17,30.39,231.53,69.5,0.0,0.1,177.57,75.78,0.49,22.75,38.65,65.27,26.62,1.86,0.49,24.42,23-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
23-Apr-2019 - 00:00,18.36,763.85,30.85,224.74,72.03,0.0,0.08,100.46,71.96,0.5,24.63,42.53,65.0,22.45,1.84,0.27,32.4,24-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
24-Apr-2019 - 00:00,16.37,764.29,31.34,264.3,71.17,0.0,0.11,84.94,69.34,0.56,23.69,27.01,41.93,14.92,1.77,0.2,35.49,25-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
25-Apr-2019 - 00:00,17.36,764.2,31.15,212.85,67.56,0.0,0.12,60.42,56.16,0.62,22.1,25.59,41.15,15.55,1.76,0.19,31.83,26-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
26-Apr-2019 - 00:00,17.61,762.84,31.57,225.9,73.98,0.0,0.1,87.2,74.14,0.6,21.07,28.89,47.68,18.79,1.79,0.23,27.72,27-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
27-Apr-2019 - 00:00,26.24,762.0,32.24,158.82,70.07,0.0,0.08,184.48,107.02,0.59,24.22,53.58,78.14,24.55,1.95,0.48,22.4,28-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
