from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,AT,RH,WS,WD,VWS,RF,SR,to date,BP,station
29-Mar-2019 - 00:00,5.19,3.47,7.71,28.96,10.09,0.76,15.4,83.97,130.76,5.08,28.08,58.21,0.82,199.42,0.17,0.0,202.27,30-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
30-Mar-2019 - 00:00,19.45,3.79,22.43,44.94,1.75,0.46,19.52,68.22,98.95,3.63,29.36,63.38,0.68,208.77,0.18,0.0,201.04,31-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
31-Mar-2019 - 00:00,27.72,2.79,29.62,45.28,4.71,0.37,18.99,68.12,102.11,3.21,30.28,58.33,0.94,201.34,0.17,0.0,208.43,01-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
01-Apr-2019 - 00:00,27.0,3.32,29.58,40.27,2.36,0.38,17.06,42.42,74.5,2.37,27.48,69.52,0.81,174.83,0.18,0.04,166.92,02-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
02-Apr-2019 - 00:00,38.03,4.33,41.76,53.85,6.84,0.51,29.68,48.91,79.18,3.39,28.44,55.49,0.92,167.04,0.04,0.0,242.72,03-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
03-Apr-2019 - 00:00,30.37,3.75,33.44,40.11,3.59,0.45,20.9,68.93,102.57,2.98,27.63,61.86,0.71,104.75,-0.08,0.0,182.65,04-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
04-Apr-2019 - 00:00,20.09,2.45,21.58,27.58,2.22,0.4,20.66,56.91,85.83,2.16,29.56,66.16,0.74,123.3,0.18,0.0,214.61,05-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
05-Apr-2019 - 00:00,18.72,2.83,20.44,26.36,0.83,0.43,16.87,56.59,89.28,1.73,28.93,75.05,0.75,107.42,0.18,0.0,156.51,06-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
06-Apr-2019 - 00:00,19.2,3.25,21.12,22.84,1.3,0.38,23.24,52.81,77.52,1.78,26.41,74.83,0.88,122.64,0.16,0.09,190.79,07-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
07-Apr-2019 - 00:00,24.55,3.03,26.12,20.29,1.96,0.47,27.42,44.01,61.14,2.71,25.34,70.02,0.79,161.97,0.17,0.0,190.03,08-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
08-Apr-2019 - 00:00,24.14,3.13,26.1,18.29,4.61,0.31,28.19,38.72,60.17,2.86,28.33,60.04,0.75,190.61,0.15,0.0,200.03,09-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
09-Apr-2019 - 00:00,37.48,5.13,41.8,52.34,3.98,0.55,22.79,62.63,110.62,5.5,25.68,67.64,0.71,133.1,0.16,0.02,202.78,10-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
10-Apr-2019 - 00:00,25.86,3.89,28.76,39.97,1.13,0.45,15.48,48.68,84.89,3.23,24.74,80.9,0.87,115.24,0.16,0.0,177.25,11-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
11-Apr-2019 - 00:00,25.24,3.78,27.92,28.9,0.8,0.51,19.45,66.64,98.47,4.97,28.33,74.39,0.9,84.71,0.19,0.0,188.05,12-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
12-Apr-2019 - 00:00,20.88,2.87,22.27,26.9,0.78,0.42,19.64,50.78,78.76,3.21,29.69,75.04,0.62,144.15,0.19,0.0,209.15,13-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
13-Apr-2019 - 00:00,24.09,2.36,24.77,22.08,1.93,0.38,37.67,48.07,81.1,3.2,30.78,53.85,0.75,171.7,0.18,0.0,217.75,14-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
14-Apr-2019 - 00:00,22.77,2.62,24.24,22.61,1.98,0.37,28.84,53.96,86.86,3.3,30.96,64.15,0.69,182.32,0.17,0.0,232.0,15-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
15-Apr-2019 - 00:00,23.54,3.15,24.99,23.14,2.93,0.44,34.61,57.13,110.7,3.3,32.88,62.87,0.83,194.64,0.17,0.0,221.62,16-Apr-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
