from date,NOx,NO2,NO,PM2.5,PM10,SO2,to date,station
16-May-2019 - 00:00,23.11,7.11,16.79,55.77,139.5,3.46,17-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-May-2019 - 00:00,20.17,9.23,14.67,38.05,186.91,3.89,18-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-May-2019 - 00:00,12.9,9.54,3.36,26.8,145.2,3.57,19-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-May-2019 - 00:00,17.42,13.65,3.77,28.35,124.11,3.64,20-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-May-2019 - 00:00,14.57,11.21,3.37,26.37,105.14,3.85,21-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-May-2019 - 00:00,16.62,12.8,3.82,29.57,108.4,3.81,22-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-May-2019 - 00:00,14.02,10.44,3.57,34.46,143.85,2.92,23-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-May-2019 - 00:00,12.77,9.34,3.43,33.91,141.75,3.36,24-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-May-2019 - 00:00,11.98,8.64,3.35,39.57,184.25,3.13,25-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-May-2019 - 00:00,19.01,19.88,4.29,38.21,188.77,3.25,26-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-May-2019 - 00:00,12.43,9.18,3.25,32.9,134.7,3.51,27-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-May-2019 - 00:00,12.89,9.53,3.36,36.53,153.65,3.31,28-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-May-2019 - 00:00,15.88,12.54,3.34,37.25,154.28,4.14,29-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-May-2019 - 00:00,16.83,13.48,3.35,42.75,195.13,4.42,30-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-May-2019 - 00:00,14.52,11.14,3.38,35.62,163.27,4.07,31-May-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
31-May-2019 - 00:00,19.51,10.43,9.66,53.48,166.19,4.08,01-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Jun-2019 - 00:00,15.3,11.5,3.8,32.96,158.16,3.99,02-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Jun-2019 - 00:00,12.53,9.1,3.43,29.7,131.98,3.75,03-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
