from date,NO,NO2,NOx,SO2,CO,Ozone,PM10,PM2.5,NH3,AT,RH,WS,VWS,WD,SR,BP,RF,Benzene,Toluene,MP-Xylene,Xylene,Temp,to date,station
17-Jan-2019 - 00:00,3.86,60.15,35.13,13.19,0.84,23.81,176.63,119.58,17.17,24.84,80.29,1.56,-0.01,163.64,53.51,759.48,0.0,0.1,0.19,0.09,0.1,26.22,18-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
18-Jan-2019 - 00:00,5.54,62.0,37.48,22.43,0.78,21.17,161.6,107.36,19.4,25.26,78.78,1.8,-0.01,179.17,61.76,759.53,0.0,0.08,0.14,0.09,0.1,25.55,19-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
19-Jan-2019 - 00:00,14.49,64.08,45.86,11.98,0.68,23.54,172.81,107.7,22.52,25.87,75.66,1.57,0.0,155.82,66.11,760.48,0.0,0.09,0.13,0.08,0.1,26.19,20-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
20-Jan-2019 - 00:00,16.94,70.77,51.41,16.64,0.97,23.48,158.47,95.76,17.16,25.48,76.97,1.58,-0.01,199.28,68.21,761.25,0.0,0.07,0.11,0.08,0.1,24.76,21-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
21-Jan-2019 - 00:00,8.1,66.18,41.78,14.49,0.54,25.12,143.0,90.8,18.62,24.99,76.89,2.32,0.0,155.3,66.35,760.42,0.0,0.06,0.1,0.09,,25.01,22-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
22-Jan-2019 - 00:00,20.54,59.87,48.55,13.62,0.87,26.13,163.65,99.48,20.48,24.85,75.86,2.77,0.02,155.89,66.6,760.15,0.0,0.06,0.07,0.09,0.1,25.84,23-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
23-Jan-2019 - 00:00,3.42,41.86,25.05,12.85,0.52,28.28,115.04,60.38,21.67,26.77,70.76,3.36,0.0,125.5,59.81,759.21,0.0,0.02,0.01,0.1,,27.77,24-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
24-Jan-2019 - 00:00,6.61,43.7,28.7,11.71,0.91,20.39,107.22,61.62,20.39,26.03,75.91,2.94,0.01,127.39,67.66,760.16,0.0,0.04,0.04,0.09,0.1,26.43,25-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
25-Jan-2019 - 00:00,3.74,37.99,23.31,12.17,0.67,17.95,61.94,33.62,21.35,26.04,79.92,4.51,0.0,130.4,58.11,759.58,0.0,0.02,0.01,0.1,,26.31,26-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
26-Jan-2019 - 00:00,2.65,22.47,14.12,7.98,0.39,19.44,40.39,14.79,23.07,27.25,73.53,5.39,-0.0,106.57,64.43,759.9,0.0,0.0,0.02,0.09,,24.66,27-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
27-Jan-2019 - 00:00,2.37,27.92,16.78,11.41,0.47,20.09,51.42,28.73,22.26,25.42,80.26,3.47,0.03,112.94,39.76,760.56,0.02,0.02,0.06,0.09,,25.62,28-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
28-Jan-2019 - 00:00,5.42,56.85,34.72,15.69,1.3,19.68,70.32,52.52,18.07,23.52,86.96,3.48,0.08,138.01,42.12,762.14,0.08,0.06,0.12,0.09,0.12,27.65,29-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
29-Jan-2019 - 00:00,5.32,55.56,33.95,24.06,0.98,26.82,90.11,53.79,18.06,24.15,77.94,2.56,-0.02,243.35,72.09,761.86,0.0,0.03,0.05,0.1,0.1,26.08,30-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
30-Jan-2019 - 00:00,5.93,65.29,39.62,26.83,0.98,36.74,100.22,49.76,17.96,23.77,67.08,2.52,-0.03,210.34,90.67,762.11,0.0,0.03,0.09,0.1,0.15,26.89,31-Jan-2019 - 00:00,"Secretariat, Amaravati - APPCB"
31-Jan-2019 - 00:00,5.19,71.55,42.35,15.29,1.43,49.47,135.33,83.11,12.33,24.89,76.23,3.43,0.04,126.3,77.84,761.43,0.0,0.07,0.13,0.09,0.1,26.09,01-Feb-2019 - 00:00,"Secretariat, Amaravati - APPCB"
01-Feb-2019 - 00:00,5.6,69.45,41.57,12.95,1.04,47.22,111.0,63.33,15.68,25.43,74.23,2.16,0.03,121.76,77.95,761.0,0.0,0.06,0.37,0.09,0.11,25.66,02-Feb-2019 - 00:00,"Secretariat, Amaravati - APPCB"
02-Feb-2019 - 00:00,29.65,85.52,69.68,10.24,1.13,41.78,129.52,71.81,14.36,25.13,74.11,2.3,0.01,163.5,79.96,759.73,0.0,0.06,0.1,0.08,0.1,25.25,03-Feb-2019 - 00:00,"Secretariat, Amaravati - APPCB"
03-Feb-2019 - 00:00,6.13,69.17,41.77,18.26,1.26,51.39,130.44,77.6,13.49,25.54,75.56,2.92,0.03,133.28,77.46,761.36,0.0,0.06,0.1,0.09,,24.81,04-Feb-2019 - 00:00,"Secretariat, Amaravati - APPCB"
04-Feb-2019 - 00:00,3.09,60.75,34.9,16.03,1.12,61.89,128.4,72.5,15.72,26.64,70.02,2.99,0.04,105.02,82.22,763.02,0.0,0.07,0.13,0.09,0.1,26.04,05-Feb-2019 - 00:00,"Secretariat, Amaravati - APPCB"
