from date,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,SR,RH,RF,WD,WS,PM2.5,to date,station
30-May-2019 - 00:00,146.6,6.27,16.37,11.87,18.04,14.8,0.21,15.75,3.98,2.76,823.91,25.82,0.0,250.32,0.14,35.16,31-May-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
31-May-2019 - 00:00,238.17,38.67,16.73,11.15,27.58,15.02,0.48,27.29,5.25,4.27,717.51,19.28,0.0,256.08,0.67,75.42,01-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
01-Jun-2019 - 00:00,224.68,17.25,16.82,11.0,27.81,15.19,0.73,14.39,5.3,4.32,858.23,31.28,0.0,166.97,0.89,71.89,02-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
02-Jun-2019 - 00:00,145.06,2.85,16.87,11.19,28.06,15.08,0.71,11.24,5.3,4.32,934.79,38.8,0.0,165.07,0.89,46.4,03-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
03-Jun-2019 - 00:00,169.53,2.86,16.71,10.71,27.11,15.06,0.7,10.64,5.24,4.27,867.5,41.1,0.0,121.86,1.39,53.82,04-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
04-Jun-2019 - 00:00,89.18,4.26,16.92,11.2,28.11,15.07,0.78,45.41,5.3,4.31,776.15,39.92,0.0,107.73,1.16,46.65,05-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
05-Jun-2019 - 00:00,114.85,10.04,16.77,11.0,27.36,15.08,0.73,45.48,5.24,4.27,682.3,38.59,0.0,163.93,0.49,36.44,06-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
06-Jun-2019 - 00:00,155.15,16.06,16.95,11.11,28.05,15.02,0.71,42.01,5.3,4.31,563.88,31.01,0.0,145.18,0.92,49.68,07-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
07-Jun-2019 - 00:00,96.82,12.79,16.86,11.18,27.75,15.09,0.65,48.52,5.24,4.27,613.68,34.41,0.0,193.32,0.72,30.99,08-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
08-Jun-2019 - 00:00,104.35,14.14,17.01,11.1,27.52,15.18,0.65,51.67,5.19,4.22,571.97,29.26,0.0,211.55,0.8,32.89,09-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
09-Jun-2019 - 00:00,476.04,13.02,17.19,11.15,28.05,15.17,0.7,46.93,5.25,4.27,523.88,24.59,0.0,214.05,0.7,711.02,10-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
10-Jun-2019 - 00:00,246.86,17.01,16.5,11.09,27.52,15.09,0.6,47.26,5.3,4.31,537.29,24.11,0.0,206.26,0.54,299.7,11-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
11-Jun-2019 - 00:00,203.81,26.53,16.71,11.17,27.88,15.06,0.83,38.21,5.3,4.31,542.99,25.1,0.0,156.83,0.63,77.86,12-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
12-Jun-2019 - 00:00,123.55,6.26,16.97,11.08,28.02,15.08,0.52,46.31,5.3,4.31,535.77,25.06,0.0,128.05,1.57,47.59,13-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
13-Jun-2019 - 00:00,100.58,11.05,16.87,10.97,27.83,15.15,0.76,54.81,5.3,4.3,560.38,25.68,0.0,259.63,0.72,38.4,14-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
14-Jun-2019 - 00:00,219.75,41.24,16.74,11.13,27.87,15.07,0.73,46.25,5.3,4.31,543.17,24.17,0.0,263.71,1.01,83.61,15-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
15-Jun-2019 - 00:00,252.68,43.04,16.96,10.96,27.91,15.21,0.75,44.66,5.3,4.31,526.57,22.13,0.0,266.85,1.35,109.04,16-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
16-Jun-2019 - 00:00,168.09,15.41,17.64,10.96,28.56,15.26,0.75,36.46,5.3,4.31,731.02,43.71,0.0,270.4,1.1,64.5,17-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
17-Jun-2019 - 00:00,209.32,15.73,16.83,11.19,28.01,15.16,0.74,32.31,5.3,4.31,815.79,57.86,0.11,254.17,1.18,77.14,18-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
18-Jun-2019 - 00:00,110.31,9.74,16.86,10.98,27.83,15.11,0.79,29.22,5.3,4.32,923.97,68.5,0.0,221.08,0.61,35.35,19-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
19-Jun-2019 - 00:00,185.42,12.49,16.81,11.02,27.83,15.11,0.69,35.3,5.3,4.31,449.02,61.9,0.0,224.74,0.46,58.69,20-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
20-Jun-2019 - 00:00,121.13,5.42,16.71,11.13,27.85,15.1,0.68,33.06,5.25,4.26,426.35,64.78,0.0,143.79,0.68,38.76,21-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
21-Jun-2019 - 00:00,161.44,11.84,16.79,11.13,27.93,15.09,0.82,26.06,5.3,4.32,432.27,66.94,0.0,245.13,0.51,51.82,22-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
22-Jun-2019 - 00:00,154.98,18.66,17.03,11.15,28.11,15.03,0.77,40.23,5.3,4.32,325.93,48.14,0.0,260.03,0.82,49.59,23-Jun-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
