from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,SR,RH,RF,WS,WD,to date,station
03-Apr-2019 - 00:00,21.14,28.04,6.69,56.46,40.69,0.63,70.68,52.18,140.9,3.9,2.62,2.35,2.83,5.29,26.16,326.84,45.0,0.0,0.93,255.44,04-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
04-Apr-2019 - 00:00,57.17,56.31,33.79,124.44,35.18,0.79,60.88,82.34,193.47,6.09,3.49,3.05,4.09,6.28,27.59,176.36,45.79,0.0,0.65,189.98,05-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
05-Apr-2019 - 00:00,26.99,42.43,6.07,86.66,41.26,0.78,65.92,92.88,198.34,5.47,3.63,2.4,3.39,4.88,28.52,385.31,51.2,0.0,0.59,219.01,06-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
06-Apr-2019 - 00:00,28.16,41.2,8.27,90.07,36.5,0.92,61.29,103.53,229.47,7.6,4.2,2.56,3.82,5.29,29.09,298.92,52.13,0.0,0.53,136.87,07-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
07-Apr-2019 - 00:00,43.02,50.33,21.08,118.85,25.79,0.9,38.47,109.93,262.82,5.86,2.96,2.03,3.04,2.63,26.72,21.43,57.71,0.0,0.39,164.6,08-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
08-Apr-2019 - 00:00,31.3,44.22,10.24,90.64,16.87,0.58,38.73,172.44,334.07,5.02,2.7,1.94,2.74,4.57,25.7,314.37,54.66,0.0,0.67,111.46,09-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
09-Apr-2019 - 00:00,35.57,44.28,15.46,97.25,28.76,0.71,49.78,71.97,183.44,7.1,3.67,2.61,3.61,5.52,27.0,339.83,47.43,0.0,0.42,170.36,10-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
10-Apr-2019 - 00:00,14.15,18.01,5.78,54.87,25.92,0.53,60.76,72.54,161.13,3.74,3.84,1.99,3.1,4.72,29.12,341.56,43.62,0.0,0.84,258.18,11-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
11-Apr-2019 - 00:00,9.24,8.86,5.24,39.92,31.56,0.58,52.42,78.48,214.2,4.57,3.46,1.95,2.92,2.49,29.3,336.31,42.43,0.0,0.82,244.43,12-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
12-Apr-2019 - 00:00,7.71,1.79,4.77,26.0,28.46,0.46,56.75,65.85,236.82,3.07,2.74,1.51,2.51,0.9,28.77,342.43,40.03,0.0,1.07,260.24,13-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
13-Apr-2019 - 00:00,9.05,9.08,4.18,26.98,33.5,0.38,47.21,74.3,229.67,2.32,1.99,1.03,1.88,0.4,27.96,315.14,40.6,0.0,1.26,280.96,14-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
14-Apr-2019 - 00:00,20.54,33.64,3.7,70.92,31.77,0.36,44.33,97.1,169.43,1.92,2.17,1.14,1.86,2.22,28.79,353.9,40.42,0.0,1.34,303.41,15-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
15-Apr-2019 - 00:00,25.69,39.33,6.41,89.21,33.01,0.45,39.16,114.77,137.25,2.37,3.69,1.82,2.43,3.86,31.07,371.37,30.63,0.0,1.19,275.84,16-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
16-Apr-2019 - 00:00,19.0,31.85,2.94,71.76,32.46,0.27,42.59,101.33,147.46,1.86,2.44,1.96,2.2,3.56,24.73,177.17,53.54,0.0,1.4,158.85,17-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
17-Apr-2019 - 00:00,18.3,30.13,3.18,68.78,35.45,0.3,36.24,62.96,69.17,1.86,1.81,2.03,1.81,3.03,21.24,210.45,70.54,0.05,0.8,119.27,18-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
18-Apr-2019 - 00:00,25.06,38.77,5.94,81.64,37.31,0.4,41.93,42.21,60.71,2.11,2.09,1.66,2.07,3.87,22.63,287.98,59.71,0.0,0.53,168.25,19-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
19-Apr-2019 - 00:00,25.14,40.18,5.17,78.22,46.91,0.44,44.97,44.27,95.9,2.31,2.24,1.62,2.08,4.06,25.6,410.31,44.83,0.0,0.7,268.59,20-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
20-Apr-2019 - 00:00,43.51,48.3,22.83,107.74,52.77,0.65,48.37,57.57,129.72,3.45,3.42,2.27,3.22,5.49,27.59,376.99,39.04,0.0,0.62,243.06,21-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
21-Apr-2019 - 00:00,32.46,48.33,8.99,96.85,57.85,0.56,51.4,72.08,169.6,4.49,3.25,2.6,3.5,6.41,29.2,364.14,35.51,0.0,0.6,239.26,22-Apr-2019 - 00:00,"Sector-12, Karnal - HSPCB"
