from date,NO2,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WS,WD,RH,to date,station
28-Apr-2019 - 00:00,81.08,15.11,8.83,1.87,26.28,51.42,124.58,0.54,26.43,0.41,,42.31,29-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
29-Apr-2019 - 00:00,28.69,18.53,1.58,0.95,57.59,50.79,101.96,0.26,24.44,0.39,,57.45,30-Apr-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
30-Apr-2019 - 00:00,14.28,13.51,1.1,0.8,66.25,34.38,72.33,0.09,24.88,1.06,92.0,65.04,01-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
01-May-2019 - 00:00,12.04,13.14,2.39,0.66,53.3,27.65,61.22,0.04,24.36,1.08,,70.8,02-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-May-2019 - 00:00,10.94,9.76,5.92,0.56,53.46,35.08,87.38,0.11,24.83,0.91,,58.96,03-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-May-2019 - 00:00,8.6,9.13,5.76,0.6,61.18,32.92,84.58,0.14,24.38,0.82,,60.57,04-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-May-2019 - 00:00,15.56,8.54,4.41,0.71,62.85,38.96,101.08,0.14,24.73,0.72,89.0,58.76,05-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-May-2019 - 00:00,22.05,8.93,5.27,0.67,63.84,36.96,92.71,0.17,24.92,0.44,87.0,57.0,06-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-May-2019 - 00:00,22.28,11.18,3.64,0.61,63.87,39.08,86.08,0.17,24.38,0.41,87.0,54.53,07-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-May-2019 - 00:00,13.87,11.23,5.51,0.67,36.0,27.88,61.75,0.13,24.82,1.04,88.0,69.73,08-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-May-2019 - 00:00,5.52,5.92,1.43,0.51,2.87,12.6,24.2,0.2,25.1,0.3,,86.2,09-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-May-2019 - 00:00,21.71,17.21,9.79,2.28,45.26,23.48,67.41,0.29,26.51,0.7,,51.3,10-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-May-2019 - 00:00,21.45,10.62,1.74,0.55,48.07,29.68,68.42,0.25,25.95,0.42,94.0,50.56,11-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-May-2019 - 00:00,20.24,12.44,4.05,0.75,43.32,31.41,68.21,0.09,25.04,0.48,,63.97,12-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-May-2019 - 00:00,23.08,13.07,6.19,0.91,47.6,35.83,73.01,0.21,25.63,0.38,84.0,64.1,13-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-May-2019 - 00:00,17.15,9.85,3.94,0.74,52.24,27.65,56.08,0.08,25.05,0.6,,65.02,14-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-May-2019 - 00:00,14.8,10.54,5.2,0.64,55.71,28.59,62.19,0.18,25.64,0.85,93.5,60.78,15-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-May-2019 - 00:00,20.27,10.1,4.18,0.8,28.49,31.81,65.95,0.08,25.14,0.81,90.0,74.01,16-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-May-2019 - 00:00,29.72,10.69,3.58,1.12,48.42,37.21,72.85,0.33,25.56,0.37,89.5,63.38,17-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-May-2019 - 00:00,30.16,10.28,4.72,0.94,35.38,37.72,75.54,0.17,25.25,0.44,85.25,73.17,18-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-May-2019 - 00:00,20.11,12.41,4.67,1.13,29.01,45.13,85.94,0.24,25.53,0.32,85.17,65.24,19-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-May-2019 - 00:00,,,,,,,,,,,,,20-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-May-2019 - 00:00,22.33,13.6,9.87,2.0,22.54,50.21,109.93,0.39,27.97,0.41,88.0,55.81,21-May-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
