from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
17-Apr-2019 - 00:00,23.12,988.08,67.58,19.29,64.59,145.14,27.71,233.69,1.6,0.7,1.92,30.53,6.13,28.65,20.24,27.2,17.05,18-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
18-Apr-2019 - 00:00,25.01,988.9,124.27,44.92,58.12,210.83,33.23,140.27,1.01,0.76,2.38,31.62,6.86,28.3,20.65,28.64,18.31,19-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
19-Apr-2019 - 00:00,27.27,986.54,248.52,117.25,44.36,211.83,42.87,84.73,1.31,0.92,2.47,27.77,9.15,33.54,25.31,31.66,18.49,20-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
20-Apr-2019 - 00:00,29.31,983.9,300.77,128.29,36.42,214.84,66.71,90.32,0.83,1.14,3.41,24.76,28.3,46.91,48.02,39.6,18.63,21-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
21-Apr-2019 - 00:00,31.77,982.13,308.04,133.25,30.12,221.53,49.72,96.85,1.38,0.89,3.46,23.58,23.3,40.69,40.66,45.7,19.02,22-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
22-Apr-2019 - 00:00,32.76,982.11,359.02,114.42,31.6,195.48,71.72,122.91,1.11,1.08,4.32,27.97,15.51,40.37,34.11,48.78,19.3,23-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
23-Apr-2019 - 00:00,34.72,983.03,414.96,133.56,27.47,208.14,88.39,119.75,1.44,1.06,4.07,27.51,16.26,39.85,35.06,46.81,22.62,24-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
24-Apr-2019 - 00:00,36.1,983.92,327.94,82.83,28.68,197.71,54.33,215.48,1.61,1.01,3.67,34.33,3.33,40.47,24.22,61.86,18.72,25-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
25-Apr-2019 - 00:00,35.06,983.86,300.04,72.88,33.22,174.8,33.27,244.24,1.41,0.94,3.26,46.46,3.1,33.51,20.36,45.43,15.56,26-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
26-Apr-2019 - 00:00,34.24,983.8,418.21,102.93,26.85,201.79,65.81,110.48,1.77,0.87,3.42,27.56,6.46,31.38,21.68,33.37,21.93,27-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
27-Apr-2019 - 00:00,34.37,983.03,485.5,92.38,20.63,217.95,44.06,106.71,3.11,0.63,2.4,20.61,4.21,28.32,18.36,50.56,21.81,28-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
28-Apr-2019 - 00:00,34.62,981.8,411.31,97.22,15.98,224.73,29.34,102.85,2.55,0.68,2.2,18.38,3.35,31.08,19.28,53.43,24.35,29-Apr-2019 - 00:00,"Mundka, Delhi - DPCC"
