from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,SO2,Ozone,CO,to date,station
02-Apr-2019 - 00:00,27.44,984.14,,91.49,35.91,205.75,265.3,0.97,2.57,20.1,19.92,47.62,17.08,39.26,40.04,65.21,1.21,03-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
03-Apr-2019 - 00:00,27.84,983.36,,104.85,38.08,212.3,230.93,1.0,6.07,54.93,26.36,57.14,43.57,65.96,34.74,55.58,1.95,04-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
04-Apr-2019 - 00:00,30.41,983.74,,101.4,38.19,190.9,170.4,0.81,7.24,77.48,35.35,77.78,74.36,101.89,38.11,62.93,2.19,05-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
05-Apr-2019 - 00:00,30.98,982.68,,131.19,39.82,183.38,253.73,0.81,7.05,83.01,40.49,70.21,93.54,113.61,42.46,47.6,2.74,06-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
06-Apr-2019 - 00:00,32.14,981.67,,86.42,32.0,179.27,197.21,0.87,4.04,37.97,33.54,53.69,26.02,49.68,32.58,50.01,1.51,07-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
07-Apr-2019 - 00:00,30.3,980.93,,129.97,52.0,142.39,134.87,1.17,4.21,32.55,55.84,52.18,19.74,43.82,28.81,53.99,1.49,08-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
08-Apr-2019 - 00:00,28.75,981.86,292.14,56.09,46.57,177.6,145.1,1.01,1.84,17.33,42.24,54.12,15.45,41.31,22.1,51.41,1.06,09-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
09-Apr-2019 - 00:00,30.3,981.23,307.1,68.09,39.97,144.58,118.21,0.86,4.04,38.39,35.82,64.17,34.33,62.09,29.99,56.88,1.82,10-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
10-Apr-2019 - 00:00,31.76,982.17,290.9,90.05,37.99,133.88,202.02,0.94,5.29,47.79,41.06,60.13,43.22,67.23,31.05,69.57,1.72,11-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
11-Apr-2019 - 00:00,32.81,982.14,269.1,69.8,30.88,171.23,196.59,1.02,3.09,34.29,33.89,50.97,18.22,41.96,34.14,55.13,1.24,12-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
12-Apr-2019 - 00:00,31.38,982.66,268.88,51.86,33.59,154.77,164.01,1.45,2.07,25.13,34.18,37.34,4.74,23.74,24.89,70.14,1.04,13-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
13-Apr-2019 - 00:00,31.96,983.44,229.65,52.36,31.17,188.67,159.42,1.59,1.57,27.3,32.99,36.92,6.34,24.84,30.06,56.27,0.98,14-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
14-Apr-2019 - 00:00,31.97,983.32,205.08,52.66,31.52,191.41,244.91,1.21,1.36,12.07,26.64,29.48,4.74,19.55,32.26,54.04,0.91,15-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
15-Apr-2019 - 00:00,33.32,981.33,246.47,51.11,29.25,197.83,262.13,1.07,2.59,25.33,24.04,43.51,31.78,49.04,43.6,48.95,1.71,16-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
16-Apr-2019 - 00:00,25.75,985.01,197.29,44.99,54.91,94.45,171.1,2.28,1.04,10.48,31.98,29.08,5.49,19.94,20.13,58.31,0.73,17-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
17-Apr-2019 - 00:00,22.74,985.88,65.5,15.33,66.94,131.75,165.04,1.69,0.55,6.24,28.08,29.01,3.82,18.54,17.42,59.18,0.65,18-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
18-Apr-2019 - 00:00,24.83,985.91,127.71,39.01,51.51,149.12,188.93,0.94,1.57,14.21,25.24,40.77,6.56,27.05,25.71,62.72,0.99,19-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
19-Apr-2019 - 00:00,26.04,983.44,234.66,93.41,42.36,167.2,274.15,0.81,2.13,16.83,26.82,48.51,16.65,39.32,30.37,52.49,1.31,20-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
20-Apr-2019 - 00:00,27.92,981.01,317.24,111.75,38.51,178.62,245.51,0.7,2.98,25.82,26.73,58.09,34.39,58.95,36.86,59.27,1.79,21-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
21-Apr-2019 - 00:00,30.41,979.05,306.36,89.16,33.1,103.17,236.17,0.93,3.64,31.42,27.27,56.65,42.16,64.44,29.44,60.24,2.07,22-Apr-2019 - 00:00,"Dwarka-Sector 8, Delhi - DPCC "
