from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
11-Jun-2019 - 00:00,17.79,72.52,26.68,8.27,34.95,17.2,5.83,0.38,40.92,3.85,65.95,7.88,31.57,72.01,997.68,383.66,1.03,215.12,12-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
12-Jun-2019 - 00:00,13.22,44.73,13.04,4.34,17.37,16.8,5.57,0.26,21.44,2.66,55.23,6.27,27.98,80.67,997.67,203.63,1.5,172.0,13-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
13-Jun-2019 - 00:00,12.76,57.46,8.4,3.55,11.95,17.96,1.92,0.29,19.71,2.89,35.2,6.67,28.11,84.84,999.36,344.76,1.77,182.31,14-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
14-Jun-2019 - 00:00,15.39,67.49,7.37,5.7,13.07,16.77,2.18,0.08,10.75,2.27,61.75,5.58,28.06,87.06,,316.83,1.5,190.97,15-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
15-Jun-2019 - 00:00,12.11,61.63,6.01,6.32,12.23,15.82,3.61,0.04,9.61,2.86,76.94,6.01,28.15,89.22,,306.31,1.42,190.33,16-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
16-Jun-2019 - 00:00,10.32,63.94,3.31,3.27,6.58,11.16,1.81,0.02,9.63,2.15,59.34,6.04,28.94,85.79,,308.09,1.41,203.17,17-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
17-Jun-2019 - 00:00,12.21,73.02,3.86,7.56,11.42,7.83,2.51,0.07,9.17,2.63,70.84,12.3,29.34,82.37,,342.64,1.65,214.97,18-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
18-Jun-2019 - 00:00,14.09,65.98,6.41,7.54,13.95,6.56,2.83,0.1,10.3,2.3,233.66,67.17,28.15,85.07,,238.57,1.41,213.8,19-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
19-Jun-2019 - 00:00,11.76,70.64,7.09,10.94,18.03,6.87,1.92,0.06,8.37,2.36,116.08,23.56,28.28,86.05,,277.88,0.98,205.92,20-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
20-Jun-2019 - 00:00,16.02,104.0,8.51,12.71,21.22,7.36,1.63,0.09,8.88,2.31,65.39,8.46,30.29,77.37,,371.95,0.91,230.03,21-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
