from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
09-Apr-2019 - 00:00,230.53,88.28,29.44,11.71,41.15,0.88,,34.37,10-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
10-Apr-2019 - 00:00,298.94,120.29,40.23,14.76,54.99,1.26,,53.61,11-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
11-Apr-2019 - 00:00,215.58,81.91,26.06,10.29,36.35,0.85,,55.34,12-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
12-Apr-2019 - 00:00,209.37,64.86,24.38,9.6,33.98,0.76,,38.77,13-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
13-Apr-2019 - 00:00,177.85,58.33,21.93,8.97,30.9,0.76,2.14,46.25,14-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
14-Apr-2019 - 00:00,184.19,57.28,14.81,6.33,21.15,0.8,10.71,51.03,15-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
15-Apr-2019 - 00:00,200.29,58.76,21.59,9.17,30.76,0.85,5.42,36.79,16-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
16-Apr-2019 - 00:00,180.4,51.95,22.73,9.29,32.02,0.91,,34.87,17-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
17-Apr-2019 - 00:00,63.07,22.23,20.03,8.3,28.33,0.67,,27.83,18-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
18-Apr-2019 - 00:00,102.64,45.88,17.99,7.72,25.7,0.75,,40.84,19-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
19-Apr-2019 - 00:00,173.39,74.97,22.1,9.22,31.32,0.89,,41.85,20-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
20-Apr-2019 - 00:00,189.44,76.25,19.1,9.27,28.37,0.91,,36.62,21-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
21-Apr-2019 - 00:00,238.71,89.72,35.6,13.22,48.82,1.29,,45.99,22-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
22-Apr-2019 - 00:00,277.58,111.83,23.44,9.83,33.27,1.08,,26.6,23-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
23-Apr-2019 - 00:00,286.54,100.72,34.96,13.06,48.02,1.38,,35.84,24-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
24-Apr-2019 - 00:00,269.66,88.44,18.21,7.67,25.89,0.89,,36.86,25-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
25-Apr-2019 - 00:00,272.52,81.66,18.96,7.47,26.43,0.86,,33.54,26-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
26-Apr-2019 - 00:00,304.26,104.86,23.03,8.89,31.92,0.96,,38.98,27-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
27-Apr-2019 - 00:00,312.44,76.22,23.67,8.95,32.62,0.86,,23.43,28-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
28-Apr-2019 - 00:00,297.73,81.93,20.1,8.02,28.12,0.8,,22.04,29-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
29-Apr-2019 - 00:00,277.03,81.44,23.98,9.44,33.42,0.9,,23.26,30-Apr-2019 - 00:00,"Sector - 62, Noida - IMD"
30-Apr-2019 - 00:00,281.24,110.49,58.87,20.33,79.19,0.99,,29.65,01-May-2019 - 00:00,"Sector - 62, Noida - IMD"
01-May-2019 - 00:00,343.19,77.29,10.74,6.42,11.88,0.91,4.08,38.74,02-May-2019 - 00:00,"Sector - 62, Noida - IMD"
02-May-2019 - 00:00,274.84,66.84,,0.35,0.0,0.94,0.0,30.34,03-May-2019 - 00:00,"Sector - 62, Noida - IMD"
03-May-2019 - 00:00,160.79,47.74,,0.49,0.0,0.74,0.0,31.04,04-May-2019 - 00:00,"Sector - 62, Noida - IMD"
04-May-2019 - 00:00,229.79,86.74,12.82,3.56,9.42,0.83,,34.31,05-May-2019 - 00:00,"Sector - 62, Noida - IMD"
05-May-2019 - 00:00,259.43,58.29,11.68,5.74,17.41,0.92,,32.28,06-May-2019 - 00:00,"Sector - 62, Noida - IMD"
06-May-2019 - 00:00,322.52,120.82,30.11,11.3,41.42,1.29,,34.62,07-May-2019 - 00:00,"Sector - 62, Noida - IMD"
07-May-2019 - 00:00,409.83,138.65,34.07,12.21,46.28,1.25,,28.56,08-May-2019 - 00:00,"Sector - 62, Noida - IMD"
08-May-2019 - 00:00,440.75,146.21,46.83,15.62,62.45,1.45,,26.04,09-May-2019 - 00:00,"Sector - 62, Noida - IMD"
09-May-2019 - 00:00,445.99,143.1,26.99,9.96,36.94,1.11,,22.53,10-May-2019 - 00:00,"Sector - 62, Noida - IMD"
10-May-2019 - 00:00,367.36,99.45,16.4,6.26,22.66,0.94,,28.03,11-May-2019 - 00:00,"Sector - 62, Noida - IMD"
11-May-2019 - 00:00,321.74,119.12,13.05,6.0,18.61,0.85,,46.5,12-May-2019 - 00:00,"Sector - 62, Noida - IMD"
12-May-2019 - 00:00,431.31,199.72,7.52,3.94,11.47,0.93,,40.46,13-May-2019 - 00:00,"Sector - 62, Noida - IMD"
13-May-2019 - 00:00,397.77,187.75,18.09,7.54,25.63,1.3,,56.11,14-May-2019 - 00:00,"Sector - 62, Noida - IMD"
14-May-2019 - 00:00,144.13,67.47,13.59,5.49,19.08,0.85,,42.79,15-May-2019 - 00:00,"Sector - 62, Noida - IMD"
15-May-2019 - 00:00,209.17,82.63,12.08,5.13,17.21,1.04,,15.8,16-May-2019 - 00:00,"Sector - 62, Noida - IMD"
16-May-2019 - 00:00,272.09,83.18,9.85,4.55,14.4,1.01,,26.71,17-May-2019 - 00:00,"Sector - 62, Noida - IMD"
17-May-2019 - 00:00,284.66,123.86,17.39,11.33,22.26,0.99,,27.09,18-May-2019 - 00:00,"Sector - 62, Noida - IMD"
18-May-2019 - 00:00,117.37,45.69,,11.73,1.11,0.8,,26.41,19-May-2019 - 00:00,"Sector - 62, Noida - IMD"
19-May-2019 - 00:00,181.46,72.17,,12.5,2.87,0.94,,38.14,20-May-2019 - 00:00,"Sector - 62, Noida - IMD"
20-May-2019 - 00:00,277.02,93.55,2.84,15.22,13.65,1.17,,46.17,21-May-2019 - 00:00,"Sector - 62, Noida - IMD"
21-May-2019 - 00:00,184.74,77.68,7.78,15.53,16.04,0.97,,35.22,22-May-2019 - 00:00,"Sector - 62, Noida - IMD"
22-May-2019 - 00:00,231.82,61.46,32.37,16.05,26.68,1.02,,20.42,23-May-2019 - 00:00,"Sector - 62, Noida - IMD"
23-May-2019 - 00:00,254.69,93.81,12.63,5.67,15.3,1.36,,38.61,24-May-2019 - 00:00,"Sector - 62, Noida - IMD"
24-May-2019 - 00:00,140.16,50.18,7.74,23.17,26.56,0.9,0.0,32.27,25-May-2019 - 00:00,"Sector - 62, Noida - IMD"
25-May-2019 - 00:00,137.33,39.38,5.77,41.24,47.01,0.97,,33.16,26-May-2019 - 00:00,"Sector - 62, Noida - IMD"
26-May-2019 - 00:00,163.74,59.19,7.02,41.37,48.39,1.0,,62.1,27-May-2019 - 00:00,"Sector - 62, Noida - IMD"
27-May-2019 - 00:00,213.22,75.86,12.63,41.43,54.06,1.07,,59.94,28-May-2019 - 00:00,"Sector - 62, Noida - IMD"
28-May-2019 - 00:00,231.56,70.34,14.61,41.27,55.88,1.12,,38.25,29-May-2019 - 00:00,"Sector - 62, Noida - IMD"
29-May-2019 - 00:00,235.3,73.79,17.59,41.3,58.89,1.21,,38.06,30-May-2019 - 00:00,"Sector - 62, Noida - IMD"
30-May-2019 - 00:00,290.79,81.82,34.59,40.09,74.68,1.54,,31.74,31-May-2019 - 00:00,"Sector - 62, Noida - IMD"
31-May-2019 - 00:00,390.32,89.84,23.53,40.71,64.24,1.33,,37.05,01-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
01-Jun-2019 - 00:00,302.62,93.87,18.16,41.04,59.2,1.32,,42.66,02-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
02-Jun-2019 - 00:00,237.73,73.85,15.64,40.7,56.34,1.04,,44.37,03-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
03-Jun-2019 - 00:00,332.24,56.79,12.54,40.82,53.36,1.0,,41.72,04-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
04-Jun-2019 - 00:00,175.09,53.97,11.52,40.96,52.49,1.0,,46.64,05-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
05-Jun-2019 - 00:00,219.32,69.62,12.91,40.97,53.88,1.11,,41.95,06-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
06-Jun-2019 - 00:00,266.52,74.55,16.05,40.91,56.97,1.17,,43.46,07-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
07-Jun-2019 - 00:00,162.53,54.29,12.32,40.98,53.3,1.02,,54.44,08-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
08-Jun-2019 - 00:00,194.36,71.6,17.88,40.66,58.54,1.14,,45.73,09-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
09-Jun-2019 - 00:00,325.07,119.33,26.89,40.62,67.51,1.63,,45.85,10-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
10-Jun-2019 - 00:00,253.32,77.68,24.44,40.71,65.15,1.58,,35.29,11-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
11-Jun-2019 - 00:00,442.32,124.24,28.16,40.28,68.44,1.43,,25.94,12-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
12-Jun-2019 - 00:00,302.11,55.64,21.01,40.48,61.48,1.09,,38.39,13-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
13-Jun-2019 - 00:00,197.03,53.39,17.55,40.65,58.21,1.04,,43.64,14-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
14-Jun-2019 - 00:00,228.49,56.63,18.15,40.76,58.9,1.09,,36.61,15-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
15-Jun-2019 - 00:00,324.49,84.4,23.15,40.83,63.98,1.32,,32.97,16-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
16-Jun-2019 - 00:00,179.27,37.95,9.51,41.14,50.65,1.02,,27.44,17-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
17-Jun-2019 - 00:00,169.2,38.53,11.19,41.09,52.27,1.02,,24.93,18-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
18-Jun-2019 - 00:00,105.45,34.17,13.93,41.39,55.32,1.06,,26.23,19-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
19-Jun-2019 - 00:00,240.83,78.82,13.79,41.12,54.91,1.25,,47.43,20-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
20-Jun-2019 - 00:00,139.84,48.6,13.88,40.87,54.75,1.08,,26.15,21-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
21-Jun-2019 - 00:00,187.21,71.23,16.92,40.74,57.67,1.17,,25.41,22-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
22-Jun-2019 - 00:00,201.89,77.29,23.33,40.35,63.68,1.2,,43.45,23-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
23-Jun-2019 - 00:00,149.84,36.61,22.59,40.01,62.6,1.08,,18.94,24-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
24-Jun-2019 - 00:00,85.83,21.78,16.13,40.49,56.62,1.03,,12.21,25-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
25-Jun-2019 - 00:00,129.44,50.33,13.9,40.69,54.59,1.09,,23.39,26-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
26-Jun-2019 - 00:00,171.96,72.0,21.85,40.23,62.09,1.2,,25.41,27-Jun-2019 - 00:00,"Sector - 62, Noida - IMD"
