from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,to date,station
20-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
21-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
22-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
23-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
24-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
25-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
26-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
27-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
28-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
29-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
30-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,31-May-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
31-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
01-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
02-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
03-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
04-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
05-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
06-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
07-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
08-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
09-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
10-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
11-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
12-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
13-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
14-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
15-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
16-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
17-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
18-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
19-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
20-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
21-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
