from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,WS,WD,AT,RH,RF,to date,station
20-Jun-2019 - 00:00,-9999.0,24.68,12.03,8.0,19.03,31.46,6.34,0.66,22.01,1.14,248.07,43.63,83.92,0.04,21-Jun-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
21-Jun-2019 - 00:00,-9999.0,17.72,13.0,8.15,20.16,31.48,6.21,0.86,21.41,0.83,152.69,39.85,90.3,0.27,22-Jun-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
22-Jun-2019 - 00:00,-9999.0,17.63,13.33,8.12,20.45,31.5,5.71,0.72,21.45,0.83,166.27,36.14,97.31,0.42,23-Jun-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
23-Jun-2019 - 00:00,-9999.0,16.59,12.51,8.02,19.53,31.56,7.16,0.61,22.69,0.89,186.28,38.88,86.66,0.0,24-Jun-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
24-Jun-2019 - 00:00,-9999.0,21.84,12.1,8.16,19.26,31.39,6.71,0.7,23.25,1.18,232.3,40.64,84.27,0.01,25-Jun-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
25-Jun-2019 - 00:00,-9999.0,25.49,13.64,8.16,20.8,31.61,8.71,0.77,21.1,0.88,190.63,45.01,84.21,0.0,26-Jun-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
26-Jun-2019 - 00:00,-9999.0,31.54,,,,,6.39,1.04,21.0,0.92,201.45,51.58,85.03,0.0,27-Jun-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
27-Jun-2019 - 00:00,-9999.0,31.48,,,,,6.6,0.8,21.53,1.14,236.49,46.12,82.87,0.0,28-Jun-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
28-Jun-2019 - 00:00,-9999.0,31.21,,,,,10.83,0.83,19.35,1.44,237.31,39.31,79.88,0.0,29-Jun-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
29-Jun-2019 - 00:00,-9999.0,33.11,,,,,6.84,0.88,20.28,1.48,261.55,46.21,78.12,0.0,30-Jun-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
30-Jun-2019 - 00:00,-9999.0,30.67,,,,,7.05,0.7,21.32,1.45,297.39,43.22,79.03,0.0,01-Jul-2019 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
