from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
20-Jun-2019 - 00:00,1.15,0.0,0.0,0.0,732.61,81.44,55.3,0.0,65.55,30.3,229.95,0.99,0.61,14.43,10.94,7.12,17.6,35.47,7.12,21-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
21-Jun-2019 - 00:00,0.31,0.02,0.0,0.0,732.69,115.14,62.95,0.0,52.97,32.59,290.52,1.52,0.82,10.74,10.51,6.31,16.65,45.4,7.42,22-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
22-Jun-2019 - 00:00,0.85,0.45,0.54,0.0,731.52,135.55,89.56,0.0,46.49,34.23,253.67,1.25,0.98,11.19,11.2,13.17,24.15,25.03,8.16,23-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
23-Jun-2019 - 00:00,2.12,2.64,7.49,0.04,730.35,135.85,101.8,0.0,45.0,34.6,205.74,1.14,1.01,13.53,10.99,10.74,21.5,14.78,7.82,24-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
24-Jun-2019 - 00:00,1.18,1.87,5.45,0.02,732.01,111.64,64.49,0.05,47.85,33.82,136.56,1.47,0.88,13.88,10.92,9.99,20.45,27.31,8.17,25-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
25-Jun-2019 - 00:00,0.48,1.11,3.18,0.01,732.89,110.52,49.2,0.0,59.07,31.75,240.58,1.65,0.56,12.78,10.27,6.18,15.84,35.26,6.07,26-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
26-Jun-2019 - 00:00,0.4,0.7,2.29,0.0,731.71,89.54,40.67,0.02,58.08,31.75,257.96,1.86,0.36,15.46,10.17,5.41,15.57,39.82,5.91,27-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
27-Jun-2019 - 00:00,0.32,0.48,1.79,0.0,729.99,82.66,33.51,0.0,54.31,32.07,253.31,1.96,0.43,13.36,12.29,11.15,23.05,27.27,5.98,28-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
28-Jun-2019 - 00:00,0.35,0.92,2.61,0.23,728.88,83.15,37.13,0.0,51.52,32.76,248.22,2.14,0.56,3.53,14.35,24.37,38.52,33.58,8.13,29-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
29-Jun-2019 - 00:00,0.57,1.13,3.29,0.01,728.97,74.82,30.68,0.0,54.33,31.25,248.07,1.96,0.56,4.82,12.14,26.96,39.09,30.65,9.75,30-Jun-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
30-Jun-2019 - 00:00,0.7,1.5,4.56,0.13,729.42,80.69,45.66,0.37,74.27,27.9,221.44,1.82,0.57,5.98,13.19,27.19,40.38,30.16,9.13,01-Jul-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
01-Jul-2019 - 00:00,0.76,1.54,5.29,0.49,729.42,69.51,33.01,0.03,64.47,29.13,241.75,1.82,0.64,4.4,12.85,27.95,40.04,30.85,9.7,02-Jul-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
02-Jul-2019 - 00:00,0.46,1.12,3.31,0.05,728.92,76.65,37.56,0.0,57.69,31.04,290.37,2.43,0.65,11.41,12.55,27.81,39.58,26.57,9.02,03-Jul-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
03-Jul-2019 - 00:00,0.9,1.63,4.98,0.21,728.92,78.02,42.67,0.28,77.49,28.42,204.0,1.67,0.76,18.1,12.86,28.63,41.5,26.63,9.85,04-Jul-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
04-Jul-2019 - 00:00,0.85,2.03,6.39,0.65,728.56,40.37,19.75,0.09,84.84,27.62,267.92,1.5,0.75,17.17,12.36,26.4,38.75,24.15,9.48,05-Jul-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
05-Jul-2019 - 00:00,0.7,1.65,5.66,0.52,727.31,28.07,16.14,0.19,93.08,25.83,288.43,1.66,0.66,16.57,12.45,25.43,37.48,24.84,9.67,06-Jul-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
06-Jul-2019 - 00:00,0.69,1.28,4.35,0.24,726.28,67.24,24.48,0.11,88.49,25.49,257.04,1.6,0.64,14.07,12.24,26.31,38.16,26.31,9.36,07-Jul-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
07-Jul-2019 - 00:00,0.66,1.56,4.57,0.35,727.35,78.21,28.84,0.03,80.44,27.14,256.99,1.69,0.69,13.62,11.93,25.03,36.96,25.24,9.11,08-Jul-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
08-Jul-2019 - 00:00,0.89,1.85,6.22,1.09,728.08,96.31,49.34,0.03,77.81,28.9,223.96,1.79,0.7,13.64,11.82,25.63,36.75,23.73,9.03,09-Jul-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
09-Jul-2019 - 00:00,0.63,1.82,5.52,1.16,727.47,100.3,43.35,0.0,69.85,29.86,238.68,2.08,0.95,14.62,13.0,23.13,35.83,22.52,8.86,10-Jul-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
10-Jul-2019 - 00:00,0.63,1.99,5.46,0.96,727.63,110.73,45.81,0.0,66.24,30.34,240.25,2.31,0.8,15.71,14.66,19.29,33.94,26.41,10.33,11-Jul-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
11-Jul-2019 - 00:00,0.43,1.46,4.25,0.42,729.05,105.67,44.16,0.0,63.02,30.43,244.29,2.21,0.75,18.59,14.55,19.4,33.18,29.95,9.18,12-Jul-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
12-Jul-2019 - 00:00,0.51,2.15,5.68,1.11,731.47,96.38,47.78,0.0,61.67,30.43,241.36,1.78,0.83,17.83,14.41,20.53,34.57,29.04,7.77,13-Jul-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
13-Jul-2019 - 00:00,0.5,2.11,5.28,1.27,732.3,93.89,51.48,0.0,60.32,30.4,241.69,1.89,0.81,16.13,13.9,21.32,34.48,28.24,10.38,14-Jul-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
14-Jul-2019 - 00:00,0.49,2.42,6.0,2.02,730.9,101.65,48.49,0.0,59.84,30.69,231.03,1.92,0.78,15.21,13.55,20.87,32.39,26.52,10.44,15-Jul-2019 - 00:00,"Shrinath Puram, Kota - RSPCB"
