from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,Ozone,SO2,CO,to date,station
08-Apr-2019 - 00:00,28.35,984.58,306.17,59.75,42.97,138.92,136.99,1.21,2.44,17.14,58.58,76.66,23.99,60.26,47.12,28.88,1.99,09-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Apr-2019 - 00:00,29.44,984.29,223.4,70.56,38.84,151.18,131.46,0.88,2.98,24.88,54.58,88.67,76.69,110.06,50.92,33.08,2.56,10-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Apr-2019 - 00:00,31.15,985.28,215.73,72.25,27.5,156.12,282.83,1.04,3.96,28.08,46.92,83.92,110.84,135.74,54.63,29.48,2.55,11-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Apr-2019 - 00:00,31.93,984.99,193.93,49.78,20.37,152.58,290.58,0.96,2.39,23.48,35.64,75.99,48.93,80.29,53.73,35.54,2.05,12-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Apr-2019 - 00:00,30.63,985.61,230.21,45.51,21.53,146.16,233.37,1.28,2.2,20.68,35.94,65.09,18.36,49.56,54.39,32.04,1.84,13-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Apr-2019 - 00:00,31.17,986.06,162.54,36.7,20.18,164.49,286.09,1.46,1.8,18.65,34.36,50.94,10.52,35.7,53.38,33.36,1.63,14-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Apr-2019 - 00:00,31.5,985.77,180.79,41.89,19.91,163.14,305.86,1.94,1.4,19.49,32.16,51.5,10.1,35.63,45.32,36.03,1.7,15-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Apr-2019 - 00:00,33.13,983.8,193.06,37.61,19.3,168.83,300.62,1.68,1.45,18.36,31.34,56.41,45.77,83.89,49.94,35.08,2.27,16-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-Apr-2019 - 00:00,25.71,987.48,143.82,44.73,29.39,81.13,185.11,2.85,1.28,18.32,34.83,41.4,12.97,32.63,46.66,27.38,1.65,17-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-Apr-2019 - 00:00,23.3,988.5,51.82,15.4,44.86,114.23,151.19,2.08,0.65,14.3,32.07,38.03,6.49,25.5,49.78,27.55,1.6,18-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-Apr-2019 - 00:00,24.92,989.03,89.23,29.9,20.62,181.85,204.61,1.21,1.09,16.73,29.19,54.15,14.59,40.69,59.86,31.35,1.81,19-Apr-2019 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
