from date,PM10,SO2,NOx,CO,WD,Temp,RH,SR,to date,station
02-Mar-2019 - 00:00,145.66,42.02,46.28,2.31,244.0,27.57,56.19,23.45,03-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Mar-2019 - 00:00,62.63,41.71,46.2,2.45,246.83,27.05,70.3,23.38,04-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Mar-2019 - 00:00,81.23,41.78,46.22,2.19,131.5,27.17,72.24,23.4,05-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Mar-2019 - 00:00,117.74,41.75,46.21,2.26,302.27,27.11,68.75,23.39,06-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Mar-2019 - 00:00,97.09,41.35,46.1,2.24,198.48,26.45,65.95,23.31,07-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Mar-2019 - 00:00,88.66,41.8,46.22,2.41,143.17,27.21,59.26,23.4,08-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Mar-2019 - 00:00,111.67,43.68,48.03,2.21,154.27,28.59,48.98,24.62,09-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Mar-2019 - 00:00,142.95,46.03,51.16,2.24,229.0,30.91,40.46,25.86,10-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Mar-2019 - 00:00,136.23,45.17,52.21,2.29,219.72,29.48,40.65,25.68,11-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Mar-2019 - 00:00,130.71,45.28,53.04,2.34,172.83,28.42,57.46,25.55,12-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Mar-2019 - 00:00,99.82,46.31,54.1,2.47,211.12,28.49,61.0,25.56,13-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Mar-2019 - 00:00,95.16,46.05,54.07,2.37,124.03,28.05,58.16,25.51,14-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Mar-2019 - 00:00,108.39,46.16,54.08,2.43,135.79,28.24,52.32,25.53,15-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Mar-2019 - 00:00,120.07,47.28,54.23,2.54,145.55,30.1,39.73,25.76,16-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Mar-2019 - 00:00,177.25,47.08,54.2,2.19,162.0,29.77,43.63,25.72,17-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Mar-2019 - 00:00,125.85,46.97,54.19,2.36,279.2,29.58,47.88,25.7,18-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Mar-2019 - 00:00,149.7,48.7,56.4,2.35,59.0,30.31,43.16,25.78,19-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Mar-2019 - 00:00,154.87,50.09,59.2,2.24,152.0,29.78,42.35,25.72,20-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Mar-2019 - 00:00,130.8,49.62,59.14,2.22,222.0,29.0,58.87,25.62,21-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Mar-2019 - 00:00,84.13,50.05,59.2,2.2,23.52,29.71,57.44,25.71,22-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Mar-2019 - 00:00,83.77,48.81,59.03,2.24,299.01,27.85,59.7,25.48,23-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Mar-2019 - 00:00,143.16,50.9,59.31,2.16,136.0,31.14,46.76,25.89,24-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Mar-2019 - 00:00,164.3,51.89,59.44,2.34,171.34,32.78,39.33,26.09,25-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Mar-2019 - 00:00,150.76,53.43,59.65,2.38,119.48,35.36,28.95,26.4,26-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Mar-2019 - 00:00,144.35,52.69,59.55,2.34,131.14,33.75,34.87,26.25,27-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Mar-2019 - 00:00,124.31,51.22,59.35,2.29,215.17,30.81,26.09,25.95,28-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Mar-2019 - 00:00,125.2,50.15,59.2,2.15,,28.84,7.95,25.71,29-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Mar-2019 - 00:00,129.85,52.76,59.56,2.16,297.0,34.0,9.16,26.27,30-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Mar-2019 - 00:00,91.63,49.76,57.93,2.61,271.21,31.36,16.52,25.89,31-Mar-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
31-Mar-2019 - 00:00,86.95,47.65,55.51,2.27,194.0,31.29,17.16,25.88,01-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Apr-2019 - 00:00,106.72,46.78,55.39,2.26,283.0,29.81,14.67,25.7,02-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Apr-2019 - 00:00,90.76,46.95,55.41,2.58,247.29,30.1,15.2,25.73,03-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Apr-2019 - 00:00,93.93,48.19,55.58,2.43,165.99,32.15,16.03,25.99,04-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Apr-2019 - 00:00,87.92,47.61,55.5,2.54,255.62,31.2,21.51,25.87,05-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Apr-2019 - 00:00,81.4,48.03,55.56,2.38,281.62,31.9,22.3,25.95,06-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Apr-2019 - 00:00,92.02,48.07,55.56,2.32,224.0,31.96,26.64,25.96,07-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Apr-2019 - 00:00,85.55,47.78,55.52,2.32,265.5,31.59,33.59,25.92,08-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Apr-2019 - 00:00,74.05,48.33,55.6,2.33,291.85,32.39,,26.01,09-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Apr-2019 - 00:00,90.81,47.78,55.52,2.45,270.2,31.47,85.32,25.9,10-Apr-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
