from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,SR,RF,to date,station
26-Mar-2019 - 00:00,92.66,214.24,23.23,2.77,14.61,45.06,21.36,0.8,60.73,0.88,21.78,0.69,275.43,22.86,60.38,741.74,137.78,,27-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
27-Mar-2019 - 00:00,112.1,268.89,32.88,7.14,23.29,50.38,29.2,0.99,70.23,1.24,27.28,0.59,259.45,24.6,51.54,741.97,122.05,,28-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
28-Mar-2019 - 00:00,172.01,357.34,44.09,16.71,37.04,65.15,35.73,1.31,73.64,2.15,44.58,0.45,260.93,26.94,51.08,741.6,127.98,,29-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
29-Mar-2019 - 00:00,124.92,290.96,44.03,7.42,29.45,79.13,32.76,1.24,64.88,1.92,51.92,0.49,262.25,28.6,54.79,741.3,124.91,,30-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
30-Mar-2019 - 00:00,137.58,336.34,44.26,7.3,29.48,74.98,43.52,1.3,58.54,2.29,44.51,0.5,207.44,30.15,49.98,741.24,123.54,,31-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
31-Mar-2019 - 00:00,63.78,237.33,19.58,1.9,11.96,48.17,24.88,0.65,72.72,0.75,22.28,0.73,275.15,27.62,44.9,741.23,145.65,,01-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
01-Apr-2019 - 00:00,58.77,228.51,17.18,1.56,10.41,41.93,21.47,0.66,82.61,0.69,21.98,0.74,273.78,26.17,43.34,741.21,147.27,,02-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
02-Apr-2019 - 00:00,111.82,299.1,37.43,7.6,26.08,55.95,31.81,1.0,79.54,1.61,48.54,0.51,249.45,27.45,40.45,741.36,141.92,,03-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
03-Apr-2019 - 00:00,87.56,239.42,33.2,8.37,24.48,54.5,26.51,0.8,90.87,1.22,34.84,0.61,253.64,28.07,40.08,741.39,201.39,,04-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
04-Apr-2019 - 00:00,111.91,340.24,64.09,5.89,65.4,59.33,51.71,1.22,75.3,2.53,33.32,0.55,221.74,32.82,34.9,741.4,169.16,,05-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
05-Apr-2019 - 00:00,165.2,406.63,49.36,10.39,34.7,81.82,41.82,1.65,55.36,3.25,47.27,0.49,221.97,31.63,42.37,741.3,132.91,,06-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
06-Apr-2019 - 00:00,129.81,432.19,39.23,4.42,24.45,64.83,33.15,1.44,62.71,3.04,35.8,0.56,183.33,31.62,42.43,741.23,126.39,,07-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
07-Apr-2019 - 00:00,184.37,460.09,37.6,5.93,24.79,86.48,40.22,1.67,51.64,4.74,42.33,0.77,117.18,29.05,60.23,741.0,104.93,10.0,08-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
08-Apr-2019 - 00:00,128.92,425.79,42.98,4.77,26.6,69.01,33.01,,55.84,3.06,37.58,0.54,118.78,27.57,54.44,741.14,126.69,,09-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
09-Apr-2019 - 00:00,127.82,299.06,38.07,8.13,26.86,72.35,34.97,1.05,74.19,3.29,30.41,0.53,116.45,28.92,49.43,741.11,172.72,,10-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
10-Apr-2019 - 00:00,47.57,183.96,19.88,1.96,12.05,54.78,17.57,0.65,105.23,0.72,29.76,0.58,231.5,34.39,34.0,741.66,303.56,,11-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
11-Apr-2019 - 00:00,26.0,168.0,,,,,,,1.86,,,0.5,258.0,28.2,55.0,742.0,203.0,,12-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
12-Apr-2019 - 00:00,66.18,307.37,31.75,3.76,19.83,49.08,31.83,0.9,69.25,1.0,20.51,0.64,213.03,32.23,39.68,741.35,185.02,,13-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
13-Apr-2019 - 00:00,66.69,263.28,23.42,2.36,14.38,46.56,32.58,0.82,58.61,0.96,21.57,0.77,287.22,30.62,40.35,741.32,144.59,,14-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
14-Apr-2019 - 00:00,51.01,230.83,20.43,2.1,12.57,43.83,20.08,0.73,59.69,0.66,27.27,0.72,288.14,30.9,39.18,741.32,143.78,,15-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
15-Apr-2019 - 00:00,57.76,267.1,25.75,7.91,20.13,45.94,14.48,0.99,56.57,0.85,23.96,0.66,269.9,32.92,34.04,741.23,150.73,,16-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
16-Apr-2019 - 00:00,51.54,196.0,16.69,2.2,10.67,42.29,10.03,0.78,68.64,1.38,18.21,0.99,166.41,25.83,55.83,741.24,76.22,1.33,17-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
17-Apr-2019 - 00:00,38.36,129.28,18.04,1.83,11.09,34.75,11.84,0.75,68.15,1.22,15.42,0.86,127.17,23.55,61.54,741.43,104.61,,18-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
18-Apr-2019 - 00:00,58.45,150.1,23.25,2.42,14.32,36.41,17.9,0.86,78.42,0.99,13.85,0.54,185.73,24.38,59.42,741.47,115.39,,19-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
19-Apr-2019 - 00:00,79.05,220.45,40.27,6.44,26.65,47.54,20.01,0.97,65.6,0.95,18.22,0.58,252.14,27.04,46.02,741.28,152.15,,20-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
20-Apr-2019 - 00:00,134.21,340.07,47.01,8.5,32.02,50.94,25.01,1.55,82.45,1.81,26.02,0.49,227.5,29.3,39.36,741.16,148.49,,21-Apr-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
