from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
12-Apr-2019 - 00:00,31.24,986.29,203.69,58.52,33.48,164.25,98.35,1.53,1.1,2.88,60.59,1.05,11.99,10.99,0.84,34.25,7.51,13-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
13-Apr-2019 - 00:00,32.2,986.79,144.74,42.39,28.58,193.78,176.85,1.62,0.85,2.41,53.53,3.5,12.5,9.01,0.78,31.25,6.85,14-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
14-Apr-2019 - 00:00,32.43,986.53,149.3,41.09,28.02,189.79,294.7,1.14,0.71,3.23,50.69,2.15,13.1,10.95,0.77,26.02,6.98,15-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
15-Apr-2019 - 00:00,33.62,984.52,125.76,37.48,25.6,196.06,267.59,1.14,2.96,6.28,53.07,29.38,45.74,17.03,1.03,28.62,5.33,16-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
16-Apr-2019 - 00:00,26.11,988.2,,47.37,49.1,86.05,182.49,2.06,2.14,4.18,57.17,6.43,19.59,14.93,0.81,26.06,4.53,17-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
17-Apr-2019 - 00:00,23.67,989.29,,17.65,56.29,157.13,160.88,1.58,1.11,2.41,48.14,0.81,15.88,15.7,0.83,26.34,3.56,18-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
18-Apr-2019 - 00:00,25.14,989.92,,33.84,50.48,203.02,170.6,1.15,3.49,5.94,48.55,8.76,29.2,23.32,0.98,33.11,5.68,19-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
19-Apr-2019 - 00:00,27.6,987.39,,59.7,38.27,204.2,258.37,0.89,3.66,7.32,58.24,17.88,45.29,30.9,0.7,29.21,6.71,20-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
20-Apr-2019 - 00:00,29.15,984.92,,71.58,34.05,209.05,238.77,0.63,4.47,5.82,55.65,34.26,65.52,39.44,0.93,38.72,6.52,21-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
21-Apr-2019 - 00:00,31.11,983.17,,81.04,30.3,206.17,230.05,0.86,5.56,8.5,57.59,45.51,80.01,40.35,1.24,29.19,7.95,22-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
22-Apr-2019 - 00:00,32.34,983.17,,106.61,32.89,190.19,206.5,0.77,7.89,11.15,70.39,35.04,66.49,40.53,1.34,52.68,14.46,23-Apr-2019 - 00:00,"Patparganj, Delhi - DPCC"
