from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
20-Apr-2019 - 00:00,247.02,102.58,36.96,28.25,65.2,3.69,,30.74,4.19,0.65,1.12,4.13,21-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
21-Apr-2019 - 00:00,293.67,120.87,41.75,28.64,70.39,4.4,,43.05,5.93,1.0,1.73,7.09,22-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
22-Apr-2019 - 00:00,321.71,144.46,48.25,36.07,84.32,5.07,,41.77,6.11,0.67,1.0,6.56,23-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
23-Apr-2019 - 00:00,332.14,120.07,48.48,37.24,85.72,5.21,,11.92,7.13,0.63,1.35,8.55,24-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
24-Apr-2019 - 00:00,343.59,109.39,25.75,28.02,53.76,4.39,,11.81,6.54,0.3,0.79,6.43,25-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
25-Apr-2019 - 00:00,339.92,100.63,19.25,22.55,41.69,3.81,,15.72,6.52,0.18,0.61,4.91,26-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
26-Apr-2019 - 00:00,313.08,83.61,32.78,29.79,62.58,3.49,,36.98,5.2,0.35,0.74,6.57,27-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
27-Apr-2019 - 00:00,386.63,72.56,25.41,26.44,51.85,3.26,,44.36,3.29,0.21,0.51,4.36,28-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
28-Apr-2019 - 00:00,368.22,70.97,29.58,27.14,56.72,3.58,,44.3,2.95,0.14,0.68,3.24,29-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
29-Apr-2019 - 00:00,346.94,88.92,45.28,36.29,81.58,4.05,,43.24,4.32,0.24,0.64,3.04,30-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
30-Apr-2019 - 00:00,352.46,106.16,29.15,32.75,61.9,4.49,,55.15,5.11,0.23,0.49,1.51,01-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
01-May-2019 - 00:00,415.9,119.03,39.47,36.12,75.59,5.03,,59.18,3.94,0.26,0.54,1.66,02-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
02-May-2019 - 00:00,353.21,80.42,22.31,21.71,44.02,4.39,,55.48,0.0,0.15,0.37,1.46,03-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
03-May-2019 - 00:00,183.5,55.85,23.64,26.17,49.8,4.3,,59.18,1.29,0.11,0.21,2.56,04-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
04-May-2019 - 00:00,268.34,84.19,28.43,27.88,56.31,4.41,,49.32,6.15,0.2,0.4,2.52,05-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
05-May-2019 - 00:00,344.25,125.32,36.29,33.5,69.79,4.93,,58.05,8.01,0.07,0.36,0.33,06-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
06-May-2019 - 00:00,392.07,163.0,47.64,36.06,83.69,6.22,,55.09,8.4,0.02,0.59,0.5,07-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
07-May-2019 - 00:00,473.86,140.67,55.84,34.93,90.46,3.97,,32.45,6.75,0.01,0.63,0.33,08-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
08-May-2019 - 00:00,538.57,164.44,96.44,57.07,153.41,3.2,,43.67,6.1,0.02,0.33,0.22,09-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
09-May-2019 - 00:00,557.96,208.5,47.28,30.16,77.44,2.5,,40.12,6.61,0.01,0.16,0.19,10-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
10-May-2019 - 00:00,418.74,70.28,29.07,27.4,56.46,1.26,,23.83,5.87,0.0,0.15,0.14,11-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
11-May-2019 - 00:00,,,,,,,,,,,,,12-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
12-May-2019 - 00:00,,,,,,,,,,,,,13-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
13-May-2019 - 00:00,,,,,,,,,,,,,14-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
14-May-2019 - 00:00,,,,,,,,,,,,,15-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
15-May-2019 - 00:00,,,,,,,,,,,,,16-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
16-May-2019 - 00:00,,,,,,,,,,,,,17-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
17-May-2019 - 00:00,,,,,,,,,,,,,18-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
18-May-2019 - 00:00,,,,,,,,,,,,,19-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
19-May-2019 - 00:00,,,,,,,,,,,,,20-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
20-May-2019 - 00:00,,,,,,,,,,,,,21-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
21-May-2019 - 00:00,,,,,,,,,,,,,22-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
22-May-2019 - 00:00,,,,,,,,,,,,,23-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
23-May-2019 - 00:00,,,,,,,,,,,,,24-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
24-May-2019 - 00:00,,,,,,,,,,,,,25-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
25-May-2019 - 00:00,,,,,,,,,,,,,26-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
26-May-2019 - 00:00,,,,,,,,,,,,,27-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
