from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
05-Apr-2019 - 00:00,120.18,240.99,52.48,19.41,40.6,55.43,5.79,0.6,48.02,6.39,0.52,2.24,3.39,5.74,30.41,233.4,2.44,169.59,0.0,06-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
06-Apr-2019 - 00:00,49.44,116.52,25.05,4.26,14.1,40.79,3.94,0.34,44.61,3.76,0.41,1.55,1.92,4.15,26.92,300.58,3.09,213.07,0.0,07-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
07-Apr-2019 - 00:00,139.28,251.3,27.12,4.54,15.41,42.46,9.04,0.59,51.76,6.96,0.45,1.7,2.36,4.52,36.88,263.16,2.64,188.54,0.0,08-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
08-Apr-2019 - 00:00,77.1,208.11,22.77,4.21,12.87,51.87,4.23,0.37,46.44,4.34,0.38,1.48,1.93,4.07,42.02,286.57,2.08,95.08,0.0,09-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
09-Apr-2019 - 00:00,63.95,158.59,21.63,4.11,12.19,65.89,4.19,0.46,36.19,4.75,0.36,1.77,2.35,4.73,41.36,303.75,1.86,96.82,0.0,10-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
10-Apr-2019 - 00:00,83.44,174.09,29.75,5.97,17.93,76.58,4.2,0.53,16.72,5.8,0.55,2.08,2.97,5.4,34.22,296.27,2.18,131.13,0.0,11-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
11-Apr-2019 - 00:00,62.83,153.64,32.35,9.6,22.2,65.19,4.32,0.49,13.11,6.41,0.76,2.26,3.13,5.81,29.99,306.22,1.99,127.24,0.0,12-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
12-Apr-2019 - 00:00,75.82,215.96,23.79,6.05,14.87,67.88,3.62,0.33,11.55,4.0,0.6,1.9,2.4,4.96,26.77,351.71,2.86,185.17,0.0,13-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
13-Apr-2019 - 00:00,54.8,143.56,19.93,4.75,11.82,67.8,3.75,0.38,12.43,4.48,0.49,1.86,2.36,4.97,35.32,360.79,3.02,190.19,0.0,14-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
14-Apr-2019 - 00:00,49.63,143.79,21.56,6.43,14.02,64.34,3.84,0.38,10.7,4.4,0.58,1.98,2.54,5.25,33.51,367.77,2.33,205.9,0.0,15-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
15-Apr-2019 - 00:00,56.25,179.37,23.66,5.04,14.0,73.12,3.58,0.4,12.54,4.63,0.62,2.02,2.58,5.36,30.37,342.16,2.48,200.39,0.0,16-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
16-Apr-2019 - 00:00,103.53,146.48,12.48,3.83,7.16,66.28,1.78,0.36,13.2,2.52,0.18,1.26,1.4,3.2,56.86,150.11,3.58,157.74,0.06,17-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
17-Apr-2019 - 00:00,24.64,47.07,13.41,4.11,7.95,70.27,7.17,0.6,10.7,2.5,0.2,1.58,1.52,3.4,66.18,405.91,2.26,160.68,0.14,18-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
18-Apr-2019 - 00:00,37.76,49.03,7.58,4.79,4.39,47.78,5.69,0.31,12.54,3.12,0.24,1.62,1.38,3.05,47.14,499.17,2.57,220.24,0.0,19-Apr-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
