from date,BP,PM10,PM2.5,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
12-Jul-2019 - 00:00,723.0,95.91,38.04,217.68,3.03,0.15,0.04,0.17,0.08,0.76,10.02,5.17,20.81,25.98,31.81,9.38,13-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Jul-2019 - 00:00,723.61,97.68,36.68,217.17,3.09,0.15,0.03,0.15,0.07,0.8,9.86,3.96,20.64,24.6,35.14,7.61,14-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Jul-2019 - 00:00,722.55,91.29,32.58,218.87,3.17,0.12,0.02,0.09,0.04,0.7,11.0,3.51,17.66,21.18,36.13,9.4,15-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Jul-2019 - 00:00,721.71,105.44,37.89,216.87,2.78,0.28,0.05,0.19,0.08,0.97,13.25,3.78,19.58,23.35,29.26,8.95,16-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Jul-2019 - 00:00,723.51,111.25,37.46,217.05,2.57,0.37,0.04,0.19,0.09,0.78,16.04,4.2,21.5,25.7,28.35,11.05,17-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Jul-2019 - 00:00,724.12,96.36,39.37,221.99,2.01,0.36,0.07,0.29,0.14,0.82,28.0,4.51,21.74,26.25,25.69,11.34,18-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Jul-2019 - 00:00,724.17,69.62,32.96,200.48,1.92,0.48,0.14,0.58,0.25,1.04,29.62,4.59,29.72,34.3,23.69,10.8,19-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Jul-2019 - 00:00,724.33,56.69,29.59,175.54,1.58,0.34,0.09,0.39,0.17,0.86,31.64,3.81,26.45,30.25,32.99,9.28,20-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Jul-2019 - 00:00,724.6,59.63,27.91,114.89,1.38,0.49,0.12,0.47,0.19,1.02,37.24,3.59,30.46,34.05,31.62,9.18,21-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Jul-2019 - 00:00,724.08,51.33,27.82,85.47,1.7,0.23,0.03,0.1,0.04,0.83,39.46,1.96,14.4,16.36,46.03,8.02,22-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Jul-2019 - 00:00,723.38,42.65,21.63,87.68,1.63,0.28,0.05,0.18,0.07,0.96,40.09,2.07,15.78,17.85,45.61,9.11,23-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Jul-2019 - 00:00,723.53,35.59,24.31,146.05,1.62,0.22,0.03,0.12,0.05,1.09,37.86,2.15,16.11,18.27,51.6,7.63,24-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Jul-2019 - 00:00,722.68,49.3,19.85,182.84,1.69,0.35,0.1,0.44,0.2,0.99,35.4,4.67,26.4,30.92,41.85,8.95,25-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Jul-2019 - 00:00,724.6,27.64,11.77,206.45,1.35,0.39,0.13,0.47,0.19,0.87,30.77,2.26,24.32,26.45,31.31,9.6,26-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Jul-2019 - 00:00,722.82,52.36,20.64,195.68,1.05,0.64,0.2,0.91,0.38,1.07,20.1,8.16,33.95,42.1,14.72,10.26,27-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Jul-2019 - 00:00,720.9,54.8,23.5,196.65,1.26,0.83,0.29,1.31,0.55,0.94,22.59,9.23,38.46,47.69,13.7,9.6,28-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Jul-2019 - 00:00,721.75,28.65,15.69,86.04,1.69,0.27,0.06,0.29,0.12,0.68,21.78,1.53,14.47,15.97,26.57,9.25,29-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Jul-2019 - 00:00,721.89,19.21,10.71,70.89,1.98,0.2,0.03,0.1,0.04,0.71,20.46,0.62,10.86,11.47,31.99,9.39,30-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
