from date,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
09-Mar-2018 - 00:00,,0.03,167.81,41.75,,75.87,25.49,38.84,41.04,26.42,121.21,27.98,,0.71,0.93,19.97,18.3,1.93,4.04,1.92,6.02,10-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Mar-2018 - 00:00,,0.14,213.87,42.75,,80.62,11.01,32.11,25.88,24.71,79.21,27.97,,0.57,1.27,11.92,2.76,0.7,0.32,0.13,1.6,11-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Mar-2018 - 00:00,,0.15,254.36,49.05,,78.66,26.84,34.65,39.91,24.99,93.27,27.49,,0.76,0.89,13.07,5.74,1.03,2.22,0.92,3.15,12-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Mar-2018 - 00:00,,0.08,220.79,40.43,,136.27,13.76,37.75,31.09,23.24,98.36,29.17,,0.58,0.99,17.06,5.36,1.08,1.26,0.57,2.71,13-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Mar-2018 - 00:00,,0.01,223.74,33.79,,168.93,26.14,39.28,41.81,24.14,88.44,30.22,,0.8,0.87,14.51,8.88,1.37,2.58,1.12,3.28,14-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Mar-2018 - 00:00,,0.03,211.92,20.49,,254.88,20.53,41.43,38.46,22.17,113.75,30.37,,0.6,0.78,13.58,6.83,1.24,2.18,0.93,2.83,15-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Mar-2018 - 00:00,,0.05,191.87,31.99,,249.93,16.02,35.12,31.49,21.9,119.54,29.86,,0.58,1.25,12.95,5.31,1.11,1.39,0.5,2.16,16-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Mar-2018 - 00:00,,0.03,188.45,40.1,,219.59,14.8,34.11,29.99,26.56,114.41,27.89,,0.59,1.16,13.48,4.4,0.69,0.69,0.23,2.0,17-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Mar-2018 - 00:00,,0.09,226.23,33.36,,96.37,11.4,32.7,26.51,28.44,91.63,26.81,,0.54,1.28,13.5,2.52,0.51,0.28,0.14,1.94,18-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Mar-2018 - 00:00,,0.07,206.63,30.29,,97.68,11.86,30.76,25.85,36.08,86.05,27.12,,0.54,1.23,11.6,2.52,0.59,0.19,0.08,1.89,19-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Mar-2018 - 00:00,,0.05,169.98,34.68,,133.13,11.49,32.28,26.36,34.54,90.54,27.85,,0.52,1.15,10.14,3.28,0.65,0.4,0.08,1.74,20-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Mar-2018 - 00:00,,0.05,201.03,40.51,,66.1,21.04,40.96,38.62,32.73,137.66,28.92,,0.68,0.81,14.14,11.74,1.62,2.75,0.95,3.31,21-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Mar-2018 - 00:00,,0.02,155.5,52.41,,165.03,16.11,35.85,31.96,22.17,146.36,28.41,,0.6,1.35,15.68,7.68,1.95,1.9,1.92,3.9,22-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Mar-2018 - 00:00,,0.09,168.93,58.77,,152.96,12.77,25.82,23.96,15.94,104.11,27.68,,0.45,1.41,8.8,3.61,0.94,0.25,0.38,2.14,23-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Mar-2018 - 00:00,,0.15,257.64,53.99,,114.56,12.01,27.42,24.19,28.81,83.1,26.85,,0.41,1.2,7.7,2.9,0.42,0.4,0.14,1.67,24-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Mar-2018 - 00:00,,0.19,260.84,48.85,,113.93,12.29,29.55,25.56,31.04,109.88,27.36,,0.43,1.28,8.41,3.86,0.58,0.34,0.1,1.97,25-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Mar-2018 - 00:00,,0.31,280.41,49.46,,111.81,11.74,29.07,24.86,33.88,116.5,27.65,,0.43,1.39,9.03,2.55,0.6,0.28,0.17,2.34,26-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Mar-2018 - 00:00,,0.31,281.9,43.32,,111.29,20.1,31.84,33.01,34.57,116.28,28.95,,0.55,1.28,11.19,5.85,1.04,1.2,0.56,3.68,27-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Mar-2018 - 00:00,,0.22,217.0,33.56,,115.75,31.01,35.13,43.5,29.68,131.57,30.07,,0.63,0.98,11.43,11.34,1.71,2.7,1.15,4.3,28-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Mar-2018 - 00:00,,0.25,244.39,30.02,,116.38,32.82,36.97,45.91,31.01,146.52,30.97,,0.57,1.13,15.3,11.99,2.77,3.62,1.64,4.16,29-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Mar-2018 - 00:00,,0.26,289.79,34.46,,114.52,13.89,31.6,27.92,31.66,115.22,30.59,,0.46,1.31,10.5,4.62,0.69,0.76,0.35,2.74,30-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Mar-2018 - 00:00,,0.14,227.5,32.66,,122.81,13.9,33.63,29.01,34.52,113.95,30.56,,0.5,1.45,12.32,3.93,0.78,0.81,0.29,2.93,31-Mar-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-Mar-2018 - 00:00,,-0.07,130.29,38.61,,110.2,11.27,29.08,24.48,48.92,107.69,29.63,,0.65,1.57,12.09,4.79,0.59,0.7,0.27,2.41,01-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Apr-2018 - 00:00,,0.07,144.6,37.47,,112.7,10.99,27.02,23.16,56.47,103.69,30.71,,0.62,1.56,12.3,2.37,0.35,0.39,0.15,1.65,02-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Apr-2018 - 00:00,,0.14,152.2,35.23,,105.67,11.3,33.56,26.89,47.57,82.81,31.51,,0.68,1.44,10.99,4.05,0.67,0.79,0.28,2.21,03-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Apr-2018 - 00:00,,0.23,159.71,31.78,,103.58,11.36,35.37,27.81,49.34,84.93,32.45,,0.74,1.28,13.05,4.89,0.88,1.23,0.47,2.9,04-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Apr-2018 - 00:00,,0.4,123.4,32.91,,105.55,14.69,34.45,30.08,51.58,89.08,32.65,,0.74,0.96,10.87,8.94,1.0,1.79,0.72,3.35,05-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Apr-2018 - 00:00,,0.4,146.86,36.02,,108.46,19.57,35.04,34.3,35.15,132.4,32.42,,0.71,1.07,23.58,12.61,1.45,2.52,1.38,4.8,06-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Apr-2018 - 00:00,,0.01,119.02,36.01,,73.14,11.63,28.24,24.33,37.3,91.22,31.21,,0.61,1.41,8.13,3.21,0.62,0.29,0.05,2.1,07-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Apr-2018 - 00:00,,0.07,146.44,45.41,,161.82,12.21,26.81,24.03,35.67,60.09,30.38,,0.51,1.39,4.77,2.98,0.54,0.53,0.19,1.39,08-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Apr-2018 - 00:00,,0.07,139.34,43.95,,147.53,11.38,24.02,21.89,38.51,60.16,31.13,,0.52,1.88,2.48,1.18,0.26,0.01,0.0,1.07,09-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Apr-2018 - 00:00,,-0.05,132.24,59.64,,130.16,15.34,27.27,26.77,22.33,66.55,28.95,,0.68,1.57,5.67,5.86,0.75,1.29,0.62,2.85,10-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Apr-2018 - 00:00,,0.3,155.74,49.95,,138.13,19.44,31.71,32.43,37.98,121.4,30.64,,0.65,1.02,11.05,6.63,1.11,1.86,0.79,2.44,11-Apr-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
