from date,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,AT,Rack Temp,Benzene,Toluene,Xylene,RH,WS,WD,SR,BP,VWS,to date,station
08-Oct-2018 - 00:00,0.43,36.7,3.56,35.88,21.85,9.56,55.37,26.98,29.02,0.84,16.38,0.28,56.42,1.44,114.27,160.05,712.76,0.73,09-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
09-Oct-2018 - 00:00,0.54,29.27,15.6,56.4,42.69,39.18,60.28,26.95,28.92,1.94,26.02,0.51,50.1,1.57,89.63,187.53,711.32,0.74,10-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
10-Oct-2018 - 00:00,0.48,34.94,12.07,52.75,37.86,27.07,57.92,26.84,31.0,1.14,15.65,0.31,48.03,1.86,93.84,151.78,709.0,0.7,11-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
11-Oct-2018 - 00:00,0.34,39.43,2.76,37.57,22.2,15.83,46.6,26.59,31.93,1.08,9.26,0.12,45.27,2.05,95.19,147.15,707.54,0.68,12-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
12-Oct-2018 - 00:00,0.43,37.79,5.79,41.21,26.63,21.24,47.43,26.14,31.35,0.91,10.22,0.19,51.45,1.76,100.11,168.33,710.77,0.68,13-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
13-Oct-2018 - 00:00,0.64,29.73,27.24,55.6,51.23,13.46,56.27,26.94,31.0,1.56,15.59,0.89,57.17,1.26,113.28,154.81,714.28,0.68,14-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
14-Oct-2018 - 00:00,0.41,40.56,4.18,28.11,18.33,15.13,49.47,27.68,29.84,1.03,16.23,0.22,55.56,1.35,120.35,150.46,716.08,0.71,15-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
15-Oct-2018 - 00:00,0.39,34.09,1.72,24.08,14.18,14.95,50.47,27.25,28.62,0.63,19.7,0.16,61.07,1.21,120.3,122.47,717.56,0.73,16-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
16-Oct-2018 - 00:00,0.57,23.92,4.01,30.93,19.71,8.98,45.49,26.08,28.48,0.81,11.11,0.43,71.96,0.93,159.34,107.46,717.71,0.73,17-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
17-Oct-2018 - 00:00,0.87,16.9,14.37,42.03,34.02,7.78,44.03,24.21,28.46,1.32,10.68,0.93,80.93,0.61,162.68,86.88,716.47,0.72,18-Oct-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
