from date,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,Rack Temp,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
18-Mar-2018 - 00:00,0.0,14.23,29.96,55.39,53.82,46.66,1.25,254.41,26.56,42.42,732.99,183.39,0.0,-0.24,4.67,12.1,0.23,71.42,25.15,19-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Mar-2018 - 00:00,0.0,14.25,44.07,58.99,67.12,36.44,0.93,228.15,9.55,41.87,718.37,157.1,0.0,-0.15,5.87,22.17,1.75,158.29,26.06,20-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Mar-2018 - 00:00,0.01,19.91,59.77,62.45,81.82,40.98,0.54,180.21,0.19,43.64,697.77,145.12,0.0,0.07,7.15,25.55,1.57,92.79,26.66,21-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Mar-2018 - 00:00,0.01,21.35,37.91,50.54,57.59,40.71,1.39,196.25,28.45,49.06,729.03,137.78,0.0,-0.22,6.8,21.25,1.59,105.83,26.53,22-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Mar-2018 - 00:00,0.01,15.01,42.02,54.81,63.19,44.22,1.07,206.24,28.36,50.85,729.98,114.33,0.0,-0.18,4.85,13.42,1.26,79.37,25.18,23-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Mar-2018 - 00:00,0.01,11.11,26.77,54.91,51.02,48.24,1.34,263.03,28.15,50.18,731.33,175.48,0.0,-0.28,3.04,8.88,0.36,53.92,24.42,24-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Mar-2018 - 00:00,0.01,7.06,29.51,63.72,60.39,53.69,1.63,266.76,28.6,49.41,733.88,174.27,0.0,-0.3,4.36,12.97,0.87,76.12,25.75,25-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Mar-2018 - 00:00,0.01,10.06,15.37,52.06,40.18,59.47,2.11,268.29,26.29,48.15,735.15,172.78,0.0,-0.34,3.91,8.38,0.17,73.29,26.12,26-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Mar-2018 - 00:00,0.01,15.17,25.52,58.51,57.13,61.41,2.06,264.3,28.38,48.18,733.38,170.95,0.0,-0.33,4.69,10.4,0.88,84.12,26.9,27-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Mar-2018 - 00:00,0.01,16.95,55.25,54.31,73.76,48.25,0.86,215.25,28.03,46.86,729.92,177.52,0.0,-0.2,6.24,19.61,1.22,91.79,28.59,28-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Mar-2018 - 00:00,0.01,21.79,64.49,59.5,84.08,51.99,0.28,233.12,28.27,45.03,729.07,179.38,0.0,-0.23,7.15,25.59,1.9,120.04,29.32,29-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Mar-2018 - 00:00,0.01,14.58,23.99,59.97,51.4,53.63,0.28,262.81,27.89,57.94,728.47,174.2,0.0,-0.28,4.08,10.91,0.52,76.1,28.62,30-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Mar-2018 - 00:00,0.01,14.34,20.23,59.64,48.17,55.89,0.31,202.84,27.86,61.85,726.13,188.65,0.0,-0.27,4.53,13.5,0.96,76.0,28.9,31-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-Mar-2018 - 00:00,0.01,10.5,28.43,58.07,53.99,62.35,0.27,153.09,28.14,54.6,728.85,177.51,0.0,-0.11,5.35,13.07,0.66,77.0,25.78,01-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Apr-2018 - 00:00,0.01,8.32,12.26,41.33,31.95,64.43,0.27,154.75,26.6,59.07,730.41,176.9,0.0,-0.12,4.5,7.07,0.0,77.58,27.08,02-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Apr-2018 - 00:00,0.01,10.73,19.14,46.65,40.26,86.0,0.27,157.39,28.47,57.2,730.81,160.96,0.0,-0.13,6.29,9.88,0.75,95.12,28.55,03-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Apr-2018 - 00:00,0.01,13.2,19.51,47.72,42.18,77.11,0.27,166.96,28.0,60.0,729.36,151.07,0.0,-0.14,7.28,11.95,0.5,109.04,29.9,04-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Apr-2018 - 00:00,0.01,15.77,15.47,48.52,38.39,72.34,0.27,150.57,27.77,51.46,726.84,159.1,0.0,-0.13,7.46,15.77,0.16,122.12,31.03,05-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Apr-2018 - 00:00,0.01,22.93,27.13,60.43,55.03,66.81,0.27,148.66,28.22,51.14,725.5,141.06,0.0,-0.13,8.32,25.86,1.22,154.96,31.02,06-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Apr-2018 - 00:00,0.01,20.23,27.76,50.08,48.89,53.26,0.41,163.4,28.28,52.51,727.59,123.99,0.01,-0.17,5.58,17.05,0.67,204.36,29.2,07-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
