from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,P-Xylene,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
31-Mar-2018 - 00:00,24.12,32.0,742.94,1.36,34.56,44.8,90.26,132.04,67.39,271.04,91.42,5.22,40.07,27.16,137.87,113.05,1.74,0.08,28.63,01-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
01-Apr-2018 - 00:00,26.23,25.15,742.97,1.2,40.98,14.24,80.66,93.58,83.18,170.87,68.79,2.92,37.83,16.92,143.97,118.1,1.69,0.06,18.42,02-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
02-Apr-2018 - 00:00,26.65,34.07,742.97,1.34,41.29,34.8,107.25,137.04,67.34,200.38,81.78,4.3,39.49,18.97,129.25,132.53,1.36,0.03,20.63,03-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
03-Apr-2018 - 00:00,28.21,40.93,742.99,1.38,39.66,35.14,99.98,128.73,68.17,236.17,91.88,3.41,37.59,21.57,126.22,161.0,0.98,-0.03,21.75,04-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
04-Apr-2018 - 00:00,28.87,24.8,742.99,2.05,36.02,49.13,94.18,120.2,45.58,264.46,115.3,2.07,38.29,27.88,126.88,172.7,0.68,-0.06,19.12,05-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
05-Apr-2018 - 00:00,28.96,52.71,742.99,2.2,39.71,83.99,102.35,183.49,55.24,318.58,152.04,7.14,38.97,33.65,123.9,212.69,0.57,-0.11,35.11,06-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
06-Apr-2018 - 00:00,26.45,33.68,742.95,1.09,36.36,44.31,79.62,127.61,56.5,205.3,118.9,7.22,40.21,33.38,97.98,177.94,1.2,-0.11,22.31,07-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
07-Apr-2018 - 00:00,25.38,15.43,742.98,0.87,35.87,17.7,61.91,80.22,62.16,133.17,48.74,4.04,44.65,11.91,139.87,131.06,1.46,0.06,22.53,08-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
08-Apr-2018 - 00:00,26.86,4.88,742.99,0.77,35.32,4.87,49.94,51.88,77.29,127.04,49.39,3.39,41.43,16.09,137.73,93.93,2.4,0.16,25.3,09-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
09-Apr-2018 - 00:00,22.7,18.42,742.83,1.64,37.06,60.96,60.7,76.96,46.17,157.78,88.67,3.98,59.52,22.08,97.03,138.74,1.53,-0.0,29.98,10-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
10-Apr-2018 - 00:00,25.67,32.85,742.98,0.92,42.53,57.17,73.8,111.39,65.84,252.25,89.79,3.72,49.78,19.73,129.55,172.9,0.89,-0.08,24.43,11-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
11-Apr-2018 - 00:00,22.09,5.93,742.95,0.56,35.27,5.91,53.2,43.78,48.75,123.57,68.29,5.14,58.14,12.65,4.24,160.26,0.82,-0.05,32.52,12-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
12-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
13-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,14-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
14-Apr-2018 - 00:00,29.51,40.61,742.99,0.1,29.61,84.85,158.16,77.46,33.69,218.1,80.12,8.97,23.86,34.73,104.15,221.4,0.92,-0.16,21.74,15-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
15-Apr-2018 - 00:00,28.05,37.75,742.97,0.38,37.08,105.5,147.83,68.38,15.25,293.62,123.83,16.6,37.04,42.6,139.95,213.75,0.61,-0.13,22.46,16-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
16-Apr-2018 - 00:00,28.46,42.69,742.99,0.24,31.29,115.18,110.47,76.64,18.88,337.92,110.0,12.52,36.87,41.45,106.77,152.5,1.18,-0.06,28.77,17-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
17-Apr-2018 - 00:00,29.52,37.46,742.97,0.37,25.82,52.74,73.12,81.24,15.66,253.42,73.71,12.54,30.0,28.1,133.77,206.69,0.83,-0.13,18.26,18-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
18-Apr-2018 - 00:00,29.96,21.06,742.92,1.1,27.31,29.53,60.09,59.66,14.52,295.17,86.67,6.05,23.18,17.81,142.59,227.97,1.27,-0.18,15.69,19-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
19-Apr-2018 - 00:00,29.8,32.95,742.98,2.63,35.54,104.4,87.71,153.57,43.75,302.88,120.04,4.35,27.01,27.79,138.87,220.96,0.81,-0.15,21.97,20-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
