from date,Benzene,MP-Xylene,O Xylene,Toluene,CO,NO2,NO,NOx,NH3,Ozone,PM10,PM2.5,SR,Temp,WD,WS,SO2,to date,station
06-Mar-2018 - 00:00,9.72,13.58,34.78,0.79,2.15,99.05,129.75,112.65,175.95,35.73,235.51,55.97,217.48,29.36,227.95,1.22,49.55,07-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Mar-2018 - 00:00,7.51,9.22,4.92,0.39,1.61,60.24,30.49,45.9,76.4,37.09,184.76,50.14,204.4,28.99,218.04,1.28,52.9,08-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Mar-2018 - 00:00,10.19,9.18,21.17,0.5,1.75,53.71,41.79,47.63,87.68,22.63,189.48,44.27,232.06,27.25,230.6,1.87,19.42,09-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Mar-2018 - 00:00,7.54,9.76,49.17,0.47,1.56,62.9,50.65,56.79,104.98,23.16,163.51,37.58,239.52,28.12,192.59,1.17,29.68,10-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Mar-2018 - 00:00,9.38,10.45,27.07,0.43,1.94,55.67,44.11,50.03,80.23,40.0,204.17,51.98,214.22,29.16,223.23,1.0,37.09,11-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Mar-2018 - 00:00,10.26,11.23,18.87,1.27,1.58,43.08,29.97,36.5,70.44,36.43,212.52,47.37,245.98,30.45,216.56,1.21,48.17,12-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Mar-2018 - 00:00,14.96,20.33,39.87,12.07,2.66,60.54,119.7,87.48,127.98,5.24,243.15,62.34,107.21,24.22,182.57,1.25,55.5,13-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Mar-2018 - 00:00,6.81,11.12,13.55,3.94,1.49,40.0,40.78,39.82,67.33,58.99,262.6,46.33,211.12,32.93,242.35,1.86,27.66,14-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Mar-2018 - 00:00,6.11,10.32,23.98,0.73,1.28,51.98,16.8,35.07,75.46,34.18,171.07,36.52,217.25,30.54,235.04,1.49,56.32,15-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Mar-2018 - 00:00,9.97,14.93,29.62,4.7,2.14,73.85,43.92,59.45,120.15,20.77,220.27,51.12,41.26,27.12,176.95,1.12,39.3,16-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Mar-2018 - 00:00,7.42,13.33,45.31,2.03,1.72,62.32,52.27,57.21,130.33,51.46,169.05,38.1,271.17,27.61,191.01,1.24,14.95,17-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Mar-2018 - 00:00,7.71,14.05,54.98,0.88,1.88,69.35,76.56,72.11,154.31,49.58,204.23,45.69,319.05,28.61,187.18,1.26,15.3,18-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Mar-2018 - 00:00,12.56,12.39,60.6,0.83,1.88,80.25,71.67,75.68,173.76,59.97,218.98,44.85,313.74,28.99,211.56,1.08,13.27,19-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Mar-2018 - 00:00,6.34,8.91,34.36,0.75,1.1,57.61,34.37,46.51,127.34,41.53,138.61,29.33,363.11,28.73,211.9,0.97,9.84,20-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Mar-2018 - 00:00,5.12,9.89,36.92,2.11,0.81,57.75,31.79,44.98,118.8,43.29,134.16,27.36,381.27,28.65,216.05,0.96,13.02,21-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Mar-2018 - 00:00,4.69,8.18,12.37,0.79,0.62,53.79,26.47,40.4,105.44,46.14,122.49,23.08,378.66,27.84,235.13,1.18,11.75,22-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Mar-2018 - 00:00,6.3,10.1,11.02,1.16,0.97,62.39,68.56,64.47,132.66,34.23,160.7,31.22,392.31,26.36,222.18,1.17,10.65,23-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Mar-2018 - 00:00,6.65,10.43,7.28,1.93,0.97,56.67,70.26,62.24,129.18,38.03,201.27,34.29,392.9,26.61,197.57,1.17,5.66,24-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Mar-2018 - 00:00,6.67,12.22,6.29,0.64,1.25,60.44,89.33,73.14,145.85,54.4,210.95,45.35,384.62,28.48,198.62,0.93,12.68,25-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Mar-2018 - 00:00,12.93,18.89,6.14,2.45,1.84,73.71,98.15,84.46,168.92,50.38,314.74,66.92,377.81,31.13,171.66,1.04,17.08,26-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Mar-2018 - 00:00,10.57,16.65,5.52,9.33,1.57,72.9,103.22,86.33,155.98,57.57,268.44,56.23,360.64,32.51,194.84,1.01,20.23,27-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Mar-2018 - 00:00,9.68,11.8,4.84,4.41,1.29,149.04,166.23,155.16,256.93,39.57,195.54,52.97,327.07,29.44,205.16,1.04,7.9,28-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Mar-2018 - 00:00,8.02,8.98,3.58,7.03,0.99,114.3,98.58,105.75,195.47,37.22,165.32,38.76,359.39,28.75,203.3,1.14,8.56,29-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-Mar-2018 - 00:00,6.67,8.66,2.42,6.29,0.85,85.52,62.16,73.96,143.38,38.99,135.62,30.64,374.14,28.8,204.6,1.66,6.83,30-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-Mar-2018 - 00:00,6.87,7.42,2.23,4.19,0.81,62.3,32.22,47.57,107.78,39.74,108.02,26.13,374.61,28.58,197.33,1.43,5.13,31-Mar-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
31-Mar-2018 - 00:00,4.51,7.72,2.1,4.76,0.74,62.55,41.89,52.22,125.9,30.13,99.56,22.38,361.61,28.81,187.37,1.14,8.24,01-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Apr-2018 - 00:00,5.42,8.57,2.33,8.92,0.89,74.89,61.82,68.13,137.14,33.36,143.11,32.27,371.44,28.9,220.18,1.15,15.15,02-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Apr-2018 - 00:00,4.37,8.27,2.26,2.78,0.77,67.09,42.47,54.98,107.17,31.81,120.63,27.45,354.69,29.24,229.08,1.17,11.22,03-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Apr-2018 - 00:00,7.99,10.69,2.0,5.59,1.01,59.71,63.96,60.97,113.97,30.87,151.21,34.41,339.91,28.75,225.98,1.06,9.51,04-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Apr-2018 - 00:00,6.92,9.52,2.02,0.37,0.96,54.75,42.98,48.59,103.74,40.63,193.99,40.81,340.97,29.64,232.48,1.08,7.91,05-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Apr-2018 - 00:00,6.54,9.65,2.03,1.24,1.0,57.42,44.82,50.84,95.95,31.44,168.48,39.16,334.25,29.79,216.12,1.07,4.8,06-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Apr-2018 - 00:00,7.03,10.36,1.94,9.07,1.07,56.55,72.61,63.3,106.64,29.42,202.07,48.28,304.17,29.36,205.63,0.91,2.42,07-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Apr-2018 - 00:00,5.8,10.25,2.0,0.64,0.97,59.03,66.13,61.62,106.21,27.33,177.0,38.76,341.96,29.74,209.94,1.29,3.8,08-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Apr-2018 - 00:00,6.85,9.64,1.68,5.59,0.92,77.94,68.39,72.76,117.07,42.78,172.97,39.65,379.59,29.73,213.36,1.21,4.33,09-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Apr-2018 - 00:00,4.01,8.79,2.45,0.3,0.72,80.81,59.21,69.87,111.23,24.89,152.47,30.99,382.65,30.04,209.62,1.14,8.53,10-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Apr-2018 - 00:00,3.92,8.85,2.09,0.2,0.64,76.74,51.44,64.5,108.45,27.86,140.97,25.09,371.33,30.05,224.52,1.03,8.09,11-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Apr-2018 - 00:00,3.73,8.98,1.92,2.03,0.64,77.4,49.31,63.53,123.45,25.29,134.64,27.62,348.76,29.84,206.72,1.05,4.23,12-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Apr-2018 - 00:00,3.7,7.38,1.41,1.55,0.64,68.95,44.44,56.72,110.01,25.08,106.81,26.98,365.67,29.53,220.13,1.38,4.84,13-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Apr-2018 - 00:00,4.31,7.92,1.27,2.41,0.8,62.42,55.02,58.2,112.72,22.67,67.77,32.37,371.27,29.98,225.95,1.2,4.43,14-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Apr-2018 - 00:00,4.84,8.1,1.25,0.6,0.83,51.96,40.47,46.03,89.18,20.6,141.61,33.15,331.17,29.83,209.05,1.21,4.01,15-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Apr-2018 - 00:00,4.7,7.49,0.92,1.78,0.81,60.34,48.35,54.02,96.17,13.65,126.27,37.14,321.43,29.91,204.97,1.19,5.81,16-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Apr-2018 - 00:00,3.58,6.39,1.26,0.56,0.65,97.14,70.65,84.08,132.85,16.14,102.29,29.97,337.8,30.65,208.33,1.27,5.28,17-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Apr-2018 - 00:00,6.54,9.65,1.87,1.03,0.83,92.75,67.24,79.99,140.36,19.62,149.73,33.27,346.75,31.35,193.94,1.0,5.17,18-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Apr-2018 - 00:00,8.08,12.61,2.37,0.98,1.08,66.13,69.88,67.11,131.3,23.22,145.3,35.64,379.82,31.57,199.4,1.06,3.93,19-Apr-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
