from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,AT,THC,Temp,NH3,SO2,to date,station
29-Nov-2018 - 00:00,,253.6,756.61,65.06,876.73,74.63,81.36,52.08,1.49,-0.09,169.43,64.04,1.3,,838.41,22.35,84.88,19.64,30-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Nov-2018 - 00:00,,288.54,756.27,73.9,584.95,68.77,54.43,22.31,1.09,0.22,131.85,52.68,1.41,,861.09,22.5,59.48,16.23,01-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Dec-2018 - 00:00,,262.49,755.09,75.25,687.54,73.24,79.45,50.61,1.22,0.45,101.87,48.63,1.03,,792.44,21.79,61.09,15.56,02-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Dec-2018 - 00:00,,186.74,754.76,68.85,,112.92,167.28,134.02,2.5,0.54,153.0,56.25,0.7,,857.59,20.59,99.99,21.66,03-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Dec-2018 - 00:00,,172.23,755.09,74.31,,83.12,109.07,81.07,2.15,0.41,129.8,55.62,0.87,,796.95,20.64,76.67,15.73,04-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Dec-2018 - 00:00,,191.92,755.89,63.11,,101.59,129.73,94.61,2.38,0.29,213.97,63.24,0.65,,825.37,20.1,96.54,16.35,05-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Dec-2018 - 00:00,,212.0,755.09,65.77,988.54,73.63,100.74,76.96,1.96,0.26,139.25,63.13,1.01,,849.44,19.88,80.42,26.57,06-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Dec-2018 - 00:00,,178.32,754.97,60.27,894.92,73.95,95.55,70.26,1.99,0.34,184.08,65.05,1.0,,897.89,19.66,76.79,20.03,07-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Dec-2018 - 00:00,,237.36,755.54,67.73,534.34,60.69,49.06,20.98,1.07,0.36,137.6,58.53,1.29,,824.02,20.1,54.83,16.75,08-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Dec-2018 - 00:00,,149.39,755.91,64.84,603.22,69.46,66.25,36.63,1.33,0.22,871.13,62.11,0.56,,,19.19,60.81,14.29,09-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Dec-2018 - 00:00,,148.5,755.24,60.02,727.39,79.01,78.87,45.92,1.56,0.03,199.53,59.86,0.64,,862.8,18.55,62.84,13.49,10-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Dec-2018 - 00:00,,150.93,754.82,59.55,630.2,75.39,81.36,51.58,1.61,-0.08,221.36,66.25,1.29,,,18.6,67.82,20.81,11-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Dec-2018 - 00:00,,139.79,755.24,45.62,979.8,98.71,147.36,118.57,2.47,0.01,236.29,73.71,1.03,,,18.6,82.2,38.71,12-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Dec-2018 - 00:00,,131.43,756.19,52.63,450.62,73.88,73.03,42.17,1.38,-0.0,117.72,65.96,1.96,,841.3,19.76,66.68,21.93,13-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Dec-2018 - 00:00,,166.56,757.24,66.8,288.63,30.59,23.48,9.01,1.0,0.1,112.25,67.72,2.38,,787.93,19.08,37.3,15.81,14-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Dec-2018 - 00:00,,315.52,757.99,77.7,278.87,41.19,29.11,9.0,0.97,0.37,99.72,63.22,1.75,,,19.94,41.22,11.44,15-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Dec-2018 - 00:00,,277.4,757.91,67.96,297.35,50.71,33.3,7.91,0.94,0.1,118.78,60.31,1.93,,,21.96,43.15,14.08,16-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Dec-2018 - 00:00,,214.32,758.01,77.36,180.17,65.36,47.65,16.1,0.89,0.12,175.57,57.14,1.71,,181.91,21.62,56.56,15.17,17-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Dec-2018 - 00:00,,161.64,757.37,58.69,271.12,62.96,50.19,20.87,1.19,-0.06,169.49,51.87,1.48,,361.49,20.85,51.63,8.58,18-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Dec-2018 - 00:00,,304.91,756.45,78.36,434.22,70.03,48.19,13.68,1.2,-0.09,184.34,46.12,1.58,,472.95,21.11,56.86,9.12,19-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Dec-2018 - 00:00,,234.33,755.91,74.77,629.29,72.37,49.78,14.11,1.46,-0.24,201.96,52.68,1.69,,843.85,20.48,58.35,15.86,20-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Dec-2018 - 00:00,,183.02,756.15,75.29,857.23,77.64,72.67,39.21,1.91,-0.2,245.26,58.36,1.14,,793.6,18.86,56.38,21.0,21-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Dec-2018 - 00:00,,223.46,755.69,68.05,642.67,75.54,58.81,23.84,1.42,-0.19,189.96,58.59,1.55,,930.88,18.48,59.47,16.41,22-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Dec-2018 - 00:00,,167.21,755.83,58.15,974.43,94.31,107.87,72.13,2.24,-0.32,318.89,64.12,1.27,,,17.91,68.55,28.53,23-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Dec-2018 - 00:00,,166.08,756.25,62.43,,86.88,125.81,102.67,3.33,-0.43,377.96,70.53,1.05,,0.0,17.91,80.53,49.11,24-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Dec-2018 - 00:00,,155.47,756.15,62.45,,79.46,123.51,101.56,2.56,-0.24,377.98,65.57,1.51,,964.7,18.53,73.83,37.08,25-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Dec-2018 - 00:00,,307.95,755.8,68.55,540.78,64.44,42.88,10.75,1.52,-0.21,219.56,60.36,2.16,,,19.19,57.08,15.36,26-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Dec-2018 - 00:00,,245.1,755.13,69.71,317.99,73.98,87.35,60.0,2.18,-0.27,214.59,55.44,1.28,,83.76,17.53,57.06,19.41,27-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Dec-2018 - 00:00,,207.26,755.5,65.2,257.7,86.81,130.35,105.22,2.91,-0.21,299.8,48.9,1.32,,306.1,17.34,74.45,36.76,28-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Dec-2018 - 00:00,,301.71,755.72,65.09,416.8,60.41,45.91,17.22,1.63,-0.2,225.49,53.81,2.35,,948.63,17.05,52.49,4.07,29-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Dec-2018 - 00:00,,273.64,756.64,74.32,350.27,70.56,74.82,46.61,1.91,-0.13,227.76,54.38,1.84,,949.35,16.53,54.1,6.53,30-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Dec-2018 - 00:00,,206.58,757.54,67.78,350.29,83.68,134.27,112.19,2.93,-0.06,364.82,58.9,1.18,,949.99,16.65,72.11,13.78,31-Dec-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-Dec-2018 - 00:00,,122.29,757.58,6.05,350.45,97.05,212.07,200.56,6.06,-0.16,635.6,77.12,0.65,,949.9,13.5,109.81,20.97,01-Jan-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
