from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene,to date,station
12-Apr-2018 - 00:00,,,,,,,,,,82.85,37.61,52.16,66.3,94.39,2.75,0.0,35.86,,0.0,0.0,,0.0,13-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
13-Apr-2018 - 00:00,,,,,,,,,,118.01,51.23,76.8,55.33,131.25,2.88,0.0,31.22,,0.0,0.0,,0.0,14-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
14-Apr-2018 - 00:00,,,,,,,,,,156.93,63.17,95.24,61.34,156.58,1.99,0.0,31.11,,0.0,0.0,,0.0,15-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
15-Apr-2018 - 00:00,,,,,,,,,,215.66,73.1,98.69,65.22,163.82,2.12,,26.31,,0.0,0.0,,0.0,16-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
16-Apr-2018 - 00:00,,,,,,,,,,218.03,64.28,42.32,60.69,102.16,1.8,,45.72,,0.0,0.0,,0.0,17-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
17-Apr-2018 - 00:00,,,,,,,,,,196.66,58.41,48.23,53.94,101.99,1.83,0.0,28.15,,0.0,0.0,,0.0,18-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
18-Apr-2018 - 00:00,,,,,,,,,,180.72,41.1,39.28,56.13,92.04,2.59,0.0,31.37,,0.0,0.0,,0.0,19-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
19-Apr-2018 - 00:00,,,,,,,,,,218.34,56.2,54.67,58.79,113.03,0.0,0.0,29.83,,0.0,0.0,,0.0,20-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
20-Apr-2018 - 00:00,,,,,,,,,,323.18,69.49,48.59,54.84,101.79,0.0,0.0,27.58,,0.0,0.0,,0.0,21-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
21-Apr-2018 - 00:00,,,,,,,,,,442.41,83.61,38.89,50.76,71.58,0.14,6.39,36.76,,0.0,0.0,,0.0,22-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
22-Apr-2018 - 00:00,,,,,,,,,,145.93,35.58,18.36,38.37,56.18,0.26,0.0,38.31,,0.0,0.0,,0.0,23-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
23-Apr-2018 - 00:00,,,,,,,,,,152.38,30.61,18.84,34.26,28.39,0.6,1.07,47.23,5.22,0.0,0.0,,0.0,24-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
24-Apr-2018 - 00:00,,,,,,,,,,184.27,62.52,32.1,38.94,70.74,1.45,0.0,35.41,3.79,0.0,0.0,,0.0,25-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
25-Apr-2018 - 00:00,,,,,,,,,,218.73,75.53,92.19,83.21,150.07,2.71,0.0,30.04,3.1,0.0,0.0,,0.0,26-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
26-Apr-2018 - 00:00,,,,,,,,,,323.87,112.46,77.39,84.68,162.03,3.41,,48.53,6.83,0.0,0.0,,0.0,27-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
27-Apr-2018 - 00:00,,,,,,,,,,275.22,79.85,42.88,51.47,94.35,2.64,,43.23,5.54,0.0,0.0,,0.0,28-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
28-Apr-2018 - 00:00,,,,,,,,,,286.17,66.46,40.18,42.56,82.75,1.09,,54.06,4.78,0.0,0.0,,0.0,29-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
29-Apr-2018 - 00:00,,,,,,,,,,210.55,70.57,29.55,44.48,74.03,1.11,,51.52,5.83,0.0,0.0,,0.0,30-Apr-2018 - 00:00,"Lodhi Road, Delhi - IMD"
