from date,PM2.5,SR,RH,Temp,WS,WD,RF,PM10,CO,Ozone,Benzene,Toluene,O Xylene,NO,NO2,NH3,NOx,SO2,to date,station
29-Mar-2018 - 00:00,109.0,247.26,25.58,31.43,0.87,166.56,0.0,190.52,1.31,81.08,5.66,14.06,3.19,5.54,6.09,5.73,7.37,5.81,30-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Mar-2018 - 00:00,121.35,239.96,35.39,29.04,0.83,148.96,0.0,217.02,1.5,59.17,3.83,27.34,4.82,4.98,6.58,6.05,7.21,4.66,31-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
31-Mar-2018 - 00:00,95.55,250.04,39.58,32.23,0.88,176.26,0.0,169.49,1.28,79.19,2.52,12.47,1.98,1.62,8.13,7.78,6.64,2.45,01-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Apr-2018 - 00:00,58.21,258.61,42.55,32.62,1.63,171.87,0.0,106.89,0.89,78.23,1.11,7.12,1.06,2.33,9.97,7.48,10.02,1.39,02-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Apr-2018 - 00:00,52.83,272.77,41.28,30.96,1.46,141.41,0.0,101.79,0.91,89.82,1.67,7.83,1.92,2.17,9.26,7.58,9.45,1.67,03-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Apr-2018 - 00:00,58.26,237.23,46.83,31.92,0.96,139.54,0.0,111.15,0.85,80.75,1.35,7.94,1.87,2.43,9.04,7.16,9.58,0.98,04-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Apr-2018 - 00:00,78.01,223.02,44.15,31.28,1.14,149.7,0.0,148.38,1.1,78.74,2.13,7.85,1.66,2.69,8.93,7.57,9.76,1.42,05-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Apr-2018 - 00:00,54.45,248.76,42.22,32.27,1.77,160.61,0.0,102.27,0.88,99.26,1.21,4.09,0.67,2.92,17.76,20.03,16.15,0.82,06-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Apr-2018 - 00:00,60.03,194.65,43.62,32.74,1.5,150.26,0.0,105.82,0.87,92.51,1.32,5.01,0.74,137.41,10.33,42.78,209.35,1.82,07-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Apr-2018 - 00:00,75.7,163.08,36.27,30.66,1.19,151.37,0.0,138.88,1.12,66.81,0.0,0.0,0.0,159.57,6.48,80.2,347.21,6.73,08-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,09-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,10-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,11-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,12-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,13-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,14-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,15-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,17-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,18-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,19-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Apr-2018 - 00:00,,10.48,24.11,33.8,0.68,118.84,0.0,188.49,1.34,49.07,4.2,12.07,2.67,3.6,8.05,7.58,10.01,3.79,20-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Apr-2018 - 00:00,,315.55,24.67,34.08,1.32,238.61,0.0,124.13,0.94,68.47,0.93,5.88,0.59,4.52,8.76,7.11,11.11,1.76,21-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Apr-2018 - 00:00,,307.69,30.2,33.12,0.76,185.95,0.0,128.77,0.96,54.23,2.88,12.86,2.31,3.99,9.14,7.52,10.91,2.35,22-Apr-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
