from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
17-Jan-2018 - 00:00,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Feb-2018 - 00:00,,,,,,,,,,,,,,02-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Feb-2018 - 00:00,,,,,,,,,,,,,,03-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Feb-2018 - 00:00,,,,,,,,,,,,,,06-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Feb-2018 - 00:00,,,,,,,,,,,,,,07-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Feb-2018 - 00:00,,,,,,,,,,,,,,08-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Feb-2018 - 00:00,,,,,,,,,,,,,,09-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Feb-2018 - 00:00,,,,,,,,,,,,,,10-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Feb-2018 - 00:00,,,,,,,,,,,,,,11-Feb-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
