from date,BP,PM2.5,PM10,RF,RH,SR,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Ozone,Toluene,CO,NH3,NO,NO2,NOx,SO2,to date,station
01-Sep-2018 - 00:00,741.44,356.78,184.85,0.11,80.09,32.65,214.77,0.79,0.5,0.51,0.5,0.5,29.07,0.5,0.64,19.22,27.47,34.68,62.1,15.07,02-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
02-Sep-2018 - 00:00,741.39,46.51,187.08,0.4,86.69,16.49,270.11,1.1,0.49,0.5,0.48,0.5,29.52,0.5,0.72,18.91,26.54,35.68,62.39,12.93,03-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
03-Sep-2018 - 00:00,741.37,33.72,133.82,0.1,86.85,49.88,177.19,0.62,0.5,0.49,0.5,0.5,33.02,0.5,0.64,19.19,28.32,34.47,62.8,14.17,04-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
04-Sep-2018 - 00:00,741.36,26.2,131.5,1.54,90.66,62.07,238.94,0.97,0.5,0.48,0.5,0.5,32.56,0.48,0.71,18.54,27.78,40.16,57.55,14.07,05-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
05-Sep-2018 - 00:00,743.19,19.63,251.87,0.05,79.01,85.64,235.05,0.95,0.63,0.55,0.6,0.62,18.8,0.6,0.48,3.33,20.04,6.17,13.93,7.8,06-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
06-Sep-2018 - 00:00,748.76,14.42,254.2,0.03,70.28,69.43,260.36,1.21,0.08,0.07,0.08,0.07,13.84,0.24,0.16,4.41,19.44,10.6,7.07,5.12,07-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
07-Sep-2018 - 00:00,749.49,35.14,147.03,0.08,79.38,112.55,161.71,0.56,0.22,0.3,0.31,0.31,40.51,0.31,0.42,3.02,10.54,12.67,13.54,5.0,08-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
08-Sep-2018 - 00:00,749.01,53.65,144.17,0.07,85.32,44.01,94.09,0.59,0.35,0.5,0.5,0.5,24.59,0.49,0.73,3.37,13.0,14.36,27.36,5.67,09-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
09-Sep-2018 - 00:00,749.18,31.14,73.62,0.0,83.1,56.58,119.08,0.6,0.34,0.5,0.51,0.5,14.67,0.51,0.52,3.39,12.37,14.72,27.11,4.79,10-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
10-Sep-2018 - 00:00,749.22,38.77,85.78,0.0,84.45,45.63,135.91,0.55,0.78,0.27,0.58,0.73,20.39,0.43,0.47,2.76,9.54,13.91,23.45,4.26,11-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
11-Sep-2018 - 00:00,749.24,38.37,105.97,0.0,78.73,75.11,198.74,0.86,0.55,0.04,0.21,0.41,10.24,0.3,0.41,2.13,9.54,13.89,23.18,4.4,12-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
12-Sep-2018 - 00:00,749.29,45.9,185.36,0.0,71.88,70.1,226.95,1.08,0.8,0.03,0.21,0.4,13.33,0.29,0.52,8.03,10.15,17.63,27.77,5.45,13-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
13-Sep-2018 - 00:00,749.3,36.0,145.05,0.0,66.8,102.78,197.58,0.85,0.35,0.02,0.22,0.56,38.59,0.25,0.39,12.42,7.5,35.29,42.77,6.54,14-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
