from date,NO2,NH3,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM10,PM2.5,AT,RF,RH,SR,Temp,WD,WS,to date,station
26-Mar-2018 - 00:00,35.55,46.24,24.79,1.7,74.87,24.47,0.37,0.27,7.72,197.6,79.52,28.53,0.0,23.13,144.51,29.51,138.53,1.53,27-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Mar-2018 - 00:00,24.32,38.25,16.39,0.9,99.81,9.95,0.24,0.29,7.04,151.52,65.15,29.05,0.0,19.2,138.54,29.42,219.61,2.1,28-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Mar-2018 - 00:00,23.88,34.56,14.53,1.02,88.9,12.36,0.19,0.2,6.19,161.72,63.79,29.28,0.0,17.17,143.61,29.15,193.1,2.07,29-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-Mar-2018 - 00:00,28.53,37.22,18.17,1.2,80.64,11.1,0.23,0.32,6.6,173.71,71.8,29.82,0.0,14.88,144.35,29.65,176.04,1.77,30-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-Mar-2018 - 00:00,24.23,35.78,14.92,1.04,79.8,9.47,0.21,272.04,6.43,182.14,79.78,31.03,0.0,15.0,138.54,29.95,239.12,2.65,31-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
31-Mar-2018 - 00:00,15.69,30.23,9.54,0.59,94.9,13.94,0.16,191.99,6.48,170.21,61.16,33.06,0.0,17.2,139.51,30.35,268.9,3.26,01-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Apr-2018 - 00:00,21.64,31.06,12.9,0.94,95.64,14.04,0.43,147.69,8.21,174.04,59.37,33.57,0.0,18.46,143.2,30.4,191.68,2.21,02-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Apr-2018 - 00:00,22.36,35.65,13.89,1.02,104.13,15.47,0.2,0.36,6.5,175.73,68.43,33.94,0.0,17.07,133.14,28.84,166.55,1.89,03-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Apr-2018 - 00:00,17.81,36.84,10.83,0.93,92.57,10.64,0.17,0.33,5.9,154.92,67.15,33.94,0.0,16.69,136.64,28.14,201.76,2.1,04-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Apr-2018 - 00:00,15.41,31.52,8.44,0.77,100.71,12.1,0.12,0.26,5.35,127.7,54.51,33.95,0.0,18.01,137.31,28.77,225.08,2.6,05-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Apr-2018 - 00:00,15.86,31.15,10.53,0.69,94.38,12.41,0.12,0.27,5.46,173.5,69.25,33.43,0.0,21.07,135.97,30.72,256.26,2.96,06-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Apr-2018 - 00:00,14.9,27.79,8.4,0.51,89.74,17.51,0.13,0.3,5.37,196.49,70.91,33.14,0.0,22.28,123.95,30.66,264.58,2.86,07-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
