from date,PM2.5,BP,Temp,SR,RH,RF,WS,WD,PM10,VWS,SO2,NO,NOx,NO2,CO,Benzene,Toluene,MP-Xylene,Xylene,Eth-Benzene,Ozone,to date,station
22-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.8,0.0,1.91,0.0,0.0,0.31,0.0,,0.0,23-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
23-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.7,0.0,1.75,0.0,0.0,0.54,0.0,,0.0,24-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
24-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.33,0.0,1.6,0.0,0.0,0.6,0.0,,0.0,25-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
25-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.78,0.0,1.77,0.0,0.0,1.53,0.0,,0.0,26-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
26-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.84,0.0,67.21,0.0,1.63,0.0,0.0,1.95,0.0,,0.0,27-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
27-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,37.08,0.0,1.05,0.0,0.0,0.53,0.0,,0.0,28-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
28-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.34,0.0,1.35,0.0,0.0,0.43,0.0,,0.0,29-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
29-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.57,0.0,1.15,0.0,0.0,0.39,0.0,,0.0,30-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
30-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.08,0.0,1.11,0.0,0.0,0.38,0.0,,0.0,31-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
31-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82,0.0,1.1,0.0,0.0,0.26,0.0,,0.0,01-Apr-2018 - 00:00,"Bandra, Mumbai - MPCB"
01-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.54,0.0,1.37,0.0,0.0,1.09,0.0,,,02-Apr-2018 - 00:00,"Bandra, Mumbai - MPCB"
02-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.65,0.0,1.27,0.0,0.0,0.55,0.0,,,03-Apr-2018 - 00:00,"Bandra, Mumbai - MPCB"
03-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.98,0.0,1.31,0.0,0.0,0.51,0.0,,0.0,04-Apr-2018 - 00:00,"Bandra, Mumbai - MPCB"
04-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.81,0.0,1.16,0.0,0.0,0.36,0.0,,0.0,05-Apr-2018 - 00:00,"Bandra, Mumbai - MPCB"
05-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,1.24,0.0,0.0,0.31,0.0,,0.0,06-Apr-2018 - 00:00,"Bandra, Mumbai - MPCB"
06-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.49,0.0,1.27,0.0,0.0,0.44,0.0,,0.0,07-Apr-2018 - 00:00,"Bandra, Mumbai - MPCB"
07-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.94,0.0,1.3,0.0,0.0,0.44,0.0,,0.0,08-Apr-2018 - 00:00,"Bandra, Mumbai - MPCB"
08-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.57,0.0,1.46,0.0,0.0,0.67,0.0,,0.0,09-Apr-2018 - 00:00,"Bandra, Mumbai - MPCB"
09-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.49,0.0,1.52,0.0,0.0,0.78,0.0,,0.0,10-Apr-2018 - 00:00,"Bandra, Mumbai - MPCB"
10-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.18,0.0,1.36,1.45,1.32,2.02,0.66,,0.0,11-Apr-2018 - 00:00,"Bandra, Mumbai - MPCB"
11-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.13,0.0,1.37,0.0,0.0,0.41,0.0,,0.0,12-Apr-2018 - 00:00,"Bandra, Mumbai - MPCB"
12-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,42.87,0.0,1.31,0.0,0.0,0.32,0.0,,0.16,13-Apr-2018 - 00:00,"Bandra, Mumbai - MPCB"
13-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.85,0.0,1.34,0.0,0.0,0.32,0.0,,0.0,14-Apr-2018 - 00:00,"Bandra, Mumbai - MPCB"
