from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
26-Mar-2018 - 00:00,29.41,1.02,31.35,7.57,54.17,33.46,18.31,3.23,62.67,122.8,0.45,6.41,0.42,29.53,50.65,1.52,161.9,200.97,724.21,0.0,0.0,27-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
27-Mar-2018 - 00:00,30.52,0.94,36.25,6.92,61.01,36.71,22.43,4.93,52.27,110.78,0.94,9.28,0.07,30.45,40.55,1.65,163.92,212.78,720.8,0.0,0.0,28-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
28-Mar-2018 - 00:00,30.28,0.98,40.25,7.34,61.96,37.48,18.62,3.24,53.71,107.99,0.26,4.86,1.73,31.14,39.24,1.73,205.16,213.97,718.31,0.0,0.0,29-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
29-Mar-2018 - 00:00,30.62,1.29,28.44,10.86,75.63,46.85,29.31,8.58,67.55,144.23,1.97,21.07,10.5,30.16,43.67,1.09,184.74,163.96,718.46,0.0,0.0,30-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
30-Mar-2018 - 00:00,29.65,1.16,30.95,7.72,62.26,37.86,22.81,4.67,53.89,110.0,0.84,13.91,3.43,31.67,41.95,1.45,194.16,215.99,717.09,0.0,0.0,31-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
31-Mar-2018 - 00:00,29.58,0.96,34.73,7.19,57.73,35.13,16.76,2.51,46.67,102.51,0.02,3.4,0.25,30.42,43.59,1.62,185.29,198.65,716.07,0.0,0.0,01-Apr-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
01-Apr-2018 - 00:00,29.62,0.84,49.71,6.85,35.43,23.05,14.08,3.19,42.76,81.35,0.11,0.92,0.09,28.95,54.15,3.32,214.72,184.88,716.27,0.0,0.0,02-Apr-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
02-Apr-2018 - 00:00,29.53,0.8,41.51,7.05,41.89,26.62,12.64,2.72,37.02,68.28,0.06,0.74,0.08,27.58,55.73,2.53,204.22,202.36,718.59,0.0,0.0,03-Apr-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
03-Apr-2018 - 00:00,29.46,0.91,37.5,7.36,47.47,29.76,12.22,3.05,45.28,85.03,0.18,1.63,0.12,29.72,52.25,2.01,187.89,213.54,717.97,0.0,0.0,04-Apr-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
04-Apr-2018 - 00:00,29.48,0.82,39.98,6.75,44.03,27.58,10.86,3.39,40.67,79.15,0.0,0.5,0.0,29.9,48.35,1.93,208.8,188.0,715.24,0.0,0.0,05-Apr-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
05-Apr-2018 - 00:00,29.43,0.81,42.44,6.89,39.69,25.35,11.74,2.75,39.12,72.49,0.11,2.15,0.09,28.83,53.64,2.86,197.57,181.03,714.28,0.0,0.0,06-Apr-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
06-Apr-2018 - 00:00,30.64,0.83,38.14,8.55,53.93,33.93,14.81,1.87,39.04,76.88,0.09,2.48,0.43,28.82,50.84,2.75,230.1,191.66,716.11,0.27,0.0,07-Apr-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
