from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,BP,to date,station
02-Dec-2018 - 00:00,33.84,48.76,28.3,14.65,5.87,0.6,68.35,132.27,4.05,1.66,2.59,12.77,35.35,20.92,0.01,206.95,71.53,0.0,206.18,0.26,,03-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
03-Dec-2018 - 00:00,58.32,107.21,21.98,52.38,5.13,1.64,124.61,336.72,12.47,6.18,10.1,22.36,39.43,21.86,0.01,134.02,73.67,0.0,203.81,0.22,,04-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
04-Dec-2018 - 00:00,45.98,70.86,39.32,25.77,4.21,0.63,88.82,199.86,7.55,3.85,6.24,15.72,22.73,20.8,0.01,157.4,74.82,0.02,202.38,0.3,,05-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
05-Dec-2018 - 00:00,44.03,75.25,31.96,31.34,20.45,0.75,88.05,186.16,7.27,3.3,5.9,16.8,17.74,19.37,0.01,117.58,80.48,0.0,196.37,0.25,,06-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
06-Dec-2018 - 00:00,42.14,83.2,27.4,39.78,22.14,0.92,90.71,199.3,8.31,4.47,6.78,16.64,24.66,19.44,0.01,163.91,76.84,0.0,236.62,0.24,,07-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
07-Dec-2018 - 00:00,40.62,65.26,35.73,27.58,30.41,0.71,80.02,197.16,5.67,2.47,4.29,13.31,21.7,19.07,0.01,136.66,76.17,0.0,203.3,0.34,,08-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
08-Dec-2018 - 00:00,42.36,73.34,27.37,31.2,33.71,0.88,79.9,182.53,6.58,2.86,4.77,14.02,27.51,19.5,0.01,158.86,72.97,0.0,228.95,0.3,,09-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
09-Dec-2018 - 00:00,39.35,60.28,28.3,22.27,28.11,0.88,73.65,160.94,5.71,2.35,4.0,13.07,28.81,19.3,0.01,170.72,73.32,0.0,216.01,0.3,,10-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
10-Dec-2018 - 00:00,46.25,84.18,41.55,38.53,24.57,0.86,70.15,187.63,6.03,2.82,5.06,16.48,25.59,19.33,0.01,169.46,71.63,0.0,188.8,0.38,,11-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
11-Dec-2018 - 00:00,45.95,63.65,37.23,18.6,15.0,0.74,55.07,161.36,3.4,1.57,3.07,12.09,30.41,20.34,0.01,182.57,61.27,0.0,232.66,0.42,,12-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
12-Dec-2018 - 00:00,47.28,78.88,28.43,31.6,3.98,0.89,60.57,181.19,6.62,3.44,6.11,13.79,25.28,20.0,0.01,171.26,65.22,0.0,195.2,0.36,,13-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
13-Dec-2018 - 00:00,38.56,56.48,31.18,18.45,4.5,0.75,53.32,159.92,4.69,2.3,4.17,14.89,27.94,20.23,0.01,167.49,65.25,0.0,240.88,0.3,,14-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
14-Dec-2018 - 00:00,40.12,51.08,28.32,24.29,3.4,0.74,46.1,153.72,4.66,1.7,3.07,13.99,25.68,19.73,0.01,143.17,68.54,0.0,240.18,0.24,,15-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
15-Dec-2018 - 00:00,50.34,79.18,40.52,35.87,11.86,0.93,87.91,221.73,6.12,3.14,5.0,17.22,26.12,18.81,0.01,98.14,73.4,0.0,237.93,0.31,,16-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
16-Dec-2018 - 00:00,46.02,79.01,32.27,29.77,4.74,0.95,81.04,199.37,6.21,3.3,5.82,14.68,34.46,20.16,0.01,171.44,65.91,0.0,208.17,0.32,,17-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
17-Dec-2018 - 00:00,60.68,85.14,41.99,36.05,6.57,0.77,89.72,278.84,7.32,3.93,6.7,16.43,16.53,19.08,0.01,70.17,69.75,0.0,160.59,0.38,,18-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
18-Dec-2018 - 00:00,44.12,69.43,47.33,30.97,3.08,0.79,58.3,102.78,7.86,4.47,7.11,18.34,13.81,16.81,0.01,36.23,89.46,0.03,124.92,0.55,,19-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
19-Dec-2018 - 00:00,32.76,67.87,38.63,36.63,3.55,0.77,86.11,122.09,8.36,2.67,5.43,14.96,17.64,15.83,0.01,159.04,90.9,0.0,196.7,0.32,,20-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
20-Dec-2018 - 00:00,40.43,64.48,32.44,28.05,3.31,0.77,91.13,189.06,8.89,5.1,6.54,15.72,16.07,18.58,0.01,106.98,81.35,0.0,187.1,0.22,,21-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
