from date,NOx,Ozone,PM2.5,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,O Xylene,RH,SR,VWS,WS,NO,WD,NO2,to date,BP,CO,station
10-Dec-2018 - 00:00,197.7,17.37,255.51,13.28,3.1,5.2,8.09,0.23,0.02,79.38,22.89,-0.04,0.25,192.48,192.67,82.98,11-Dec-2018 - 00:00,,4.29,"Lalbagh, Lucknow - CPCB"
11-Dec-2018 - 00:00,81.48,14.96,206.82,7.67,1.55,3.24,4.29,0.0,0.06,77.35,19.07,-0.02,0.28,46.96,202.69,83.68,12-Dec-2018 - 00:00,,2.18,"Lalbagh, Lucknow - CPCB"
12-Dec-2018 - 00:00,61.59,11.37,177.07,5.69,0.58,1.79,2.25,0.0,0.14,78.17,16.93,0.01,0.75,28.64,271.59,73.82,13-Dec-2018 - 00:00,,1.8,"Lalbagh, Lucknow - CPCB"
13-Dec-2018 - 00:00,41.68,11.5,138.68,7.85,0.12,0.31,0.59,0.5,0.13,74.18,24.03,-0.01,0.81,16.71,296.78,55.02,14-Dec-2018 - 00:00,,1.26,"Lalbagh, Lucknow - CPCB"
14-Dec-2018 - 00:00,35.7,14.25,103.99,7.04,0.0,0.02,0.0,0.0,0.01,72.79,31.54,-0.0,0.9,15.76,312.63,45.41,15-Dec-2018 - 00:00,,1.21,"Lalbagh, Lucknow - CPCB"
15-Dec-2018 - 00:00,37.49,18.94,110.02,7.05,0.0,0.0,0.0,0.0,0.0,65.82,26.79,-0.01,0.71,13.03,296.69,52.91,16-Dec-2018 - 00:00,,1.24,"Lalbagh, Lucknow - CPCB"
16-Dec-2018 - 00:00,86.25,21.64,110.24,10.06,0.0,0.0,0.0,0.0,0.0,66.94,26.48,-0.01,0.43,68.37,251.8,60.83,17-Dec-2018 - 00:00,,2.21,"Lalbagh, Lucknow - CPCB"
17-Dec-2018 - 00:00,88.6,25.0,178.78,9.0,0.0,0.0,0.0,0.0,0.0,67.18,12.83,-0.01,0.35,63.57,224.57,75.47,18-Dec-2018 - 00:00,,2.63,"Lalbagh, Lucknow - CPCB"
18-Dec-2018 - 00:00,72.25,27.59,172.73,9.54,0.0,0.0,0.0,0.0,0.0,65.83,25.27,-0.01,0.4,43.43,279.7,71.4,19-Dec-2018 - 00:00,,1.88,"Lalbagh, Lucknow - CPCB"
19-Dec-2018 - 00:00,51.1,44.96,173.06,10.26,0.0,0.0,0.0,0.0,0.0,67.02,24.41,-0.02,0.41,14.48,255.82,75.68,20-Dec-2018 - 00:00,,1.8,"Lalbagh, Lucknow - CPCB"
20-Dec-2018 - 00:00,48.4,43.93,206.95,8.44,0.06,0.11,0.19,0.0,0.0,68.76,19.88,-0.02,0.43,12.47,248.59,73.81,21-Dec-2018 - 00:00,,1.59,"Lalbagh, Lucknow - CPCB"
21-Dec-2018 - 00:00,50.05,54.85,235.62,11.88,0.0,0.0,0.0,0.0,0.0,61.65,14.59,-0.02,0.45,13.87,266.03,74.66,22-Dec-2018 - 00:00,,1.74,"Lalbagh, Lucknow - CPCB"
22-Dec-2018 - 00:00,106.93,51.23,274.81,13.02,0.0,0.0,0.0,0.0,0.0,70.97,18.51,-0.01,0.4,65.81,258.82,89.98,23-Dec-2018 - 00:00,,3.21,"Lalbagh, Lucknow - CPCB"
23-Dec-2018 - 00:00,67.02,46.99,250.27,9.97,0.0,0.0,0.0,0.0,0.0,69.59,20.43,-0.01,0.36,35.19,218.82,74.34,24-Dec-2018 - 00:00,,2.13,"Lalbagh, Lucknow - CPCB"
24-Dec-2018 - 00:00,48.9,44.79,184.83,7.69,0.0,0.0,0.0,0.0,0.0,58.67,21.52,-0.01,0.48,15.39,245.0,70.29,25-Dec-2018 - 00:00,,1.73,"Lalbagh, Lucknow - CPCB"
25-Dec-2018 - 00:00,43.17,44.89,185.53,11.34,0.0,0.0,0.0,0.0,0.0,57.58,20.38,-0.01,0.44,12.6,243.58,64.61,26-Dec-2018 - 00:00,,1.46,"Lalbagh, Lucknow - CPCB"
26-Dec-2018 - 00:00,59.35,47.43,202.32,12.62,0.0,0.0,0.0,0.0,0.0,60.03,25.27,-0.01,0.57,31.5,268.82,65.92,27-Dec-2018 - 00:00,,1.73,"Lalbagh, Lucknow - CPCB"
27-Dec-2018 - 00:00,42.1,55.05,178.28,19.24,0.0,0.0,0.0,0.0,0.0,54.57,28.77,-0.01,0.39,14.01,247.73,59.79,28-Dec-2018 - 00:00,,1.36,"Lalbagh, Lucknow - CPCB"
28-Dec-2018 - 00:00,46.09,59.79,188.42,22.15,0.0,0.0,0.0,0.0,0.0,49.47,26.37,-0.04,0.53,17.02,258.16,62.08,29-Dec-2018 - 00:00,,1.06,"Lalbagh, Lucknow - CPCB"
29-Dec-2018 - 00:00,55.06,60.91,258.61,38.68,0.0,0.0,0.0,0.0,0.0,68.02,21.98,0.0,0.37,30.17,247.13,59.71,30-Dec-2018 - 00:00,,0.65,"Lalbagh, Lucknow - CPCB"
30-Dec-2018 - 00:00,71.49,63.54,331.51,37.67,0.0,0.0,0.0,0.0,0.0,73.13,23.15,0.01,0.32,45.06,258.97,67.78,31-Dec-2018 - 00:00,,0.37,"Lalbagh, Lucknow - CPCB"
31-Dec-2018 - 00:00,164.65,13.93,552.0,35.71,0.0,0.0,0.0,0.0,0.0,89.01,2.0,0.02,0.01,138.5,50.48,101.24,01-Jan-2019 - 00:00,,0.21,"Lalbagh, Lucknow - CPCB"
