from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
09-Apr-2018 - 00:00,97.86,39.88,29.28,20.28,49.54,1.91,,21.95,10-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
10-Apr-2018 - 00:00,183.79,58.26,25.22,22.38,47.6,1.63,,29.32,11-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-Apr-2018 - 00:00,90.14,35.23,27.01,21.32,48.32,1.77,,25.28,12-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-Apr-2018 - 00:00,77.62,33.75,28.31,20.8,49.11,1.86,,24.05,13-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-Apr-2018 - 00:00,132.07,59.66,24.1,23.58,47.63,1.54,,28.87,14-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-Apr-2018 - 00:00,166.02,72.32,20.26,25.37,45.64,1.26,,39.89,15-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-Apr-2018 - 00:00,174.48,70.57,19.74,25.98,45.72,1.22,,43.67,16-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-Apr-2018 - 00:00,207.19,77.17,28.11,23.66,51.75,1.06,,35.56,17-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-Apr-2018 - 00:00,184.44,53.46,51.31,17.22,68.88,0.7,,16.75,18-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-Apr-2018 - 00:00,166.21,43.08,40.35,19.91,60.75,0.71,,19.83,19-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
19-Apr-2018 - 00:00,183.38,47.71,19.67,36.58,56.24,0.71,,31.95,20-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-Apr-2018 - 00:00,301.51,51.51,16.84,40.02,56.78,0.77,,35.21,21-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-Apr-2018 - 00:00,336.77,67.05,16.01,41.53,57.61,0.78,,37.99,22-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
22-Apr-2018 - 00:00,127.37,30.09,14.33,45.18,59.44,0.77,,43.8,23-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
23-Apr-2018 - 00:00,144.53,43.48,13.87,46.72,60.59,0.79,,46.81,24-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
