from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene,to date,station
25-Mar-2018 - 00:00,,,,,,,,,,206.37,118.36,16.28,30.66,46.94,1.25,,26.51,0.0,0.0,0.0,,0.0,26-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
26-Mar-2018 - 00:00,,,,,,,,,,204.83,115.8,18.68,28.87,47.55,1.65,,22.19,0.0,0.0,0.0,,0.0,27-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
27-Mar-2018 - 00:00,,,,,,,,,,186.7,135.46,19.11,29.15,48.26,1.72,,20.86,0.0,0.0,0.0,,0.0,28-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
28-Mar-2018 - 00:00,,,,,,,,,,109.71,141.64,15.72,31.36,47.08,1.15,,29.53,0.0,0.0,0.0,,0.0,29-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
29-Mar-2018 - 00:00,,,,,,,,,,184.77,102.35,16.05,30.95,47.0,1.21,,28.19,0.0,0.0,0.0,,0.0,30-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
30-Mar-2018 - 00:00,,,,,,,,,,221.52,132.03,16.01,31.0,47.01,1.2,,28.1,0.0,0.0,0.0,,0.0,31-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
31-Mar-2018 - 00:00,,,,,,,,,,236.74,112.67,14.25,33.36,47.61,0.91,,41.47,0.0,0.0,0.0,,0.0,01-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
01-Apr-2018 - 00:00,,,,,,,,,,155.67,102.07,13.49,34.4,47.89,0.78,,48.1,0.0,0.0,0.0,,0.0,02-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
02-Apr-2018 - 00:00,,,,,,,,,,192.46,117.97,14.55,32.97,47.52,0.96,,40.62,0.0,0.0,0.0,,0.0,03-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
03-Apr-2018 - 00:00,,,,,,,,,,202.08,133.64,14.51,33.13,47.64,0.95,,42.67,0.0,0.0,0.0,,0.0,04-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
04-Apr-2018 - 00:00,,,,,,,,,,255.87,153.87,14.25,33.54,47.78,0.91,,48.26,0.0,0.0,0.0,,0.0,05-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
05-Apr-2018 - 00:00,,,,,,,,,,340.51,213.11,13.16,35.09,48.24,0.73,,58.14,0.0,0.0,0.0,,0.0,06-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
06-Apr-2018 - 00:00,,,,,,,,,,203.9,163.75,12.98,35.75,48.73,0.7,,70.04,0.0,0.0,0.0,,0.0,07-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
07-Apr-2018 - 00:00,,,,,,,,,,113.53,65.58,13.87,33.88,47.75,0.84,,47.61,0.0,0.0,0.0,,0.0,08-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
08-Apr-2018 - 00:00,,,,,,,,,,118.57,59.49,13.49,34.41,47.9,0.78,,48.17,0.0,0.0,0.0,,0.0,09-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
09-Apr-2018 - 00:00,,,,,,,,,,91.47,55.64,14.35,32.98,47.33,0.93,,35.83,0.0,0.0,0.0,,0.0,10-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
10-Apr-2018 - 00:00,,,,,,,,,,195.32,108.9,13.85,33.8,47.65,0.84,,42.93,0.0,0.0,0.0,,0.0,11-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
11-Apr-2018 - 00:00,,,,,,,,,,98.27,53.17,14.02,33.55,47.56,0.87,,40.92,0.0,0.0,0.0,,0.0,12-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
12-Apr-2018 - 00:00,,,,,,,,,,118.28,87.08,14.68,32.65,47.32,0.98,,36.04,0.0,0.0,0.0,,0.0,13-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
13-Apr-2018 - 00:00,,,,,,,,,,221.65,127.34,14.29,33.25,47.53,0.91,,40.9,0.0,0.0,0.0,,0.0,14-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
14-Apr-2018 - 00:00,,,,,,,,,,251.72,141.84,15.82,31.17,47.0,1.17,,28.67,0.0,0.0,0.0,,0.0,15-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
15-Apr-2018 - 00:00,,,,,,,,,,280.42,139.17,15.5,31.69,47.2,1.12,,33.48,0.0,0.0,0.0,,0.0,16-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
16-Apr-2018 - 00:00,,,,,,,,,,306.3,156.43,14.71,32.81,47.52,0.99,,40.41,0.0,0.0,0.0,,0.0,17-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
17-Apr-2018 - 00:00,,,,,,,,,,242.92,114.13,15.69,31.83,47.43,1.12,,36.97,0.0,0.0,0.0,,0.0,18-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
18-Apr-2018 - 00:00,,,,,,,,,,233.43,148.95,16.18,30.76,46.94,1.23,,26.2,0.0,0.0,0.0,,0.0,19-Apr-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
